name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,department,department_citation,confidence_level,confidence_level_citation,direct_link,direct_link_citation
Portland State Aerospace Society (PSAS),https://www.pdx.edu/psu-space,Student Organization / Research Group,https://www.pdx.edu/psu-space,Aerospace & Rocketry,https://www.pdx.edu/psu-space,"Builds rockets, liquid fuel engines, and CubeSats (OreSat). Focuses on open-source aerospace systems.",https://www.pdx.edu/psu-space,Maseeh College of Engineering and Computer Science (MCECS),https://www.pdx.edu/psu-space,Direct,https://www.pdx.edu/psu-space,https://www.pdxaerospace.org/,https://www.pdx.edu/psu-space
Cascadia Meteorite Laboratory (CML),https://www.pdx.edu/psu-space,Research Laboratory / Center,https://www.pdx.edu/psu-space,Planetary Science,https://www.pdx.edu/psu-space,Conducts research on meteorites to understand solar system origins and history.,https://www.pdx.edu/psu-space,Department of Geology,https://www.pdx.edu/psu-space,Direct,https://www.pdx.edu/psu-space,https://meteorites.pdx.edu/,https://www.pdx.edu/psu-space
Spacecraft Remote Sensing Lab,https://www.pdx.edu/engineering/labs-facilities-department,Laboratory,https://www.pdx.edu/engineering/labs-facilities-department,Remote Sensing / Aerospace,https://www.pdx.edu/engineering/labs-facilities-department,Develops instrumentation and sensing techniques for spacecraft and satellites.,https://www.pdx.edu/engineering/labs-facilities-department,Maseeh College of Engineering and Computer Science (MCECS) - Electrical & Computer Engineering,https://www.pdx.edu/engineering/labs-facilities-department,Direct,https://www.pdx.edu/engineering/labs-facilities-department,https://www.pdx.edu/engineering/labs-facilities-department,https://www.pdx.edu/engineering/labs-facilities-department
Intelligent Robotics Laboratory,https://www.pdx.edu/engineering/labs-facilities-department,Laboratory,https://www.pdx.edu/engineering/labs-facilities-department,Robotics,https://www.pdx.edu/engineering/labs-facilities-department,"Focuses on mobile robots, humanoid robotics, and machine learning algorithms for robot vision and motion.",https://www.pdx.edu/engineering/labs-facilities-department,Maseeh College of Engineering and Computer Science (MCECS) - Electrical & Computer Engineering,https://www.pdx.edu/engineering/labs-facilities-department,Direct,https://www.pdx.edu/engineering/labs-facilities-department,http://web.cecs.pdx.edu/~mperkows/ML_LAB/mission.html,https://www.pdx.edu/engineering/labs-facilities-department
Agile & Adaptive Robotics Laboratory,https://www.pdx.edu/engineering/labs-facilities-department,Laboratory,https://www.pdx.edu/engineering/labs-facilities-department,Robotics,https://www.pdx.edu/engineering/labs-facilities-department,Bio-inspired robotics focusing on agile and adaptive control mechanisms found in animals.,https://www.pdx.edu/engineering/labs-facilities-department,Maseeh College of Engineering and Computer Science (MCECS) - Mechanical & Materials Engineering,https://www.pdx.edu/engineering/labs-facilities-department,Direct,https://www.pdx.edu/engineering/labs-facilities-department,https://www.pdx.edu/agile-robotics/,https://www.pdx.edu/engineering/labs-facilities-department
Nadeau Lab,https://www.pdx.edu/physics/physics-research,Laboratory,https://www.pdx.edu/physics/physics-research,Space Biology / Astrobiology,https://www.pdx.edu/physics/physics-research,Development of the ELVIS microscope for the International Space Station and research on Enceladus plumes.,https://www.pdx.edu/physics/physics-research,Department of Physics,https://www.pdx.edu/physics/physics-research,Direct,https://www.pdx.edu/physics/physics-research,https://microbialmotility.com/,https://www.pdx.edu/physics/physics-research
Viking Robotics Society (VRS),https://www.pdx.edu/science-technology-engineering-math/organizations-student-groups,Student Club,https://www.pdx.edu/science-technology-engineering-math/organizations-student-groups,Robotics,https://www.pdx.edu/science-technology-engineering-math/organizations-student-groups,Student-led organization dedicated to building and competing with robotics projects.,https://www.pdx.edu/science-technology-engineering-math/organizations-student-groups,Maseeh College of Engineering and Computer Science (MCECS),https://www.pdx.edu/science-technology-engineering-math/organizations-student-groups,Direct,https://www.pdx.edu/science-technology-engineering-math/organizations-student-groups,https://sites.google.com/pdx.edu/pdxvikingobotics,https://www.pdx.edu/science-technology-engineering-math/organizations-student-groups
Nano Development Lab (Fusion & Plasma Research),https://www.pdx.edu/physics/physics-research,Laboratory,https://www.pdx.edu/physics/physics-research,Plasma / Nuclear Fusion,https://www.pdx.edu/physics/physics-research,"Conducts research on nuclear fusion, plasma discharges, and high electric fields.",https://www.pdx.edu/physics/physics-research,Department of Physics,https://www.pdx.edu/physics/physics-research,Direct,https://www.pdx.edu/physics/physics-research,https://www.pdx.edu/nano-development-lab/,https://www.pdx.edu/physics/physics-research
Fluids Mechanics & Hydraulics Laboratory,https://www.pdx.edu/engineering/labs-facilities-department,Laboratory,https://www.pdx.edu/engineering/labs-facilities-department,Microgravity Fluids,https://www.pdx.edu/engineering/labs-facilities-department,"Specializes in capillary flow research in microgravity, frequently conducting experiments on the ISS.",https://www.pdx.edu/engineering/labs-facilities-department,Maseeh College of Engineering and Computer Science (MCECS) - Mechanical & Materials Engineering,https://www.pdx.edu/engineering/labs-facilities-department,Direct,https://www.pdx.edu/engineering/labs-facilities-department,https://www.pdx.edu/fluids-mechanics-hydraulics-laboratory,https://www.pdx.edu/engineering/labs-facilities-department
COffee And Telesensing Lab (COATL),https://www.pdx.edu/engineering/labs-facilities-department,Laboratory,https://www.pdx.edu/engineering/labs-facilities-department,Remote Sensing / Wireless Sensors,https://www.pdx.edu/engineering/labs-facilities-department,"Research into environmental telemetry, wireless sensor networks, and electric field sensing.",https://www.pdx.edu/engineering/labs-facilities-department,Maseeh College of Engineering and Computer Science (MCECS) - Electrical & Computer Engineering,https://www.pdx.edu/engineering/labs-facilities-department,Direct,https://www.pdx.edu/engineering/labs-facilities-department,https://www.pdx.edu/engineering/labs-facilities-department,https://www.pdx.edu/engineering/labs-facilities-department
