name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,confidence,confidence_citation,direct_link,direct_link_citation
Lunar and Planetary Laboratory (LPL),https://lpl.arizona.edu/research,Research Laboratory,https://lpl.arizona.edu/research,Research Unit,https://lpl.arizona.edu/research,"An interdisciplinary institution that is a world leader in planetary science and spacecraft missions, including OSIRIS-REx and Phoenix Mars.",https://lpl.arizona.edu/research,Direct,https://lpl.arizona.edu/research,https://lpl.arizona.edu/,https://lpl.arizona.edu/research
Arizona Space Institute (ASI),https://space.arizona.edu/about-us,Institute,https://space.arizona.edu/about-us,Research Unit,https://space.arizona.edu/about-us,Coordinates and facilitates large-scale space research projects and missions across the University of Arizona.,https://space.arizona.edu/about-us,Direct,https://space.arizona.edu/about-us,https://space.arizona.edu/,https://space.arizona.edu/about-us
Steward Observatory,https://space.arizona.edu/AffiliatedDepartments,Observatory,https://space.arizona.edu/AffiliatedDepartments,Research Unit,https://space.arizona.edu/AffiliatedDepartments,"The research arm of the Department of Astronomy, managing world-class telescopes and conducting breakthrough research in astrophysics.",https://space.arizona.edu/AffiliatedDepartments,Direct,https://space.arizona.edu/AffiliatedDepartments,https://www.as.arizona.edu/,https://space.arizona.edu/AffiliatedDepartments
Space4 Center,https://s4.arizona.edu/about/fast-facts,Center,https://s4.arizona.edu/about/fast-facts,Research Unit,https://s4.arizona.edu/about/fast-facts,"Dedicated to space domain awareness, tracking objects in cislunar space, and developing astrodynamics and space surveillance technologies.",https://s4.arizona.edu/about/fast-facts,Direct,https://s4.arizona.edu/about/fast-facts,https://s4.arizona.edu/,https://s4.arizona.edu/about/fast-facts
Space and Terrestrial Robotic Exploration (SpaceTREx) Laboratory,https://spacetrex.arizona.edu/,Laboratory,https://spacetrex.arizona.edu/,Research Unit,https://spacetrex.arizona.edu/,"Develops CubeSats, planetary robots, and enabling technologies for space mining and exploration.",https://spacetrex.arizona.edu/,Direct,https://spacetrex.arizona.edu/,https://spacetrex.arizona.edu/,https://spacetrex.arizona.edu/
Richard F. Caris Mirror Laboratory,https://mirrorlab.arizona.edu/,Laboratory,https://mirrorlab.arizona.edu/,Research Unit,https://mirrorlab.arizona.edu/,Produces the world's largest and most advanced telescope mirrors for missions like the Giant Magellan Telescope.,https://mirrorlab.arizona.edu/,Direct,https://mirrorlab.arizona.edu/,https://mirrorlab.arizona.edu/,https://mirrorlab.arizona.edu/
Arizona Astrobiology Center (AABC),https://astrobiology.arizona.edu/education/astrobio-academics,Center,https://astrobiology.arizona.edu/education/astrobio-academics,Research Unit,https://astrobiology.arizona.edu/education/astrobio-academics,A hub for interdisciplinary research on the origins and distribution of life in the universe.,https://astrobiology.arizona.edu/education/astrobio-academics,Direct,https://astrobiology.arizona.edu/education/astrobio-academics,https://astrobiology.arizona.edu/,https://astrobiology.arizona.edu/education/astrobio-academics
Arizona Space Grant Consortium,https://spacegrant.arizona.edu/,Consortium,https://spacegrant.arizona.edu/,Research & Education Hub,https://spacegrant.arizona.edu/,"Part of a NASA-funded network that supports student research, internships, and outreach in space-related STEM fields.",https://spacegrant.arizona.edu/,Direct,https://spacegrant.arizona.edu/,https://spacegrant.arizona.edu/,https://spacegrant.arizona.edu/
Students for the Exploration and Development of Space (SEDS) - UA Chapter,https://seds.arizona.edu/,Club,https://seds.arizona.edu/,Student Organization,https://seds.arizona.edu/,"Engages students in space science projects, CubeSat development, and professional networking in the space industry.",https://seds.arizona.edu/,Direct,https://seds.arizona.edu/,https://seds.arizona.edu/,https://seds.arizona.edu/
American Institute of Aeronautics and Astronautics (AIAA) - UA Chapter,https://uaaiaa.org/,Professional Society,https://uaaiaa.org/,Student Organization,https://uaaiaa.org/,Provides professional development and hands-on projects for students pursuing careers in aerospace and astronautics.,https://uaaiaa.org/,Direct,https://uaaiaa.org/,https://uaaiaa.org/,https://uaaiaa.org/
