name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,confidence,confidence_citation,direct_link,direct_link_citation
Space Sciences Laboratory (SSL),https://www.ssl.berkeley.edu/,Lab/Institute,https://vcresearch.berkeley.edu/research-unit/space-sciences-laboratory,Space Science,https://www.ssl.berkeley.edu/,"Organized Research Unit (ORU) founded in 1959. Reporting to the Vice Chancellor for Research, SSL focuses on space physics, planetary science, and building hardware for NASA missions. Affiliated with Physics and Astronomy departments.",https://en.wikipedia.org/wiki/Space_Sciences_Laboratory,Direct,https://vcresearch.berkeley.edu/research-unit/space-sciences-laboratory,https://www.ssl.berkeley.edu/,https://www.ssl.berkeley.edu/
Space Technologies and Rocketry (STAR),https://star.berkeley.edu/,Student Organization / Design Team,https://aero.berkeley.edu/clubs/,Rocketry,https://star.berkeley.edu/,"UC Berkeley's premier high-power rocketry team, founded in Fall 2015. Competes in challenges like the Spaceport America Cup. Formerly known as CalSTAR. Affiliated with the Aerospace Engineering major.",https://star.berkeley.edu/resources/cal-space-technologies-and-rocketry-calstars,Direct,https://star.berkeley.edu/,https://star.berkeley.edu/,https://star.berkeley.edu/
Space Technologies at Cal (STAC),https://stac.berkeley.edu/,Student Organization,https://aero.berkeley.edu/clubs/,Space Technology / CubeSats,https://stac.berkeley.edu/,"Founded around 2015, STAC is a student-run organization focusing on CubeSat development (e.g., QubeSat) and high-altitude ballooning. Supported by Berkeley Engineering.",https://crowdfund.berkeley.edu/stac-25,Direct,https://stac.berkeley.edu/,https://stac.berkeley.edu/,https://stac.berkeley.edu/
Space Enterprise at Berkeley (SEB),https://www.berkeleyse.org/,Student Organization / Design Team,https://aero.berkeley.edu/clubs/,Rocketry,https://www.berkeleyse.org/,"Founded in October 2016, SEB aims to be the first collegiate team to send a liquid-fueled rocket past the Kármán line. Focused on supersonic and liquid-propellant systems.",https://www.berkeleyse.org/,Direct,https://www.berkeleyse.org/,https://www.berkeleyse.org/,https://www.berkeleyse.org/
Space Exploration Society at Berkeley (SESB),https://sesb.berkeley.edu/,Student Organization,https://aero.berkeley.edu/clubs/,Space Exploration,https://sesb.berkeley.edu/,Founded around 2012-2013. Acts as the de-facto campus representative for the California Space Grant. Focuses on space advocacy and outreach.,https://sesb.studentorg.berkeley.edu/offsite/officers/,Direct,https://sesb.berkeley.edu/,https://sesb.berkeley.edu/,https://sesb.berkeley.edu/
Undergraduate Astronomy Society (UAS),https://life.berkeley.edu/meet-the-undergraduate-astronomy-society/,Student Organization,https://life.berkeley.edu/meet-the-undergraduate-astronomy-society/,Astronomy,https://life.berkeley.edu/meet-the-undergraduate-astronomy-society/,Active student organization affiliated with the Department of Astronomy. Provides mentorship and academic resources.,https://life.berkeley.edu/meet-the-undergraduate-astronomy-society/,Direct,https://life.berkeley.edu/meet-the-undergraduate-astronomy-society/,https://uas.berkeley.edu/,https://life.berkeley.edu/meet-the-undergraduate-astronomy-society/
Radio Astronomy Laboratory (RAL),https://en.wikipedia.org/wiki/Radio_Astronomy_Laboratory,Lab,https://vcresearch.berkeley.edu/research-unit/space-sciences-laboratory,Radio Astronomy,https://en.wikipedia.org/wiki/Radio_Astronomy_Laboratory,Organized Research Unit (ORU) founded in 1958 within the Astronomy Department. Operates radio telescopes and develops signal processing hardware.,https://en.wikipedia.org/wiki/Radio_Astronomy_Laboratory,Direct,https://en.wikipedia.org/wiki/Radio_Astronomy_Laboratory,https://astro.berkeley.edu/research/labs,https://astro.berkeley.edu/research/labs
Berkeley SETI Research Center (BSRC),https://seti.berkeley.edu/,Center,https://en.wikipedia.org/wiki/Berkeley_SETI_Research_Center,SETI / Astronomy,https://seti.berkeley.edu/,Research center based in the Department of Astronomy and SSL. Home to the Breakthrough Listen initiative.,https://seti.berkeley.edu/,Direct,https://seti.berkeley.edu/,https://seti.berkeley.edu/,https://seti.berkeley.edu/
Theoretical Astrophysics Center (TAC),https://tac.berkeley.edu/,Center,https://tac.berkeley.edu/,Astrophysics,https://tac.berkeley.edu/,Center within the Department of Astronomy that facilitates interdisciplinary research in theoretical astrophysics.,https://tac.berkeley.edu/,Direct,https://tac.berkeley.edu/,https://tac.berkeley.edu/,https://tac.berkeley.edu/
Berkeley Space Center (BSC),https://www.universityofcalifornia.edu/news/berkeley-space-center-nasa-ames-become-innovation-hub-new-aviation-space-technology,Innovation Hub / Center,https://www.universityofcalifornia.edu/news/berkeley-space-center-nasa-ames-become-innovation-hub-new-aviation-space-technology,Aerospace,https://www.universityofcalifornia.edu/news/berkeley-space-center-nasa-ames-become-innovation-hub-new-aviation-space-technology,Joint venture at NASA Ames Research Center founded in 2023 between UC Berkeley and NASA.,https://www.nasa.gov/general/nasa-hosts-unveiling-of-plans-for-new-silicon-valley-innovation-hub/,Direct,https://www.universityofcalifornia.edu/news/berkeley-space-center-nasa-ames-become-innovation-hub-new-aviation-space-technology,https://berkeleyspacecenter.berkeley.edu/,https://www.universityofcalifornia.edu/news/berkeley-space-center-nasa-ames-become-innovation-hub-new-aviation-space-technology
CASPER,https://casper.berkeley.edu/,Lab/Collaboration,https://casper.berkeley.edu/,Radio Astronomy,https://casper.berkeley.edu/,Collaboration led by UC Berkeley (SSL/Astronomy) developing open-source hardware for radio astronomy.,https://casper.berkeley.edu/,Direct,https://casper.berkeley.edu/,https://casper.berkeley.edu/,https://casper.berkeley.edu/
BEST Robotics Lab,https://best.berkeley.edu/,Lab,https://me.berkeley.edu/research-areas-and-major-fields/laboratories/,Space Robotics,https://best.berkeley.edu/,Affiliated with Mechanical Engineering. Researches tensegrity structures for space exploration robots.,https://best.berkeley.edu/,Strongly Adjacent,https://best.berkeley.edu/,https://best.berkeley.edu/,https://best.berkeley.edu/
Berkeley Air & Space Center,https://airspacecenter.berkeley.edu/,Center,https://airspacecenter.berkeley.edu/,Aerospace,https://airspacecenter.berkeley.edu/,"Center within Berkeley Engineering focusing on aviation, space technology, and autonomous systems.",https://airspacecenter.berkeley.edu/,Direct,https://airspacecenter.berkeley.edu/,https://airspacecenter.berkeley.edu/,https://airspacecenter.berkeley.edu/
HiPeRLab,https://hiperlab.berkeley.edu/,Lab,https://me.berkeley.edu/research-areas-and-major-fields/laboratories/,Aviation / Robotics,https://hiperlab.berkeley.edu/,Affiliated with Mechanical Engineering. Focuses on high-performance UAVs and autonomous flight.,https://hiperlab.berkeley.edu/,Strongly Adjacent,https://hiperlab.berkeley.edu/,https://hiperlab.berkeley.edu/,https://hiperlab.berkeley.edu/
SPACE at Berkeley,https://aero.berkeley.edu/clubs/,Student Organization,https://aero.berkeley.edu/clubs/,Space Exploration,https://aero.berkeley.edu/clubs/,Student-run organization focused on NASA Artemis Student Challenges. Affiliated with Aerospace Engineering.,https://aero.berkeley.edu/clubs/,Direct,https://aero.berkeley.edu/clubs/,https://aero.berkeley.edu/clubs/,https://aero.berkeley.edu/clubs/
Berkeley Center for Cosmological Physics (BCCP),https://bccp.berkeley.edu/,Center,https://vcresearch.berkeley.edu/research-unit/berkeley-center-cosmological-physics,Cosmology,https://bccp.berkeley.edu/,Founded in 2007. Affiliated with the Physics department and LBNL.,https://bccp.berkeley.edu/,Direct,https://bccp.berkeley.edu/,https://bccp.berkeley.edu/,https://bccp.berkeley.edu/
