Name,Type,Category,Relevance,Confidence,Direct Link
Brown Space Engineering (BSE),Student Org / Design Team,Satellites,"Designs, builds, and launches CubeSats; notable for the EQUiSat mission launched in 2018.",Direct,https://brownspaceengineering.org/
Brown Rocketry Team,Student Org / Design Team,Rockets,Active student group focused on high-powered rocketry competitions and propulsion development.,Direct,https://www.brownrocketry.com/
NASA Rhode Island Space Grant Consortium,Institute / Government-Affiliated,Space,"Headquartered at Brown; supports space research, fellowships, and aerospace-related outreach across RI.",Direct,https://rispacegrant.org/
"Department of Earth, Environmental and Planetary Sciences (DEEPS)",Departmental Program,Planetary,"Core academic hub for planetary geology, atmospheric science, and exploration of solar system bodies.",Direct,https://www.brown.edu/academics/earth-environmental-planetary-sciences/
Brown University Astronomy and Astrophysics Group,Faculty Group,Astronomy,"Conducts research in observational cosmology, galaxy evolution, and high-energy astrophysics.",Direct,https://physics.brown.edu/research/astronomy-and-astrophysics
Planetary Geosciences Group,Lab,Planetary,"Focused on the surface processes and evolution of planets, including Mars and Moon exploration data analysis.",Direct,https://www.brown.edu/academics/earth-environmental-planetary-sciences/planetary
Humans To Robots Laboratory (h2r),Lab,Robotics,"Researches robot teleoperation and human-robot interaction, applicable to remote planetary exploration.",Strongly Adjacent,https://h2r.cs.brown.edu/
Intelligent Robot Lab (IRL),Lab,Robotics,Develops autonomous systems and planning algorithms relevant to autonomous space probes and rovers.,Strongly Adjacent,http://irl.cs.brown.edu/
Ladd Observatory,Institute / Facility,Astronomy,"Historic university observatory used for astronomical observation, research, and public science outreach.",Direct,https://www.brown.edu/Departments/Physics/Ladd/
Brown University Robotics Club,Club,Robotics,General student robotics group that often explores autonomous systems and competitive design.,Strongly Adjacent,https://www.brown.edu/academics/engineering/robotics-club
Atmospheric Science Group,Faculty Group,Planetary,"Studies planetary atmospheres and climate dynamics, extending to solar system atmospheric models.",Strongly Adjacent,https://www.brown.edu/academics/earth-environmental-planetary-sciences/research/atmosphere
Brown Institute for Molecular and Nanoscale Innovation (IMNI),Institute,Materials/Space,Research into nanomaterials often used in aerospace composites and radiation-hardened electronics.,Loosely Adjacent,https://www.brown.edu/research/institutes/molecular-nanoscale-innovation/
Planetary Data Center (PDC),Center / Facility,Planetary,"Maintains archives of planetary images and mission data, supporting planetary research across the university.",Direct,https://www.brown.edu/academics/earth-environmental-planetary-sciences/planetary/pdc
Brown High Altitude Ballooning (BHAB),Historical / Student Org,Space,Former/occasional student initiative for near-space exploration and payload testing via high-altitude balloons.,Direct,
American Institute of Aeronautics and Astronautics (AIAA) - Brown Chapter,Student Org,Aerospace,Student chapter of the professional aerospace society; facilitates networking and technical projects.,Direct,https://brown.presence.io/organization/american-institute-of-aeronautics-and-astronautics
Brown Design Workshop (BDW),Facility / Group,Robotics,"Maker space where many space-related student projects (BSE, Rocketry) fabricate components.",Loosely Adjacent,https://www.brown.edu/academics/engineering/bdw/
Plasma Physics Research Group,Faculty Group,Plasma,"Studies fundamental plasma properties, which are critical for electric propulsion and space weather understanding.",Strongly Adjacent,https://physics.brown.edu/research/plasma-physics
