Name,Type,Category,Relevance,Confidence,Direct Link
"Sigma Gamma Tau","honor society","Aerospace","Official A&A-affiliated aerospace engineering honor society. It is clearly in aero/astro culture, but the retrieved evidence did not show a distinct space-specific activity profile.","Loosely Adjacent","https://www.aa.washington.edu/students/orgs"
"Boeing Advanced Research Collaboration (BARC)","center","Aerospace","BARC is an interdisciplinary UW-Boeing partnership for the future of flight with robotics and aerospace systems work. It is aerospace-adjacent, but the retrieved evidence was more aviation-focused than space-focused.","Loosely Adjacent","https://www.barc.uw.edu/"
"Student Seaglider Center","student-run lab","Robotics","Student-run autonomous vehicle lab offering hands-on systems experience with autonomous platforms. It is clearly robotics and autonomy, but marine rather than space-oriented.","Loosely Adjacent","https://sites.uw.edu/seaglidercenter/"
"Active Aeroelastic Structures Lab","lab","Aerospace","This A&A lab works on aircraft aeroelasticity, controls, and structural dynamics. It is relevant to flight systems generally, but a direct space tie was not visible in the retrieved material.","Loosely Adjacent","https://sites.uw.edu/activeaeroelastic/"
"Detonation Engines","lab","Propulsion","A&A lists this as a propulsion-related lab, which could be relevant to high-speed aerospace propulsion. The retrieved evidence did not clearly establish a rocket or space propulsion focus.","Loosely Adjacent","https://sites.uw.edu/detonationengines/"
"Ram Accelerator","lab","Propulsion","A&A lists the Ram Accelerator within its labs, and the topic is propulsion-adjacent. Based on the retrieved material, the space or rocket connection was still too indirect for the main table.","Loosely Adjacent","https://sites.uw.edu/ramaccelerator/"
"Asteroid Institute collaboration at UW","institute / collaboration","Planetary","UW Astronomy says DiRAC faculty and students work with the external Asteroid Institute on asteroid-detection software and planetary defense. The activity is relevant, but the organization itself is not primarily a UW entity.","Strongly Adjacent","https://astro.washington.edu/centers-institutes"
"Applied Physics Laboratory (APL)","lab","Remote Sensing","SPARC's space-related departments-and-labs listing includes Applied Physics Lab, suggesting relevant activity. I did not isolate a specific APL unit with a clear enough space-facing profile from the retrieved sources.","Strongly Adjacent","https://uwsparc.space/departments-and-labs/"
"Sigma Gamma Tau","honor society","Aerospace","Official A&A-affiliated aerospace engineering honor society. It is clearly in aero/astro culture, but the retrieved evidence did not show a distinct space-specific activity profile.","Loosely Adjacent","https://www.aa.washington.edu/students/orgs"
"Boeing Advanced Research Collaboration (BARC)","center","Aerospace","BARC is an interdisciplinary UW-Boeing partnership for the future of flight with robotics and aerospace systems work. It is aerospace-adjacent, but the retrieved evidence was more aviation-focused than space-focused.","Loosely Adjacent","https://www.barc.uw.edu/"
"Student Seaglider Center","student-run lab","Robotics","Student-run autonomous vehicle lab offering hands-on systems experience with autonomous platforms. It is clearly robotics and autonomy, but marine rather than space-oriented.","Loosely Adjacent","https://sites.uw.edu/seaglidercenter/"
"Active Aeroelastic Structures Lab","lab","Aerospace","This A&A lab works on aircraft aeroelasticity, controls, and structural dynamics. It is relevant to flight systems generally, but a direct space tie was not visible in the retrieved material.","Loosely Adjacent","https://sites.uw.edu/activeaeroelastic/"
"Detonation Engines","lab","Propulsion","A&A lists this as a propulsion-related lab, which could be relevant to high-speed aerospace propulsion. The retrieved evidence did not clearly establish a rocket or space propulsion focus.","Loosely Adjacent","https://sites.uw.edu/detonationengines/"
"Ram Accelerator","lab","Propulsion","A&A lists the Ram Accelerator within its labs, and the topic is propulsion-adjacent. Based on the retrieved material, the space or rocket connection was still too indirect for the main table.","Loosely Adjacent","https://sites.uw.edu/ramaccelerator/"
"Asteroid Institute collaboration at UW","institute / collaboration","Planetary","UW Astronomy says DiRAC faculty and students work with the external Asteroid Institute on asteroid-detection software and planetary defense. The activity is relevant, but the organization itself is not primarily a UW entity.","Strongly Adjacent","https://astro.washington.edu/centers-institutes"
"Applied Physics Laboratory (APL)","lab","Remote Sensing","SPARC's space-related departments-and-labs listing includes Applied Physics Lab, suggesting relevant activity. I did not isolate a specific APL unit with a clear enough space-facing profile from the retrieved sources.","Strongly Adjacent","https://uwsparc.space/departments-and-labs/"
