"Name","Type","Category","Relevance","Confidence","Direct Link"
"Rocket Design Team","Student design team","Rockets","Missouri S&T’s Rocket Design Team is explicitly focused on rocketry and describes its work as pushing students “to the boundaries of air and space.”","Direct","https://design.mst.edu/designteams/rocket-design/"
"Missouri S&T Satellite Research Team (M-SAT)","Student research / design team","Satellites","M-SAT is a student-led aerospace research organization that designs, builds, tests, and operates spacecraft, with work spanning the full satellite lifecycle. A Missouri S&T student-designed satellite also launched in 2024.","Direct","https://msat.mst.edu/"
"Mars Rover Design Team","Student design team","Robotics","The team builds Mars rovers for the University Rover Challenge and explicitly frames its work around student robotics and space exploration. Missouri S&T news reports it won the 2025 URC.","Direct","https://marsrover.mst.edu/"
"S&T Astronomical Research Society (STARS)","Student organization","Astronomy","STARS is a student organization focused on astronomy and astrophysics and also runs campus observatory events.","Direct","https://stars.mst.edu/"
"Space Systems Engineering Laboratory (SSEL)","Research lab","Space","SSEL is a dedicated space systems lab at Missouri S&T with work in spacecraft, astronautics, and small satellite development. Its page also ties it directly to M-SAT and nanosatellite/CubeSat efforts.","Direct","https://sselab.mst.edu/"
"Mechanical and Aerospace Engineering Aerospace Research","Departmental research program","Aerospace / Propulsion","The MAE aerospace research area explicitly lists planetary entry/descent/landing, plasma aerospace applications, space propulsion, small satellite technology development, and spacecraft mission design.","Strongly Adjacent","https://mae.mst.edu/research/aerospace/"
"Physics Astrophysics Research","Departmental research area","Astronomy","Missouri S&T Physics lists active work in astrophysics, cosmology, and the LIGO Scientific Collaboration. This is clearly space-related research, though not a student org.","Strongly Adjacent","https://physics.mst.edu/research/astrophysics/"
"Missouri Space Grant Consortium at Missouri S&T","Program / campus node","Space","This is part of the NASA Space Grant ecosystem and supports space-related student and research activity, though it is more a support program than a standalone org/team.","Strongly Adjacent","https://missourispacegrant.mst.edu/"
"Missouri S&T Observatory","University facility / outreach program","Astronomy","The observatory is a campus astronomy facility with public viewing events. It is space-related, but it is a facility/program rather than an independent org.","Loosely Adjacent","https://physics.mst.edu/department/observatory/"
"Aerodynamics Research Laboratory","Research lab","Aerospace","This is clearly aerospace-related and includes supersonic wind tunnel work, but the surfaced page is more general aerospace than specifically space-focused.","Loosely Adjacent","https://aerolab.mst.edu/"
"Space Week partners groupings","Event ecosystem","Mixed space activities","Missouri S&T’s Space Week page groups STARS, M-SAT, Rocket Design Team, and Mars Rover Design Team together as the main campus space-facing student ecosystem. Useful for confirmation, but not a separate org itself.","Loosely Adjacent","https://space.mst.edu/"
