name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,confidence,confidence_citation,direct_link,direct_link_citation
AlbertaSat,https://www.albertasat.ca/,Design Team / Student Organization,https://www.ualberta.ca/en/engineering/student-services/experiential-learning/student-groups-clubs.html,Space,https://www.albertasat.ca/,"Designs, builds, tests, launches, and operates small satellites (CubeSats); launched Alberta's first satellite (Ex-Alta 1). Affiliated with Faculty of Engineering and Faculty of Science (ISSET).",https://www.albertasat.ca/,Direct,https://www.albertasat.ca/,https://www.albertasat.ca/,https://www.albertasat.ca/
Space Exploration Alberta Robotics (SPEAR),http://spaceualberta.ca/,Design Team / Student Organization,https://www.ualberta.ca/en/engineering/student-services/experiential-learning/student-groups-clubs.html,Robotics / Space,http://spaceualberta.ca/,"Designs and builds robotic platforms for space exploration, specifically Mars-style rovers for international competitions. Affiliated with Faculty of Engineering.",http://spaceualberta.ca/,Direct,http://spaceualberta.ca/,http://spaceualberta.ca/,http://spaceualberta.ca/
Autonomous Robotic Vehicle Project (ARVP),http://www.arvp.org/,Design Team / Student Organization,https://www.ualberta.ca/en/engineering/student-services/experiential-learning/student-groups-clubs.html,Robotics,http://www.arvp.org/,Interdisciplinary robotics group developing autonomous robotic technologies (autonomous underwater and surface vehicles). Affiliated with Faculty of Engineering and Computing Science.,http://www.arvp.org/,Direct,http://www.arvp.org/,http://www.arvp.org/,http://www.arvp.org/
Student Team for Alberta Rocketry Research (STARR),http://uastarr.weebly.com/,Design Team / Student Organization,https://www.ualberta.ca/en/engineering/student-services/experiential-learning/student-groups-clubs.html,Aerospace / Space,http://uastarr.weebly.com/,"Designs, builds, and flies sounding rockets for intercollegiate competitions; focuses on rocketry and spacecraft engineering. Affiliated with Faculty of Engineering.",http://uastarr.weebly.com/,Direct,http://uastarr.weebly.com/,http://uastarr.weebly.com/,http://uastarr.weebly.com/
UAlberta Aero Design,https://aeroualberta.ca/,Design Team / Student Organization,https://www.ualberta.ca/en/engineering/student-services/experiential-learning/student-groups-clubs.html,Aerospace,https://aeroualberta.ca/,Designs and builds fixed-wing unmanned aerial vehicles (UAVs) for the SAE Aero Design competition. Affiliated with Faculty of Engineering.,https://aeroualberta.ca/,Direct,https://aeroualberta.ca/,https://aeroualberta.ca/,https://aeroualberta.ca/
UAlberta Aerial Robotics Group (UAARG),http://www.uaarg.com/,Design Team / Student Organization,https://www.ualberta.ca/en/engineering/student-services/experiential-learning/student-groups-clubs.html,Robotics / Aerospace,http://www.uaarg.com/,Develops small-scale autonomous unmanned aerial vehicles (UAVs) for competitions and real-world applications. Affiliated with Faculty of Engineering.,http://www.uaarg.com/,Direct,http://www.uaarg.com/,http://www.uaarg.com/,http://www.uaarg.com/
University of Alberta RoboMasters (UARM),https://robotics.ualberta.ca/students/,Design Team / Student Organization,https://robotics.ualberta.ca/students/,Robotics,https://robotics.ualberta.ca/students/,Interdisciplinary student group dedicated to designing and building multiple robots for the international RoboMaster competition. Affiliated with Faculty of Engineering.,https://robotics.ualberta.ca/students/,Direct,https://robotics.ualberta.ca/students/,https://robotics.ualberta.ca/students/,https://robotics.ualberta.ca/students/
"Institute for Space Science, Exploration and Technology (ISSET)",https://www.ualberta.ca/en/institute-for-space-science-exploration-and-technology/index.html,Research Institute,https://www.ualberta.ca/en/institute-for-space-science-exploration-and-technology/index.html,Space / Aerospace,https://www.ualberta.ca/en/institute-for-space-science-exploration-and-technology/index.html,"Interdisciplinary research institute coordinating space research across departments, including physics, engineering, and earth sciences. Focuses on instrumentation, robotics, and planetary science.",https://www.ualberta.ca/en/institute-for-space-science-exploration-and-technology/index.html,Direct,https://www.ualberta.ca/en/institute-for-space-science-exploration-and-technology/index.html,https://www.ualberta.ca/en/institute-for-space-science-exploration-and-technology/index.html,https://www.ualberta.ca/en/institute-for-space-science-exploration-and-technology/index.html
University of Alberta Observatory,https://www.ualberta.ca/en/physics/outreach/astronomy-outreach/observatory/index.html,Facility / Research Center,https://www.ualberta.ca/en/physics/outreach/astronomy-outreach/observatory/index.html,Astronomy,https://www.ualberta.ca/en/physics/outreach/astronomy-outreach/observatory/index.html,"University observatory facility used for teaching, public outreach, and astronomical research. Affiliated with Department of Physics.",https://www.ualberta.ca/en/physics/outreach/astronomy-outreach/observatory/index.html,Direct,https://www.ualberta.ca/en/physics/outreach/astronomy-outreach/observatory/index.html,https://www.ualberta.ca/en/physics/outreach/astronomy-outreach/observatory/index.html,https://www.ualberta.ca/en/physics/outreach/astronomy-outreach/observatory/index.html
Vision and Robotics Group,http://webdocs.cs.ualberta.ca/~vis/,Research Group / Lab,http://webdocs.cs.ualberta.ca/~vis/,Robotics / Computer Science,http://webdocs.cs.ualberta.ca/~vis/,Conducts research on vision-based autonomous and semi-autonomous control of robot manipulators and mobile robots. Affiliated with Department of Computing Science.,http://webdocs.cs.ualberta.ca/~vis/,Direct,http://webdocs.cs.ualberta.ca/~vis/,http://webdocs.cs.ualberta.ca/~vis/,http://webdocs.cs.ualberta.ca/~vis/
