name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,confidence,confidence_citation,direct_link,direct_link_citation
Cooper Union Satellite Launch Initiative (CUSLI),https://cooper.edu/engineering/news/cusli-awarded-nasa-new-york-space-grant,Student Organization,https://www.maroonandgoldlabs.org/,Aerospace / Rocketry,https://cooper.edu/engineering/news/cusli-awarded-nasa-new-york-space-grant,direct,https://cooper.edu/engineering/news/cusli-awarded-nasa-new-york-space-grant,high,https://cooper.edu/engineering/news/cusli-awarded-nasa-new-york-space-grant,https://cooper.edu/engineering/news/cusli-awarded-nasa-new-york-space-grant,https://cooper.edu/engineering/news/cusli-awarded-nasa-new-york-space-grant
Bio-Inspired Robotic Design (BIRD) Lab,https://cooper.edu/engineering/bio-inspired-robotic-design-bird-lab,Research Lab,https://cooper.edu/engineering/bio-inspired-robotic-design-bird-lab,Robotics,https://cooper.edu/engineering/bio-inspired-robotic-design-bird-lab,direct,https://cooper.edu/engineering/bio-inspired-robotic-design-bird-lab,high,https://cooper.edu/engineering/bio-inspired-robotic-design-bird-lab,https://cooper.edu/engineering/bio-inspired-robotic-design-bird-lab,https://cooper.edu/engineering/bio-inspired-robotic-design-bird-lab
Dynamics and Control Laboratory,https://cooper.edu/engineering/facilities/dynamics-and-control-lab,Research Lab,https://cooper.edu/engineering/facilities/dynamics-and-control-lab,Robotics / Smart Vehicles,https://cooper.edu/engineering/facilities/dynamics-and-control-lab,direct,https://cooper.edu/engineering/facilities/dynamics-and-control-lab,high,https://cooper.edu/engineering/facilities/dynamics-and-control-lab,https://cooper.edu/engineering/facilities/dynamics-and-control-lab,https://cooper.edu/engineering/facilities/dynamics-and-control-lab
Mechatronics Laboratory,https://cooper.edu/engineering/mechatronics-laboratory,Research Lab,https://cooper.edu/engineering/mechatronics-laboratory,Robotics,https://cooper.edu/engineering/mechatronics-laboratory,direct,https://cooper.edu/engineering/mechatronics-laboratory,high,https://cooper.edu/engineering/mechatronics-laboratory,https://cooper.edu/engineering/mechatronics-laboratory,https://cooper.edu/engineering/mechatronics-laboratory
AIAA Student Branch (Cooper Union Chapter),https://cooper.edu/engineering/news/cooper-students-compete-2024-aiaa-designbuildfly-competition,Student Organization,https://cooper.edu/engineering/news/cooper-students-compete-2024-aiaa-designbuildfly-competition,Aerospace,https://cooper.edu/engineering/news/cooper-students-compete-2024-aiaa-designbuildfly-competition,direct,https://cooper.edu/engineering/news/cooper-students-compete-2024-aiaa-designbuildfly-competition,high,https://cooper.edu/engineering/news/cooper-students-compete-2024-aiaa-designbuildfly-competition,https://cooper.edu/engineering/news/cooper-students-compete-2024-aiaa-designbuildfly-competition,https://cooper.edu/engineering/news/cooper-students-compete-2024-aiaa-designbuildfly-competition
Cooper Union Motorsports (Formula SAE),https://fsae.cooper.edu/,Student Design Team,https://fsae.cooper.edu/,Aerospace / Mechanical (Adjacent),https://fsae.cooper.edu/,adjacent,https://fsae.cooper.edu/,high,https://fsae.cooper.edu/,https://fsae.cooper.edu/,https://fsae.cooper.edu/
Joint Research Program with Center for Computational Astrophysics (CCA),https://cooper.edu/engineering/news/meet-our-new-joint-physics-faculty,Departmental Program / Research Lab,https://cooper.edu/engineering/news/meet-our-new-joint-physics-faculty,Astrophysics,https://cooper.edu/engineering/news/meet-our-new-joint-physics-faculty,direct,https://cooper.edu/engineering/news/meet-our-new-joint-physics-faculty,high,https://cooper.edu/engineering/news/meet-our-new-joint-physics-faculty,https://cooper.edu/engineering/news/meet-our-new-joint-physics-faculty,https://cooper.edu/engineering/news/meet-our-new-joint-physics-faculty
IEEE Student Branch,https://cooper.edu/engineering/news/cooper-engineering-team-wins-top-prize-ieee-student-competition,Student Organization,https://cooper.edu/engineering/news/cooper-engineering-team-wins-top-prize-ieee-student-competition,Robotics / Electrical Engineering,https://cooper.edu/engineering/news/cooper-engineering-team-wins-top-prize-ieee-student-competition,partial,https://cooper.edu/engineering/news/cooper-engineering-team-wins-top-prize-ieee-student-competition,high,https://cooper.edu/engineering/news/cooper-engineering-team-wins-top-prize-ieee-student-competition,https://cooper.edu/engineering/news/cooper-engineering-team-wins-top-prize-ieee-student-competition,https://cooper.edu/engineering/news/cooper-engineering-team-wins-top-prize-ieee-student-competition
Create@Cooper,https://cooper.edu/engineering/extracurricular/clubs-teams,Student Organization,https://cooper.edu/engineering/extracurricular/clubs-teams,Robotics / Design,https://cooper.edu/engineering/extracurricular/clubs-teams,adjacent,https://cooper.edu/engineering/extracurricular/clubs-teams,high,https://cooper.edu/engineering/extracurricular/clubs-teams,https://cooper.edu/engineering/extracurricular/clubs-teams,https://cooper.edu/engineering/extracurricular/clubs-teams
"IDC Foundation Art, Architecture, Construction, and Engineering (AACE) Laboratory",https://cooper.edu/academics/aace-lab,Research / Fabrication Lab,https://cooper.edu/academics/aace-lab,Engineering / Robotics,https://cooper.edu/academics/aace-lab,adjacent,https://cooper.edu/academics/aace-lab,high,https://cooper.edu/academics/aace-lab,https://cooper.edu/academics/aace-lab,https://cooper.edu/academics/aace-lab
Robotics Crash Course (Summer STEM),https://cooper.edu/engineering/courses/summer-stem/stem-22-5,Departmental Program,https://cooper.edu/engineering/courses/summer-stem/stem-22-5,Robotics,https://cooper.edu/engineering/courses/summer-stem/stem-22-5,direct,https://cooper.edu/engineering/courses/summer-stem/stem-22-5,high,https://cooper.edu/engineering/courses/summer-stem/stem-22-5,https://cooper.edu/engineering/courses/summer-stem/stem-22-5,https://cooper.edu/engineering/courses/summer-stem/stem-22-5
ASME Student Branch,https://cooper.edu/engineering/extracurricular/professional-societies,Student Organization,https://cooper.edu/engineering/extracurricular/professional-societies,Robotics / Mechanical Engineering,https://cooper.edu/engineering/extracurricular/professional-societies,partial,https://cooper.edu/engineering/extracurricular/professional-societies,high,https://cooper.edu/engineering/extracurricular/professional-societies,https://cooper.edu/engineering/extracurricular/professional-societies,https://cooper.edu/engineering/extracurricular/professional-societies
