name,name_citation,type,type_citation,category,category_citation,relevance_explanation,relevance_explanation_citation,confidence_level,confidence_level_citation,direct_link,direct_link_citation,status,status_citation
Space Systems Engineering Lab (SSEL),https://www.usna.edu/SSEL/index.php,Lab,https://www.usna.edu/SSEL/index.php,Space,https://www.usna.edu/SSEL/index.php,"A premier 7,000-square-foot facility for satellite design, fabrication, and operation, hosting the Satellite Operations Center and ground station.",https://www.usna.edu/SSEL/index.php,Direct,https://www.usna.edu/SSEL/index.php,https://www.usna.edu/SSEL/index.php,https://www.usna.edu/SSEL/index.php,active,https://www.usna.edu/SSEL/index.php
Midshipmen Space Operations Team (MSOPS),https://www.usna.edu/SSEL/Clubs_and_Activities.php,Student Club,https://www.usna.edu/SSEL/Clubs_and_Activities.php,Space,https://www.usna.edu/SSEL/Clubs_and_Activities.php,"A team of midshipmen who participate in space operations, including operating satellites and managing ISS-related hardware.",https://www.usna.edu/SSEL/Clubs_and_Activities.php,Direct,https://www.usna.edu/SSEL/Clubs_and_Activities.php,https://www.usna.edu/SSEL/Clubs_and_Activities.php,https://www.usna.edu/SSEL/Clubs_and_Activities.php,active,https://www.usna.edu/SSEL/Clubs_and_Activities.php
i5 Club,https://www.usna.edu/SSEL/Clubs_and_Activities.php,Student Club,https://www.usna.edu/SSEL/Clubs_and_Activities.php,Space,https://www.usna.edu/SSEL/Clubs_and_Activities.php,"The Institute for Applied Space Policy and Strategy (i5) educates midshipmen on space policy, doctrine, and warfighting capabilities.",https://www.usna.edu/SSEL/Clubs_and_Activities.php,Direct,https://www.usna.edu/SSEL/Clubs_and_Activities.php,https://www.usna.edu/SSEL/Clubs_and_Activities.php,https://www.usna.edu/SSEL/Clubs_and_Activities.php,active,https://www.usna.edu/SSEL/Clubs_and_Activities.php
USNA Rocket Team (Navy Rockets),https://www.usna.edu/SSEL/HOLD.php,Design Team,https://www.usna.edu/SSEL/HOLD.php,Space,https://www.usna.edu/SSEL/HOLD.php,"Midshipmen design, build, and fly high-power rockets and payloads for the NASA University Student Launch competition.",https://www.usna.edu/SSEL/HOLD.php,Direct,https://www.usna.edu/SSEL/HOLD.php,https://www.usna.edu/SSEL/HOLD.php,https://www.usna.edu/SSEL/HOLD.php,active,https://www.usna.edu/SSEL/HOLD.php
RaVision,https://www.usna.edu/WRC/research/groups/RaVision/index.php,Research Group,https://www.usna.edu/WRC/research/groups/RaVision/index.php,Robotics,https://www.usna.edu/WRC/research/groups/RaVision/index.php,Robotics and Autonomous Vehicles in Support of the Navy (RA-VISION) conducts research in autonomous systems and human-robot interaction.,https://www.usna.edu/WRC/research/groups/RaVision/index.php,Direct,https://www.usna.edu/WRC/research/groups/RaVision/index.php,https://www.usna.edu/WRC/research/groups/RaVision/index.php,https://www.usna.edu/WRC/research/groups/RaVision/index.php,active,https://www.usna.edu/WRC/research/groups/RaVision/index.php
ARTeMis Lab,https://www.usna.edu/WRC/facilities/ARTeMis.php,Lab,https://www.usna.edu/WRC/facilities/ARTeMis.php,Robotics,https://www.usna.edu/WRC/facilities/ARTeMis.php,The Aerial Robotics Testing and Mission Lab is a facility for developing and testing autonomous aerial vehicles.,https://www.usna.edu/WRC/facilities/ARTeMis.php,Direct,https://www.usna.edu/WRC/facilities/ARTeMis.php,https://www.usna.edu/WRC/facilities/ARTeMis.php,https://www.usna.edu/WRC/facilities/ARTeMis.php,active,https://www.usna.edu/WRC/facilities/ARTeMis.php
Naval Academy Small Satellite Program (NASSP),https://www.usna.edu/SSEL/HOLD.php,Lab,https://www.usna.edu/SSEL/HOLD.php,Space,https://www.usna.edu/SSEL/HOLD.php,"An undergraduate research program where midshipmen design, build, test, and operate small satellites (CubeSats).",https://www.usna.edu/SSEL/HOLD.php,Direct,https://www.usna.edu/SSEL/HOLD.php,https://www.usna.edu/SSEL/HOLD.php,https://www.usna.edu/SSEL/HOLD.php,active,https://www.usna.edu/SSEL/HOLD.php
Astronomy Club,https://www.usna.edu/PhysicsDepartment/Facilities/Classof1941Observatory.php,Student Club,https://www.usna.edu/PhysicsDepartment/Facilities/Classof1941Observatory.php,Space,https://www.usna.edu/PhysicsDepartment/Facilities/Classof1941Observatory.php,"A student organization focused on observational astronomy, utilizing the Class of 1941 Observatory for research and casual observing.",https://www.usna.edu/PhysicsDepartment/Facilities/Classof1941Observatory.php,Direct,https://www.usna.edu/PhysicsDepartment/Facilities/Classof1941Observatory.php,https://www.usna.edu/PhysicsDepartment/Facilities/Classof1941Observatory.php,https://www.usna.edu/PhysicsDepartment/Facilities/Classof1941Observatory.php,active,https://www.usna.edu/PhysicsDepartment/Facilities/Classof1941Observatory.php
AIAA Student Chapter,https://www.usna.edu/AeroDept/_files/documents/CV/CV_Miklosovic.pdf,Student Club,https://www.usna.edu/AeroDept/_files/documents/CV/CV_Miklosovic.pdf,Aerospace,https://www.usna.edu/AeroDept/_files/documents/CV/CV_Miklosovic.pdf,The USNA branch of the American Institute of Aeronautics and Astronautics supports student interest and professional development in aerospace engineering.,https://www.usna.edu/AeroDept/_files/documents/CV/CV_Miklosovic.pdf,Direct,https://www.usna.edu/AeroDept/_files/documents/CV/CV_Miklosovic.pdf,https://www.usna.edu/AeroDept/prospective-students/internships.php,https://www.usna.edu/AeroDept/prospective-students/internships.php,active,https://www.usna.edu/AeroDept/prospective-students/internships.php
USNA STEM Center,https://www.usna.edu/STEM/outreach.php,Center,https://www.usna.edu/STEM/outreach.php,Robotics,https://www.usna.edu/STEM/outreach.php,Promotes STEM education and outreach through workshops and programs like SeaPerch underwater robotics and Summer STEM.,https://www.usna.edu/STEM/outreach.php,Strongly Adjacent,https://www.usna.edu/STEM/outreach.php,https://www.usna.edu/STEM/outreach.php,https://www.usna.edu/STEM/outreach.php,active,https://www.usna.edu/STEM/outreach.php
Powered Flight Program (PFP),https://www.facebook.com/USNavalAcademy/posts/10154641274068091/,Military-only Training Unit,https://www.facebook.com/USNavalAcademy/posts/10154641274068091/,Aerospace,https://www.facebook.com/USNavalAcademy/posts/10154641274068091/,A summer training program that introduces midshipmen to aviation through formal flight instruction and simulations.,https://www.facebook.com/USNavalAcademy/posts/10154641274068091/,Direct,https://www.facebook.com/USNavalAcademy/posts/10154641274068091/,https://www.usna.edu/AeroDept/prospective-students/internships.php,https://www.usna.edu/AeroDept/prospective-students/internships.php,active,https://www.facebook.com/USNavalAcademy/posts/10154641274068091/
MIDSTAR Satellite Project,https://en.wikipedia.org/wiki/Small_Satellite_Program_(United_States_Naval_Academy),Lab,https://en.wikipedia.org/wiki/Small_Satellite_Program_(United_States_Naval_Academy),Space,https://en.wikipedia.org/wiki/Small_Satellite_Program_(United_States_Naval_Academy),A historical project within the Small Satellite Program that developed the MIDSTAR-1 satellite launched in 2007.,https://en.wikipedia.org/wiki/Small_Satellite_Program_(United_States_Naval_Academy),Direct,https://en.wikipedia.org/wiki/Small_Satellite_Program_(United_States_Naval_Academy),https://www.usna.edu/SSEL/index.php,https://www.usna.edu/SSEL/index.php,historical,https://en.wikipedia.org/wiki/Small_Satellite_Program_(United_States_Naval_Academy)
