name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,confidence,confidence_citation,direct_link,direct_link_citation
"COSMIAC (Configurable Space Microsystems, Innovations and Application Center)",https://cosmiac.unm.edu/,Research Center,https://cosmiac.unm.edu/about/index.html,Space,https://cosmiac.unm.edu/about/index.html,"A Tier-2 research center at the UNM School of Engineering focusing on space exploration, microsystems, and aerospace innovation.",https://cosmiac.unm.edu/about/index.html,Direct,https://cosmiac.unm.edu/about/index.html,https://cosmiac.unm.edu/,https://cosmiac.unm.edu/
Lobo Launch,https://lobolaunch.unm.edu/,Student Design Team,https://engineering.unm.edu/news/2024/02/unms-lobo-launch-team-on-an-upward-trajectory-with-three-rocket-projects.html,Space/Rocketry,https://lobolaunch.unm.edu/,UNM's official student rocketry team that designs and launches high-altitude rockets for competition and research.,https://engineering.unm.edu/news/2024/02/unms-lobo-launch-team-on-an-upward-trajectory-with-three-rocket-projects.html,Direct,https://lobolaunch.unm.edu/,https://lobolaunch.unm.edu/,https://lobolaunch.unm.edu/
Institute for Space and Nuclear Power Studies (ISNPS),https://isnps.unm.edu/,Research Institute,https://isnps.unm.edu/mission/,Space/Propulsion,https://isnps.unm.edu/mission/,Focuses on the development of space nuclear power and propulsion technologies to enable deep space exploration.,https://isnps.unm.edu/mission/,Direct,https://isnps.unm.edu/mission/,https://isnps.unm.edu/,https://isnps.unm.edu/
Sustainable Space Research Grand Challenge (SSRGC),https://grandchallenges.unm.edu/space.html,Research Grand Challenge,https://grandchallenges.unm.edu/space.html,Space,https://grandchallenges.unm.edu/space.html,A university-wide initiative to unite space expertise across campuses and expand New Mexico's space economy and science.,https://grandchallenges.unm.edu/space.html,Direct,https://grandchallenges.unm.edu/space.html,https://grandchallenges.unm.edu/space.html,https://grandchallenges.unm.edu/space.html
UNM Robotics Society,https://www.instagram.com/robotics_unm/,Student Club,https://sac.unm.edu/student-organizations/student-organizations.html,Robotics,https://www.instagram.com/robotics_unm/,A student organization dedicated to building robots and teaching robotics skills through workshops and competitions.,https://www.instagram.com/robotics_unm/,Strongly Adjacent,https://www.instagram.com/robotics_unm/,https://www.instagram.com/robotics_unm/,https://www.instagram.com/robotics_unm/
UNMxAFRL Agile Manufacturing Laboratory,https://mfg.unm.edu/robotics/index.html,Lab,https://mfg.unm.edu/robotics/index.html,Robotics,https://mfg.unm.edu/robotics/index.html,"Specializes in foundational robotics research with focus areas in In-Space Servicing, Assembly, and Manufacturing (ISAM).",https://mfg.unm.edu/robotics/index.html,Strongly Adjacent,https://mfg.unm.edu/robotics/index.html,https://mfg.unm.edu/robotics/index.html,https://mfg.unm.edu/robotics/index.html
AIAA UNM Student Chapter,https://me.unm.edu/students/student-organizations.html,Student Organization,https://me.unm.edu/students/student-organizations.html,Aerospace,https://me.unm.edu/students/student-organizations.html,"The student chapter of the American Institute of Aeronautics and Astronautics, supporting professional development in aerospace.",https://me.unm.edu/students/student-organizations.html,Direct,https://me.unm.edu/students/student-organizations.html,https://me.unm.edu/students/student-organizations.html,https://me.unm.edu/students/student-organizations.html
UNM CHILI HOUSE Team (NASA MINDS),http://news.unm.edu/news/could-plants-control-robots-on-mars,Student Design Team,http://news.unm.edu/news/could-plants-control-robots-on-mars,Space/Robotics,http://news.unm.edu/news/could-plants-control-robots-on-mars,A team of UNM researchers that won the NASA MINDS Challenge for designing autonomous systems to grow crops on Mars.,http://news.unm.edu/news/could-plants-control-robots-on-mars,Direct,http://news.unm.edu/news/could-plants-control-robots-on-mars,http://news.unm.edu/news/could-plants-control-robots-on-mars,http://news.unm.edu/news/could-plants-control-robots-on-mars
UNM Swarmathon Team,https://swarmathon.cs.unm.edu/,NASA Competition Team,https://swarmathon.cs.unm.edu/,Space/Robotics,https://swarmathon.cs.unm.edu/,Developed autonomous robotic swarms for the NASA Swarmathon competition to advance resource collection on Mars and the Moon.,https://swarmathon.cs.unm.edu/,Direct,https://swarmathon.cs.unm.edu/,https://swarmathon.cs.unm.edu/,https://swarmathon.cs.unm.edu/
NASA Space Robotics Challenge Team,http://news.unm.edu/news/releases-20200623-6805103,Research/Competition Group,http://news.unm.edu/news/releases-20200623-6805103,Space/Robotics,http://news.unm.edu/news/releases-20200623-6805103,A UNM computer science team that competed in the NASA Space Robotics Challenge to advance autonomous lunar mission software.,http://news.unm.edu/news/releases-20200623-6805103,Direct,http://news.unm.edu/news/releases-20200623-6805103,http://news.unm.edu/news/releases-20200623-6805103,http://news.unm.edu/news/releases-20200623-6805103
Applied Pulsed Energy Research Lab (APERL),https://ece.unm.edu/research/research-laboratories.html,Lab,https://ece.unm.edu/research/research-laboratories.html,Plasma,https://ece.unm.edu/research/research-laboratories.html,"Conducts research on pulsed power, high power microwaves, and plasma physics with applications in directed energy and space systems.",https://ece.unm.edu/research/research-laboratories.html,Strongly Adjacent,https://ece.unm.edu/research/research-laboratories.html,https://ece.unm.edu/research/research-laboratories.html,https://ece.unm.edu/research/research-laboratories.html
Directed Energy Center,https://www.afrl.af.mil/News/Article-Display/Article/2828774/afrl-partners-with-unm-for-new-directed-energy-center/,Research Center,https://www.afrl.af.mil/News/Article-Display/Article/2828774/afrl-partners-with-unm-for-new-directed-energy-center/,Plasma/Aerospace,https://www.afrl.af.mil/News/Article-Display/Article/2828774/afrl-partners-with-unm-for-new-directed-energy-center/,"An AFRL-UNM partnership focusing on directed energy research, including plasma and microwave technologies.",https://www.afrl.af.mil/News/Article-Display/Article/2828774/afrl-partners-with-unm-for-new-directed-energy-center/,Strongly Adjacent,https://www.afrl.af.mil/News/Article-Display/Article/2828774/afrl-partners-with-unm-for-new-directed-energy-center/,https://www.afrl.af.mil/News/Article-Display/Article/2828774/afrl-partners-with-unm-for-new-directed-energy-center/,https://www.afrl.af.mil/News/Article-Display/Article/2828774/afrl-partners-with-unm-for-new-directed-energy-center/
Precision Quantum Sensing Group,https://www.unm.edu/~fsalces/,Lab,https://www.unm.edu/~fsalces/,Remote Sensing,https://www.unm.edu/~fsalces/,Develops quantum sensors for high-precision metrology and sensing with potential space-based applications.,https://www.unm.edu/~fsalces/,Strongly Adjacent,https://www.unm.edu/~fsalces/,https://www.unm.edu/~fsalces/,https://www.unm.edu/~fsalces/
Barron Research Group,https://ghz.unm.edu/,Lab,https://ghz.unm.edu/,Space/Astrophysics,https://ghz.unm.edu/,Develops instrumentation for cosmic microwave background (CMB) measurements and other astrophysical observations.,https://ghz.unm.edu/,Direct,https://ghz.unm.edu/,https://ghz.unm.edu/,https://ghz.unm.edu/
CREATE (Center for Rapid Environmental Assessment and Terrain Evaluation),https://eps.unm.edu/research/analytical-laboratories/index.html,Research Center,https://eps.unm.edu/research/analytical-laboratories/index.html,Remote Sensing,https://eps.unm.edu/research/analytical-laboratories/index.html,Uses remote sensing and GIS technologies for rapid environmental assessment and infrastructure monitoring.,https://eps.unm.edu/research/analytical-laboratories/index.html,Strongly Adjacent,https://eps.unm.edu/research/analytical-laboratories/index.html,https://eps.unm.edu/research/analytical-laboratories/index.html,https://eps.unm.edu/research/analytical-laboratories/index.html
ARTS Lab,https://news.unm.edu/news/artslab-providing-community-tech-access-with-nasa-grant,Lab/Center,https://news.unm.edu/news/artslab-providing-community-tech-access-with-nasa-grant,Space (STEAM),https://news.unm.edu/news/artslab-providing-community-tech-access-with-nasa-grant,Received NASA funding to support STEAM programs like the Artemis in 3D Challenge and provide community access to space tech.,https://news.unm.edu/news/artslab-providing-community-tech-access-with-nasa-grant,Strongly Adjacent,https://news.unm.edu/news/artslab-providing-community-tech-access-with-nasa-grant,https://artslab.unm.edu/,https://news.unm.edu/news/artslab-providing-community-tech-access-with-nasa-grant
New Mexico Space Grant Consortium (NMSGC) - UNM Branch,https://nmspacegrant.nmsu.edu/,NASA-funded Grant Program,https://nmspacegrant.nmsu.edu/,Space,https://nmspacegrant.nmsu.edu/,"A NASA-funded consortium that supports space research, education, and outreach programs at UNM.",https://nmspacegrant.nmsu.edu/,Direct,https://nmspacegrant.nmsu.edu/,https://nmspacegrant.nmsu.edu/,https://nmspacegrant.nmsu.edu/
NM NASA EPSCoR - UNM Projects,https://nmnasaepscor.nmsu.edu/unm-projects/index.html,NASA-funded Grant Program,https://nmnasaepscor.nmsu.edu/unm-projects/index.html,Space,https://nmnasaepscor.nmsu.edu/unm-projects/index.html,Funds competitive space-related research and technology development projects at UNM through NASA EPSCoR grants.,https://nmnasaepscor.nmsu.edu/unm-projects/index.html,Direct,https://nmnasaepscor.nmsu.edu/unm-projects/index.html,https://nmnasaepscor.nmsu.edu/unm-projects/index.html,https://nmnasaepscor.nmsu.edu/unm-projects/index.html
