Name,Type,Category,Relevance,Confidence,Direct Link
Texas Rocket Engineering Lab (TREL),design team / student project research lab,Rockets,Interdisciplinary undergraduate rocket program building and testing liquid-fueled rockets with the explicit goal of reaching space. It is one of UT Austin’s clearest student rocket organizations.,Direct,https://texasrocketlab.ae.utexas.edu/
Longhorn Rocketry Association (LRA),student org / design team,Rockets,"Student-run high-power rocketry group that designs, builds, tests, and launches rockets and competes in the Spaceport America Cup. It is directly relevant to student rocketry.",Direct,https://sites.utexas.edu/sec/organizations/lra/
Texas Spacecraft Laboratory (TSL),lab / student research group,Satellites,"Student-driven lab dedicated to designing, building, launching, and operating small satellites and CubeSat-like missions. Its missions also include lunar navigation and high-altitude balloon testbeds.",Direct,https://sites.utexas.edu/tsl/
UT Austin Chapter of AIAA,student org,Space,Official student chapter of the American Institute of Aeronautics and Astronautics for students interested in aviation and space. It is a core campus organization for aerospace and space-engaged students.,Direct,https://www.ae.utexas.edu/undergraduate/student-community/leadership-and-networking-organizations
Astronomy Students Association (ASA),student org,Astronomy,"Student organization centered around astronomy and space science, with talks, outreach, observatory trips, and an astronomy learning community. It is directly space-related on the science side.",Direct,https://astronomy.utexas.edu/academics-overview/student-association
Texas Flight,design team / student org,UAV/Avionics,"Student-run aircraft design team competing in AIAA Design Build Fly. It is aviation-first rather than space-first, but it develops avionics, flight test, and aerospace systems skills adjacent to space engineering.",Strongly Adjacent,https://sites.utexas.edu/texasflight/
Unmanned Aerial Vehicles Austin (UAVA),student org / design team,UAV/Avionics,"Student team focused on hardware and software for autonomous fixed-wing aircraft in AUVSI SUAS. Its autonomy, controls, avionics, and air vehicle systems work is strongly adjacent to space robotics and guidance.",Strongly Adjacent,https://sites.utexas.edu/sec/organizations/uava/
Center for Space Research (CSR),center,Space,"Major UT research center spanning space and Earth sciences with work in geodesy, celestial mechanics, orbit determination, remote sensing, and space missions. This is one of UT’s principal institutional space hubs.",Direct,https://csr.utexas.edu/
"Space and Geophysics Laboratory (SGL), ARL:UT",lab,Remote Sensing,"ARL:UT laboratory conducting research in electromagnetic propagation, geopositioning, and remote sensing. It is clearly space-adjacent through sensing, positioning, and space/geophysics work.",Strongly Adjacent,https://wwwext.arlut.utexas.edu/sgl.shtml
"Multispectral Imaging Research Analysis (MIRA) Laboratory, ARL:UT",lab,Remote Sensing,Remote sensing group at ARL:UT working with multispectral imaging and analysis. Its work is relevant because remote sensors are often satellite- or aircraft-borne and directly support space-derived Earth observation.,Strongly Adjacent,https://wwwext.arlut.utexas.edu/mira/
Radionavigation Laboratory (RNL),lab,UAV/Avionics,"Research lab in secure and precise positioning, navigation, timing, and remote sensing. Although broader than space, its navigation and tracking work is highly relevant to spacecraft autonomy, satellite applications, and guidance.",Strongly Adjacent,https://radionavlab.ae.utexas.edu/
Department of Astronomy,departmental program,Astronomy,"UT Austin’s astronomy department conducts frontier research across cosmology, stars, planets, instrumentation, and observatory-based science. It is an obvious academic home for space science on campus.",Direct,https://astronomy.utexas.edu/
McDonald Observatory,observatory / university research facility,Astronomy,"University observatory with telescopes, instruments, research programs, and student-facing opportunities in observational astronomy. It is a major UT-affiliated astronomy institution.",Direct,https://mcdonald.utexas.edu/
Center for Planetary Systems Habitability (CPSH),center,Planetary,"Interdisciplinary UT center linking astronomy, geosciences, engineering, and other fields around planetary systems and habitability. It is directly relevant to astrobiology and planetary science.",Direct,https://habitability.utexas.edu/
UT Institute for Geophysics (UTIG),institute,Planetary,"Research institute explicitly focused on understanding Earth and other planets. It is broader than space engineering, but planetary geophysics is a direct part of its mission.",Direct,https://ig.utexas.edu/
UTIG Polar and Planetary,research group / institute program,Planetary,UTIG’s Polar and Planetary program uses space-based and other geophysical methods to study planetary and icy-world processes. It is directly relevant to planetary science and mission science.,Direct,https://ig.utexas.edu/polar-and-planetary/
Texas Space Grant Consortium (TSGC),consortium / program,Space,"NASA-linked statewide consortium administered at UT Austin that supports space research, education, fellowships, and student design work. It is not a student club, but it is a central UT-affiliated space program.",Direct,https://ig.utexas.edu/tsgc/
Texas Space Grant Design Challenge,student design program,Space,NASA-sponsored design competition administered by the Texas Space Grant Consortium for undergraduate teams tackling NASA research objectives. It functions as a recurring student-facing space design program.,Direct,https://ig.utexas.edu/designchallenge/
Fusion Research Center (FRC),center,Plasma,"UT center conducting experimental plasma physics and fusion research using tokamaks and plasma devices. It is not space-focused, but plasma science is materially adjacent to propulsion and space plasma topics.",Strongly Adjacent,https://www.frc.utexas.edu/
