Name,Type,Category,Relevance,Confidence,Direct Link
Notre Dame Rocketry Team (NDRT),Student Design Team,Rockets,"Designs and builds complex high-powered rockets with mission-oriented payloads for the NASA Student Launch Initiative.",Direct,https://sites.nd.edu/aiaa-club/
IrishSat,Student Organization,Satellites,"Develops low earth orbit platforms by designing and operating CubeSats carrying novel research payloads.",Direct,https://ndirishsat.com/
American Institute of Aeronautics and Astronautics (AIAA) ND Chapter,Student Chapter,Aerospace,"The university's only undergraduate aerospace professional society, overseeing major space and flight design teams.",Direct,https://sites.nd.edu/aiaa-club/
"Design, Build, Fly (DBF)",Student Design Team,UAV/Avionics,"An AIAA-affiliated student team focusing on the hands-on design, construction, and flight of unmanned aircraft.",Direct,https://sites.nd.edu/aiaa-club/engineering-clubs/
Cosmos,Student Club,Astronomy,"The official campus astronomy club that hosts stargazing events and operates the 32-inch Krizmanich research telescope.",Direct,https://notredameday.nd.edu/organizations/cosmos
Unmanned Aerial Vehicles Club (UAV ND),Student Club,UAV/Avionics,"Focuses on autonomous flight, aerial robotics, and custom flight control software development for UAV applications.",Direct,https://uavnd.com/
Hessert Laboratory for Aerospace Research,Research Facility,Aerospace,"Operates 19 high-speed wind tunnels to support innovations in hypersonic flight, aerodynamics, and space exploration components.",Direct,https://engineering.nd.edu/research-overview/facilities-and-resources/hessert-laboratory-for-aerospace-research-and-hessert-at-white-field/
Center for Astrophysics at Notre Dame University (CANDU),Research Center,Astronomy,"Conducts research on exoplanets, stellar evolution, supernovae, the Big Bang, and cosmology.",Direct,https://physics.nd.edu/research/research-centers-facilities/center-for-astrophysics/
Institute for Structure and Nuclear Astrophysics (ISNAP),Research Center,Astrophysics,"Operates the Nuclear Science Laboratory focusing on nucleosynthesis and stellar element evolution in supernovae.",Direct,https://isnap.nd.edu/
Notre Dame Power & Propulsion (ND P&P),Research Organization,Propulsion,"Leads major development and testing in high Mach air-breathing propulsion, gas-turbine engines, and hypersonic flight systems.",Strongly Adjacent,https://powerpropulsion.nd.edu/
Sigma Gamma Tau,Honor Society,Aerospace,"The national aerospace engineering honor society recognizing student excellence in aerospace-related fields.",Direct,https://sites.nd.edu/aiaa-club/
Robotics @ Notre Dame,Research Coalition,Robotics,"A collaborative group of roboticists focusing on autonomous systems; their work in intelligent navigation and control is highly applicable to space rovers and autonomous flight.",Loosely Adjacent,https://robotics.nd.edu/
Joint Institute for Nuclear Astrophysics (JINA-CEE),Multi-University Institute,Astrophysics,"An NSF physics frontier center studying the evolution of elements; Notre Dame is a core founding institution, though the center itself spans multiple universities.",Strongly Adjacent,https://isnap.nd.edu/
