Name,Type,Category,Relevance,Confidence,Direct Link
Space@VT (Center for Space Science and Engineering Research),Center,Space,"Serves as an interdisciplinary center advancing research in space weather, satellite systems, and space engineering.",Direct,https://www.space.vt.edu/
Kevin T. Crofton Department of Aerospace and Ocean Engineering,Departmental Program,Aerospace,"The primary academic department providing education, design teams, and research in aeronautics and astronautics.",Direct,https://www.aoe.vt.edu/
Rocketry at Virginia Tech,Design Team,Rockets,Engineering design team that builds and launches high-powered rockets to compete in the Intercollegiate Rocket Engineering Competition (IREC).,Direct,https://rocketryatvirginiatech.org/
Gobble Rockets at Virginia Tech (GRAVT),Design Team,Rockets,Introductory rocketry design team focused on teaching engineering skills through the Battle of the Rockets competition.,Direct,https://gobblerconnect.vt.edu/organization/gravt
Orbital Launch Vehicle Team (OLVT),Design Team,Rockets,Amateur organization aiming to successfully build and fly an orbital launch vehicle to place a payload into Low Earth Orbit.,Direct,
RockSat-X (Virginia Tech Team),Design Team,Rockets,Student team that designs and builds modular payloads for sounding rockets launched from NASA's Wallops Flight Facility.,Direct,
inspireFly,Design Team,CubeSats,"Student-led engineering team dedicated to designing, building, and deploying CubeSats into low-Earth orbit.",Direct,
CanSat at Virginia Tech,Design Team,Satellites,Designs space-capable mock payloads to compete in the AAS Cansat Competition sponsored by NASA and Lockheed Martin.,Direct,
Virginia CubeSat Constellation Team (Ceres),Project,CubeSats,Collaborative student project that built and validated a 1U CubeSat deployed from the ISS to measure atmospheric drag.,Direct,https://vsgc.odu.edu/virginiacubesatconstellation/
Puri Satellite Ground Network (PSGN),Lab,Satellites,"Operates ground stations for spacecraft communications, enabling student experiential learning in satellite data processing.",Direct,https://www.space.vt.edu/psgn.html
Virginia Tech Ground Station (VTGS),Lab,Satellites,Provides real-time amateur radio satellite communication and operational capabilities for university missions.,Direct,https://www.space.vt.edu/research.html
Astronomy Club of Virginia Tech (ACVT),Student Org,Astronomy,"General interest club providing stargazing opportunities, educational outreach, and access to the university observatory.",Direct,https://www.vtastroclub.org/
Nicholas R. Anderson Observatory,Facility,Astronomy,University observatory equipped with a CDK500 system used for astronomical research and student telescope operation lessons.,Direct,https://seawestobservatories.com/projects/virginia-tech-observatory/
Field and Space Experimental Robotics (FASER) Laboratory,Lab,Robotics,"Develops advanced methods for robotic collaboration, construction, and autonomous servicing on the ground and in space.",Direct,https://faser.me.vt.edu/
Virginia Tech Astrobotics,Design Team,Planetary,Multidisciplinary team designing and building a semi-autonomous rover to compete in the NASA Robotic Mining Competition.,Direct,
Space Drones (Space Based Robotic Platforms),Lab,Robotics,Facility providing a combined hardware and software testbed and spacecraft simulator for distributed autonomous coordination.,Direct,https://spacedrones.aoe.vt.edu/
Drone Racing Team at Virginia Tech,Design Team,UAV/Avionics,"Teaches mechanical, electrical, and aerospace concepts through designing, building, programming, and racing FPV drones.",Strongly Adjacent,https://gobblerconnect.vt.edu/organization/vtdrt
Kentland Experimental Aerial Systems (KEAS) Lab / Drone Park,Facility,UAV/Avionics,Facilities enabling research collaborations and student training involving small unmanned aerial vehicles (UAVs).,Strongly Adjacent,https://drones.ictas.vt.edu/dronepark.html
"AIAA Design, Build, Fly at Virginia Tech",Design Team,Aerospace,"Designs, fabricates, and tests remote-controlled aircraft for the annual AIAA DBF competition.",Strongly Adjacent,
MachWorks,Design Team,UAV/Avionics,Aims to design and build an autonomous supersonic fixed-wing UAV powered by turbojet engines.,Strongly Adjacent,
Students for the Exploration and Development of Space (SEDS),Student Org,Space,"Independent organization promoting space exploration and development through education, networking, and leadership.",Direct,
Society of Women in Aviation and Space Exploration (SWASE),Student Org,Aerospace,Professional organization empowering women and minorities in aeronautic and astronautic fields through workshops and networking.,Direct,
American Institute of Aeronautics and Astronautics (AIAA) VT Branch,Student Org,Aerospace,Active student branch of the premier aerospace engineering professional society hosting design competitions and networking.,Direct,
Society of Flight Test Engineers (SFTE) VT Branch,Student Org,Aerospace,Student organization dedicated to the advancement of flight test engineering for aerospace vehicles.,Strongly Adjacent,
Aerospace Structures and Materials Laboratory (ASML),Lab,Aerospace,Research and educational facility dedicated to the understanding of structures and materials for aerospace applications.,Direct,https://www.aoe.vt.edu/research/facilities/ASML.html
SuperDARN Space Weather Radar Facility,Lab,Plasma,Operates a global HF radar network to monitor and study space weather and upper atmospheric dynamics.,Direct,https://www.space.vt.edu/research.html
Space Plasma Chamber,Lab,Plasma,Research facility simulating plasma and ionospheric conditions for aerospace and geospace studies.,Direct,https://www.space.vt.edu/research.html
Magnetosphere–Ionosphere Science Team (MIST),Research Group,Space,Investigates coupled geospace dynamics and modeling of the Earth's upper atmosphere and magnetic fields.,Direct,https://www.space.vt.edu/research.html
AutoBoat at Virginia Tech,Design Team,Robotics,Designs fully autonomous robotic sailboats; highly adjacent to autonomous navigation and guidance systems used in aerospace.,Loosely Adjacent,
Wind Turbine Team at Virginia Tech,Design Team,Aerospace,Designs and tests wind turbines; relevant to aerospace concepts like aerodynamics and fluid mechanics.,Loosely Adjacent,
Society of Naval Architects and Marine Engineers (SNAME) VT,Student Org,Aerospace,Ocean engineering society whose studies in hydronautics closely parallel aerospace fluid dynamics.,Loosely Adjacent,
