name,name_citation,type,type_citation,space_category,space_category_citation,relevance_explanation,relevance_explanation_citation,confidence_rating,confidence_rating_citation,status,status_citation,campus,campus_citation,website_url,website_url_citation
Rutgers Rocket Propulsion Lab (RRPL),https://aiaa.rutgers.edu/RPL/,Student Team/Lab,https://aiaa.rutgers.edu/RPL/,Rockets,https://aiaa.rutgers.edu/RPL/,"Student-led team focusing on advancing high-powered rocketry technologies, competing in ESRA Spaceport America Cup",https://aiaa.rutgers.edu/RPL/,Direct,https://aiaa.rutgers.edu/RPL/,active,https://aiaa.rutgers.edu/RPL/,New Brunswick,https://aiaa.rutgers.edu/RPL/,https://aiaa.rutgers.edu/RPL/,https://aiaa.rutgers.edu/RPL/
Rutgers Astronomical Society,https://ras.physics.rutgers.edu/,Club,https://ras.physics.rutgers.edu/,Astronomy,https://ras.physics.rutgers.edu/,"Uniting those fascinated with space, discussing and observing the cosmos, hosting public observing nights",https://ras.physics.rutgers.edu/,Direct,https://ras.physics.rutgers.edu/,active,https://ras.physics.rutgers.edu/,New Brunswick,https://ras.physics.rutgers.edu/,https://ras.physics.rutgers.edu/,https://ras.physics.rutgers.edu/
American Institute of Aeronautics and Astronautics (AIAA) - Rutgers Chapter,https://soe.rutgers.edu/student-experience/student-organizations,Organization,https://soe.rutgers.edu/student-experience/student-organizations,Aerospace,https://soe.rutgers.edu/student-experience/student-organizations,Professional society chapter focused on aeronautics and astronautics,https://soe.rutgers.edu/student-experience/student-organizations,Direct,https://soe.rutgers.edu/student-experience/student-organizations,active,https://soe.rutgers.edu/student-experience/student-organizations,New Brunswick,https://soe.rutgers.edu/student-experience/student-organizations,https://aiaa.rutgers.edu/,https://soe.rutgers.edu/student-experience/student-organizations
Space Technology Association of Rutgers (STAR),https://njsgc.rutgers.edu/njsgc-programs/higher-education,Club,https://njsgc.rutgers.edu/njsgc-programs/higher-education,Rockets,https://njsgc.rutgers.edu/njsgc-programs/higher-education,"Student-led chapter of SEDS (Students for the Exploration and Development of Space), enables students to build rockets",https://njsgc.rutgers.edu/njsgc-programs/higher-education,Direct,https://njsgc.rutgers.edu/njsgc-programs/higher-education,active,https://njsgc.rutgers.edu/njsgc-programs/higher-education,New Brunswick,https://njsgc.rutgers.edu/njsgc-programs/higher-education,http://star.physics.rutgers.edu/,https://njsgc.rutgers.edu/njsgc-programs/higher-education
SPACE Lab (Space Propulsion with Advanced Chemistry and Energetics Lab),https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,Lab,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,Propulsion,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,"Research lab dedicated to advancing spaceflight and aerospace propulsion, exploring spacecraft and rocket propulsion, propellants and energetics",https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,Direct,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,active,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,New Brunswick,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion,https://sites.rutgers.edu/space-lab/,https://soe.rutgers.edu/news/lab-report-advancing-spaceflight-and-aerospace-propulsion
New Jersey Space Grant Consortium (NJSGC),https://njsgc.rutgers.edu/,Program,https://njsgc.rutgers.edu/,Space Education,https://njsgc.rutgers.edu/,"NASA's educational arm in New Jersey for higher education, supporting rocketry, ballooning, CubeSat programs, and aerospace research",https://njsgc.rutgers.edu/,Direct,https://njsgc.rutgers.edu/,active,https://njsgc.rutgers.edu/,New Brunswick,https://njsgc.rutgers.edu/,https://njsgc.rutgers.edu/,https://njsgc.rutgers.edu/
RUAirborne,https://aiaa.rutgers.edu/ruairborne.html,Club,https://aiaa.rutgers.edu/ruairborne.html,Aerospace,https://aiaa.rutgers.edu/ruairborne.html,"Competes in AIAA Design-Build-Fly Competition, researches aircraft design using computational fluid dynamics",https://aiaa.rutgers.edu/ruairborne.html,Direct,https://aiaa.rutgers.edu/ruairborne.html,active,https://aiaa.rutgers.edu/ruairborne.html,New Brunswick,https://aiaa.rutgers.edu/ruairborne.html,https://aiaa.rutgers.edu/ruairborne.html,https://aiaa.rutgers.edu/ruairborne.html
RUAutonomous,https://aiaa.rutgers.edu/ruautonomous.html,Club,https://aiaa.rutgers.edu/ruautonomous.html,Aerospace,https://aiaa.rutgers.edu/ruautonomous.html,Competes in AUVSI SUAS competition involving autonomous aerial systems for search and rescue operations,https://aiaa.rutgers.edu/ruautonomous.html,Direct,https://aiaa.rutgers.edu/ruautonomous.html,active,https://aiaa.rutgers.edu/ruautonomous.html,New Brunswick,https://aiaa.rutgers.edu/ruautonomous.html,https://aiaa.rutgers.edu/ruautonomous.html,https://aiaa.rutgers.edu/ruautonomous.html
RU Pilots,https://aiaa.rutgers.edu/rupilots.html,Club,https://aiaa.rutgers.edu/rupilots.html,Aviation,https://aiaa.rutgers.edu/rupilots.html,"Aviation training club teaching aerodynamics, navigation, and flight simulation",https://aiaa.rutgers.edu/rupilots.html,Strongly Adjacent,https://aiaa.rutgers.edu/rupilots.html,active,https://aiaa.rutgers.edu/rupilots.html,New Brunswick,https://aiaa.rutgers.edu/rupilots.html,https://aiaa.rutgers.edu/rupilots.html,https://aiaa.rutgers.edu/rupilots.html
Society of Physics Students (Rutgers Chapter),https://sps.physics.rutgers.edu/,Organization,https://sps.physics.rutgers.edu/,Physics,https://sps.physics.rutgers.edu/,"Physics student organization within Department of Physics and Astronomy, supporting physics education and community",https://sps.physics.rutgers.edu/,Strongly Adjacent,https://sps.physics.rutgers.edu/,active,https://sps.physics.rutgers.edu/,New Brunswick,https://sps.physics.rutgers.edu/,https://sps.physics.rutgers.edu/,https://sps.physics.rutgers.edu/
Department of Physics and Astronomy - Astrophysics Research Group,https://www.physics.rutgers.edu/homes-groups.html,Research Group,https://www.physics.rutgers.edu/homes-groups.html,Astrophysics,https://www.physics.rutgers.edu/homes-groups.html,"Faculty and students pursuing observational and theoretical astrophysics programs studying galaxies, dark matter, cosmic structure",https://www.physics.rutgers.edu/homes-groups.html,Direct,https://www.physics.rutgers.edu/homes-groups.html,active,https://www.physics.rutgers.edu/homes-groups.html,New Brunswick,https://www.physics.rutgers.edu/homes-groups.html,https://physics.rutgers.edu/research/astrophysics/astronomy-research-overview,https://www.physics.rutgers.edu/homes-groups.html
