official_name,official_name_citation,organization_type,organization_type_citation,category,category_citation,relevance_explanation,relevance_explanation_citation,confidence_level,confidence_level_citation,official_page_link,official_page_link_citation,status,status_citation
Florida Space Institute (FSI),https://fsi.ucf.edu/,Institute,https://fsi.ucf.edu/about-us/,Space,https://fsi.ucf.edu/,"FSI supports space research, development, and education activities at UCF and across Florida, managing several key labs and projects.",https://fsi.ucf.edu/about-us/,Direct,https://fsi.ucf.edu/,https://fsi.ucf.edu/,https://fsi.ucf.edu/,Active,https://fsi.ucf.edu/
Florida Space Grant Consortium (FSGC),https://floridaspacegrant.org/about-us/affiliates/,Affiliated Group / Consortium,https://floridaspacegrant.org/about-us/,Space,https://floridaspacegrant.org/,"Headquartered at UCF, FSGC is a NASA-funded organization that coordinates space-related research and education programs across Florida universities.",https://floridaspacegrant.org/about-us/,Direct,https://floridaspacegrant.org/,https://floridaspacegrant.org/,https://floridaspacegrant.org/,Active,https://floridaspacegrant.org/
UCF Planetary Sciences Group,https://planets.ucf.edu/,Research Group,https://planets.ucf.edu/,Planetary Science,https://planets.ucf.edu/,"A multidisciplinary group of faculty and students researching spacecraft, telescopes, meteorites, and laboratories to explore the solar system.",https://planets.ucf.edu/,Direct,https://planets.ucf.edu/,https://planets.ucf.edu/,https://planets.ucf.edu/,Active,https://planets.ucf.edu/
The Stephen W. Hawking Center for Microgravity Research and Education,https://sciences.ucf.edu/physics/microgravity/,Center,https://sciences.ucf.edu/physics/microgravity/,Space,https://sciences.ucf.edu/physics/microgravity/research/,"A joint venture between UCF and Space Florida that conducts and facilitates research in microgravity sciences, including ground-based and flight experiments.",https://sciences.ucf.edu/physics/microgravity/,Direct,https://sciences.ucf.edu/physics/microgravity/,https://sciences.ucf.edu/physics/microgravity/,https://sciences.ucf.edu/physics/microgravity/,Active,https://sciences.ucf.edu/physics/microgravity/
Center for Lunar & Asteroid Surface Science (CLASS),https://sciences.ucf.edu/class/science/,Center,https://sciences.ucf.edu/class/science/,Planetary Science,https://sciences.ucf.edu/class/science/,CLASS focus on the intersection of surface science and surface exploration of the Moon and asteroids as part of the NASA SSERVI network.,https://sciences.ucf.edu/class/science/,Direct,https://sciences.ucf.edu/class/science/,https://sciences.ucf.edu/class/science/,https://sciences.ucf.edu/class/science/,Active,https://sciences.ucf.edu/class/science/
Exolith Lab,https://fsi.ucf.edu/exolith-lab/,Lab,https://fsi.ucf.edu/exolith-lab/,Space,https://fsi.ucf.edu/exolith-lab/,"Managed by FSI, this facility develops high-fidelity regolith simulants for testing space hardware and conducting planetary research.",https://fsi.ucf.edu/exolith-lab/,Direct,https://fsi.ucf.edu/exolith-lab/,https://fsi.ucf.edu/exolith-lab/,https://fsi.ucf.edu/exolith-lab/,Active,https://fsi.ucf.edu/exolith-lab/
Small Bodies Lab,https://fsi.ucf.edu/small-bodies-lab/,Lab,https://fsi.ucf.edu/small-bodies-lab/,Planetary Science,https://fsi.ucf.edu/small-bodies-lab/,A collaborative space at FSI where students conduct experiments and analyze data related to asteroids and other small solar system bodies.,https://fsi.ucf.edu/small-bodies-lab/,Direct,https://fsi.ucf.edu/small-bodies-lab/,https://fsi.ucf.edu/small-bodies-lab/,https://fsi.ucf.edu/small-bodies-lab/,Active,https://fsi.ucf.edu/small-bodies-lab/
"Center for Science, Technology and Advanced Research in Space (C-STARS)",https://www.cstars.space/,Center,https://www.cstars.space/,Space Manufacturing,https://www.cstars.space/,A multidisciplinary research hub focused on advancing space manufacturing and biotechnology in microgravity.,https://www.cstars.space/,Direct,https://www.cstars.space/,https://www.cstars.space/,https://www.cstars.space/,Active,https://www.cstars.space/
UCF Aerospace Medicine Program,https://med.ucf.edu/aerospace-medicine/,Program,https://med.ucf.edu/aerospace-medicine/,Space Medicine,https://med.ucf.edu/aerospace-medicine/,"Based at the College of Medicine, this program pioneers research and clinical services related to human health in space and extreme environments.",https://med.ucf.edu/aerospace-medicine/,Direct,https://med.ucf.edu/aerospace-medicine/,https://med.ucf.edu/aerospace-medicine/,https://med.ucf.edu/aerospace-medicine/,Active,https://med.ucf.edu/aerospace-medicine/
Human Research Program for Civilian Spaceflight (HRP-C),https://hrp-c.org/,Program / Initiative,https://hrp-c.org/about-us/,Space Medicine,https://hrp-c.org/,"An initiative at UCF addressing the health, safety, and performance of civilian participants in commercial spaceflight missions.",https://hrp-c.org/about-us/,Direct,https://hrp-c.org/,https://hrp-c.org/,https://hrp-c.org/,Active,https://hrp-c.org/
