name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,confidence,confidence_citation,direct_link,direct_link_citation
Space and Satellite Systems (SSS) Club,https://www.spacesystemsclub.org/,Student Design Team,https://www.spacesystemsclub.org/,Satellites / CubeSats,https://www.spacesystemsclub.org/,"An undergraduate student team developing CubeSat missions, including the REALOP-1 mission selected by NASA's CubeSat Launch Initiative.",https://www.spacesystemsclub.org/,Direct,https://www.spacesystemsclub.org/,https://www.spacesystemsclub.org/,https://www.spacesystemsclub.org/
Aggie Propulsion and Rocketry Lab (APRL),https://aggielife.ucdavis.edu/APRL/,Student Design Team,https://aggielife.ucdavis.edu/APRL/,Propulsion / Rocketry,https://aggielife.ucdavis.edu/APRL/,"A student-run organization focused on the design and construction of bi-propellant liquid-fueled rockets, aiming to launch the first student-built liquid rocket at UC Davis.",https://aggielife.ucdavis.edu/APRL/,Direct,https://aggielife.ucdavis.edu/APRL/,https://aggielife.ucdavis.edu/APRL/,https://aggielife.ucdavis.edu/APRL/
Aggie Space Initiative (ASI) - SEDS UC Davis,https://give.ucdavis.edu/2400/76809,Student Organization,https://give.ucdavis.edu/2400/76809,Space Exploration,https://give.ucdavis.edu/2400/76809,"The UC Davis chapter of Students for the Exploration and Development of Space (SEDS), which competes in NASA design challenges like MITTIC.",https://give.ucdavis.edu/2400/76809,Direct,https://give.ucdavis.edu/2400/76809,https://give.ucdavis.edu/2400/76809,https://give.ucdavis.edu/2400/76809
American Institute of Aeronautics and Astronautics (AIAA) at UC Davis,https://aggielife.ucdavis.edu/aiaa/home/,Student Branch,https://aggielife.ucdavis.edu/aiaa/home/,Aerospace Engineering,https://aggielife.ucdavis.edu/aiaa/home/,"The UC Davis student chapter of AIAA, providing professional networking and design opportunities for students interested in aerospace.",https://aggielife.ucdavis.edu/aiaa/home/,Direct,https://aggielife.ucdavis.edu/aiaa/home/,https://aggielife.ucdavis.edu/aiaa/home/,https://aggielife.ucdavis.edu/aiaa/home/
UC Davis Center for Spaceflight Research (CSFR),https://engineering.ucdavis.edu/news/moonshots-inside-uc-davis-center-spaceflight-research,Research Center,https://engineering.ucdavis.edu/news/moonshots-inside-uc-davis-center-spaceflight-research,Spaceflight,https://engineering.ucdavis.edu/news/moonshots-inside-uc-davis-center-spaceflight-research,"A transdisciplinary research center directed by former astronaut Stephen Robinson, coordinating spaceflight research across multiple laboratories.",https://engineering.ucdavis.edu/news/moonshots-inside-uc-davis-center-spaceflight-research,Direct,https://engineering.ucdavis.edu/news/moonshots-inside-uc-davis-center-spaceflight-research,https://engineering.ucdavis.edu/news/moonshots-inside-uc-davis-center-spaceflight-research,https://engineering.ucdavis.edu/news/moonshots-inside-uc-davis-center-spaceflight-research
Human/Robotics/Vehicle Integration and Performance (HRVIP) Laboratory,https://hrvip.ucdavis.edu/,Research Lab,https://hrvip.ucdavis.edu/,Space Robotics,https://hrvip.ucdavis.edu/,"A laboratory within CSFR focusing on human-machine cooperation, spacecraft robotics, and the design of deep-space habitats.",https://hrvip.ucdavis.edu/,Direct,https://hrvip.ucdavis.edu/,https://hrvip.ucdavis.edu/,https://hrvip.ucdavis.edu/
Bioastronautics and eXploration Systems (BXS) Laboratory,https://mae.ucdavis.edu/faculty-research/research-centers,Research Lab,https://mae.ucdavis.edu/faculty-research/research-centers,Bioastronautics,https://mae.ucdavis.edu/faculty-research/research-centers,Conducts interdisciplinary research on the physiology of human spaceflight and the design of systems for long-duration missions.,https://mae.ucdavis.edu/faculty-research/research-centers,Direct,https://mae.ucdavis.edu/faculty-research/research-centers,https://mae.ucdavis.edu/faculty-research/research-centers,https://mae.ucdavis.edu/faculty-research/research-centers
Complex Human-Physiological Systems (CHPS) Laboratory,https://www.cphslab.com/,Research Lab,https://www.cphslab.com/,Bioastronautics,https://www.cphslab.com/,Studies human physiological responses to the extreme conditions of spaceflight as part of the Center for Spaceflight Research.,https://www.cphslab.com/,Direct,https://www.cphslab.com/,https://www.cphslab.com/,https://www.cphslab.com/
"Advanced Composites Research, Engineering and Science (ACRES) Laboratory",https://faculty.engineering.ucdavis.edu/lasaponara/,Research Lab,https://faculty.engineering.ucdavis.edu/lasaponara/,Aerostructures,https://faculty.engineering.ucdavis.edu/lasaponara/,Focuses on the durability and mechanics of fiber-reinforced polymer composites for aerospace applications.,https://faculty.engineering.ucdavis.edu/lasaponara/,Strongly Adjacent,https://faculty.engineering.ucdavis.edu/lasaponara/,https://faculty.engineering.ucdavis.edu/lasaponara/,https://faculty.engineering.ucdavis.edu/lasaponara/
Planetary Science Research Group,https://eps.ucdavis.edu/research/group/planetarysci,Research Group,https://eps.ucdavis.edu/research/group/planetarysci,Planetary Science,https://eps.ucdavis.edu/research/group/planetarysci,An Earth and Planetary Sciences group studying the origin and evolution of planetary bodies in the solar system.,https://eps.ucdavis.edu/research/group/planetarysci,Direct,https://eps.ucdavis.edu/research/group/planetarysci,https://eps.ucdavis.edu/research/group/planetarysci,https://eps.ucdavis.edu/research/group/planetarysci
