Name,Type,Category,Relevance,Confidence,Direct Link
Northeastern University Aerospace (AeroNU),Student Organization,Rockets,"Primary aerospace club managing competition rocket teams (NASA Student Launch, Spaceport America) and high-altitude balloon projects.",Direct,https://nu-aerospace.com/
Project Redshift,Design Team,Rockets,Student-led team under AeroNU developing liquid-fueled sounding rockets for the Dollar-per-Foot (DPF) challenge.,Direct,https://nu-aerospace.com/projects/redshift
Northeastern University Rover Team (NU Rover),Design Team,Robotics,Develops Mars-style rovers to compete in the University Rover Challenge (URC) focusing on autonomous navigation and soil analysis.,Direct,https://nurover.org/
Northeastern Satellite Systems (NUSS),Design Team,Satellites,Formerly known as the CubeSat team; focuses on the design and integration of small satellites for NASA's CubeSat Launch Initiative.,Direct,https://nu-aerospace.com/projects/nuss
AstroNU,Student Organization,Astronomy,"Northeastern's undergraduate astronomy club focused on observation, telescope operation, and astrophysical workshops.",Direct,https://northeastern.campuslabs.com/engage/organization/astronu
SEDS Northeastern,Student Organization,Space,Northeastern chapter of Students for the Exploration and Development of Space focusing on space exploration advocacy and technology.,Direct,https://northeastern.campuslabs.com/engage/organization/seds-neu
Robotics and Intelligent Vehicles Research (RIVeR) Lab,Lab,Robotics,"Conducts research on humanoid robotics (e.g., NASA's Valkyrie) for extreme environments including space exploration tasks.",Direct,https://river.coe.neu.edu/
Wireless Networks and Embedded Systems (WIneS) Lab,Lab,UAV/Avionics,Researches terahertz communications and Non-Terrestrial Networks (NTN) including satellite and high-altitude platform connectivity.,Strongly Adjacent,https://ece.northeastern.edu/wineslab/
Aware Laboratory,Lab,Remote Sensing,Investigates cognitive radio and wireless sensing systems frequently applied in aerial and orbital remote sensing platforms.,Strongly Adjacent,https://ece.northeastern.edu/aware/
Kostas Research Institute for Homeland Security (KRI),Institute,UAV/Avionics,"A major R&D hub for defense and aerospace technology, including uncrewed aerial systems (UAS) and resilient infrastructure.",Strongly Adjacent,https://kri.northeastern.edu/
Institute for the Wireless Internet of Things (WIoT),Institute,UAV/Avionics,Manages the Colosseum wireless testbed used for large-scale modeling of UAV networks and satellite constellation communications.,Strongly Adjacent,https://wiot.northeastern.edu/
Northeastern University Astrophysics Research Group,Faculty Group,Astronomy,"A core research group in the Physics Department focusing on cosmology, dark matter surveys, and Large Scale Structure.",Direct,https://cos.northeastern.edu/physics/research/astrophysics/
High-Altitude Balloon Team (NU-HAB),Design Team,Space,Sub-group of AeroNU that designs high-altitude balloon payloads for atmospheric science and technology testing.,Direct,https://nu-aerospace.com/projects/hab
Plasma Science and Engineering Research Group,Lab,Plasma,Researches plasma-material interactions and plasma physics relevant to spacecraft propulsion and thermal protection systems.,Direct,https://coe.northeastern.edu/research/mechanical-industrial-engineering/plasma-science-and-engineering-research-group/
Center for High-rate Nanomanufacturing (CHN),Center,Space,Develops advanced nanomanufacturing processes for high-performance materials used in aerospace and space-based electronics.,Strongly Adjacent,https://nanomanufacturing.northeastern.edu/
Laboratory for Advanced Materials and Processes (LAMP),Lab,Propulsion,Researches additive manufacturing and materials for high-temperature applications like rocket engine components and turbine blades.,Strongly Adjacent,https://lamp.northeastern.edu/
NU-UAV,Design Team,UAV/Avionics,"Design team focused on the development of uncrewed aerial vehicles, autonomous flight controls, and aerial sensing.",Direct,https://northeastern.campuslabs.com/engage/organization/nu-uav
Northeastern University Experimental Rocketry,Design Team,Rockets,A historical student group that merged into the current AeroNU rocket competition teams.,Direct,https://nu-aerospace.com/
Global Resilience Institute (GRI),Institute,Remote Sensing,"Utilizes satellite data and remote sensing to assess global risks, infrastructure resilience, and climate impact.",Loosely Adjacent,https://globalresilience.northeastern.edu/
AIAA Northeastern Student Chapter,Student Org,Aerospace,The former name of the primary aerospace organization before restructuring into Northeastern Aerospace (AeroNU).,Direct,https://nu-aerospace.com/
