"Name","Type","Category","Relevance","Confidence","Direct Link"
"Students for the Exploration and Development of Space (SEDS)","Student Org","Rockets / Propulsion","Designs and hot-fire tests liquid bi-propellant rocket engines like SPARK I and competes in the Spaceport America Cup.","Direct","[https://involvementcenter.unlv.edu/organization/seds](https://www.google.com/search?q=https://involvementcenter.unlv.edu/organization/seds)"
"RebelSat","Student Org / Design Team","Satellites / CubeSats","Student-led initiative dedicated to designing, building, testing, and operating CubeSats for space-based research.","Direct","[https://involvementcenter.unlv.edu/organization/rebelsat](https://involvementcenter.unlv.edu/organization/rebelsat)"
"Nevada Center for Astrophysics (NCfA)","Center","Astronomy / Astrophysics","Advances theoretical and observational research on black holes, exoplanets, and cosmology utilizing large-scale simulations.","Direct","[https://ncfa.physics.unlv.edu/](https://ncfa.physics.unlv.edu/)"
"American Institute of Aeronautics and Astronautics (AIAA)","Student Org","Aerospace","Fosters interest and implements aerospace-related engineering projects, aeronautics, and space applications for students.","Direct","[https://involvementcenter.unlv.edu/organization/unlvaiaa](https://involvementcenter.unlv.edu/organization/unlvaiaa)"
"Department of Physics and Astronomy","Departmental Program","Astronomy / Planetary","Manages the university's core space science curriculum, observational labs, and conducts astrophysical research.","Direct","[https://www.unlv.edu/physics](https://www.google.com/search?q=https://www.unlv.edu/physics)"
"Unmanned Aerial Systems (UAS) Program","Departmental Program","UAV / Avionics","Interdisciplinary team focusing on UAS technology, unmanned aerial vehicle testing, and the autonomous aviation industry.","Strongly Adjacent","[https://www.unlv.edu/uas](https://www.unlv.edu/uas)"
"Drones and Autonomous Systems Lab (DASL) / Robotics Lab","Lab","Robotics / UAV","Develops unmanned aerial systems and humanoid robots with applications directly transferable to aerospace automation.","Strongly Adjacent","[https://www.unlv.edu/engineering/centers](https://www.unlv.edu/engineering/centers)"
"High Pressure Science and Engineering Center (HiPSEC)","Center","Planetary Science","Studies matter under extreme high pressure and temperature conditions, crucial for understanding planetary interiors and space material survivability.","Strongly Adjacent","[https://www.unlv.edu/physics](https://www.google.com/search?q=https://www.unlv.edu/physics)"
"GIS and Remote Sensing Lab","Lab","Remote Sensing","Conducts research in geographic information systems and remote sensing, which are foundational technologies for satellite-based earth observation.","Strongly Adjacent","[https://www.unlv.edu/engineering/centers](https://www.unlv.edu/engineering/centers)"
"Laser-Plasma Physics Group","Faculty Group / Lab","Plasma","Conducts research on charge transfer processes and radiative lifetimes in tokamak fusion plasmas, which has theoretical overlap with advanced space propulsion.","Loosely Adjacent","[https://www.physics.unlv.edu/](https://www.physics.unlv.edu/)"
"Introductory Astronomy Laboratory (astlab)","Lab","Astronomy","Provides hands-on observation with Schmidt-Cassegrain telescopes, but functions primarily as an instructional facility rather than a distinct research group.","Direct","[https://www.physics.unlv.edu/\~jeffery/course/c\_astlab/ast.html](https://www.physics.unlv.edu/~jeffery/course/c_astlab/ast.html)"
