"Name","Type","Category","Relevance","Confidence","Direct Link"
"MIT Rocket Team","Student design team / club","Rockets, Propulsion, UAV/Avionics","Student team building and launching high-power rockets, including Spaceport America Cup vehicles and liquid-engine / flight-electronics work.","Direct","https://rocketry.mit.edu/"
"Students for the Exploration and Development of Space (MIT SEDS)","Student org","Space, Satellites","MIT’s SEDS chapter runs social/outreach activity and technical space projects; it is developing the ADORE 1U CubeSat with electrospray thrusters from MIT’s Space Propulsion Lab.","Direct","https://edgerton.mit.edu/mit-students/clubs-teams/students-exploration-and-development-space"
"MIT Satellite Team","Student design team","Satellites, CubeSats","Undergraduate-led satellite hub focused on satellite systems, software, and hardware engineering, with backing from AeroAstro and the Small Satellite Collaborative.","Direct","https://satellite.mit.edu/"
"MIT Astrogazers","Student/graduate outreach group","Astronomy","Graduate-student-led astronomy outreach group that brings telescopes into the community for public observing and astronomy engagement.","Direct","https://astrogazers.mit.edu/"
"Small Satellite Collaborative","Research collaborative","Satellites, CubeSats","MIT organization supporting research and education on small satellites, including missions, subsystems, payloads, and enabling technologies.","Direct","https://aeroastro.mit.edu/small-satellite-collaborative/"
"Space Systems Laboratory (SSL)","Research lab","Space, Satellites, Avionics","Space-systems lab focused on design and integration of future space systems; its expertise includes ADCS, avionics, communications, payloads, and small satellites.","Direct","https://ssl.mit.edu/"
"Space Propulsion Laboratory (SPL)","Research lab","Propulsion, Space","MIT lab conducting propulsion-system engineering, electric propulsion characterization, electrospray thruster fabrication, and broader spacecraft systems engineering.","Direct","https://spacepropulsion.mit.edu/"
"Space Telecommunications, Astronomy and Radiation Laboratory (STAR Lab)","Research lab","Satellites, Astronomy, Remote Sensing","STAR Lab develops small-spacecraft capabilities spanning optical communications, astrophysical instrumentation, remote sensing, and in-space assembly.","Direct","https://starlab.mit.edu/"
"ARCLab (Astrodynamics, Space Robotics, and Controls Lab)","Research lab","Robotics, Space","ARCLab explicitly works at the intersection of astrodynamics, autonomy, and controls to support space exploration.","Direct","https://arclab.mit.edu/"
"MIT Kavli Institute for Astrophysics and Space Research","Institute","Astronomy, Astrophysics, Space","Major MIT institute for astrophysics and space research, combining space and ground-based instrumentation with astrophysics research.","Direct","https://www.space.mit.edu/"
"MIT Haystack Observatory","Observatory / research center","Astronomy, Remote Sensing","MIT interdisciplinary observatory doing radio astronomy, geodesy, and atmospheric science; clearly relevant for astronomy and some remote-sensing-adjacent work.","Direct","https://www.haystack.mit.edu/"
"Wallace Astrophysical Observatory","Observatory / teaching-research facility","Astronomy","MIT optical observatory used for undergraduate teaching and research in astronomy/astrophysics.","Direct","https://web.mit.edu/wallace/"
"Human Systems Laboratory (HSL)","Research lab","Space, Human Spaceflight, Robotics","AeroAstro lab studying human physiological and cognitive performance for spacecraft and other systems; its work includes spacesuits, planetary mission resource utilization, space teleoperation, and artificial gravity.","Direct","https://hsl.mit.edu/"
"Space Enabled","Research group","Space, Remote Sensing, Policy","Danielle Wood’s group uses designs enabled by space technology, with background in satellite design, Earth science applications, systems engineering, and space policy.","Direct","https://aeroastro.mit.edu/research/"
"MIT Space Exploration Initiative","University-affiliated initiative","Space, Robotics, Propulsion","Media Lab–affiliated initiative creating and deploying space technologies and explicitly focused on democratizing access to space exploration.","Direct","https://www.explore-space.mit.edu/"
"Aerospace Controls Laboratory (ACL)","Research lab","UAV/Avionics, Guidance, Space","ACL works on autonomous systems and control design for aircraft, spacecraft, and ground vehicles, making it strongly relevant for guidance, navigation, and control.","Direct","https://acl.mit.edu/"
"SPARK Lab","Research lab","Robotics, UAV/Avionics, Space","SPARK develops robotics and autonomy methods for air, space, and ground applications; relevant for space robotics, perception, and navigation.","Direct","https://mit.edu/sparklab/"
"Aerospace Plasma Group","Research lab","Plasma, Propulsion","AeroAstro plasma group includes coursework and research tied to low-temperature plasmas, including plasma propulsion.","Strongly Adjacent","https://aeroastro.mit.edu/apg/"
