Name,Type,Category,Relevance,Confidence,Direct Link
Space at ASU,University Initiative,Space,"Overarching university initiative powering space missions, facilities, and academic alignment.",Direct,https://space.asu.edu/
ASU NewSpace,Center/Initiative,Space,Leads integration of academic and commercial space enterprises and houses the Planet Labs Incubator.,Direct,https://newspace.asu.edu/
MILO Space Science Institute,Institute,Space,"Founded by ASU NewSpace, provides affordable and accessible space science to students and researchers.",Direct,https://miloinstitute.org/
Interplanetary Initiative Lab,Lab,Space,"Workspace for students and researchers to design, build, and test space hardware and software.",Direct,https://sese.asu.edu/research/instrument-laboratories
Sun Devil Satellite Laboratory (SDSL),Student Org,Satellites,"Designs and develops satellites, 1U CubeSats, Pulsed Plasma Thrusters, and high-altitude weather balloons.",Direct,https://students.engineering.asu.edu/clubs/sdsl/
Sun Devil Rocketry (SDR),Student Org,Rockets,"Student-run org dedicated to design, manufacture, and launch of high-powered solid, liquid, and hybrid rockets.",Direct,https://sundevilrocketry.github.io/
Devils Ad Astra,Student Org,Rockets,Interdisciplinary aerospace club developing hybrid engines and pushing for the Kármán line.,Direct,https://students.engineering.asu.edu/organizations/directory/
Air Devils,Student Org,UAV/Avionics,Fulton Student Org that designs and builds flying machines for AIAA Design/Build/Fly competitions.,Direct,https://students.engineering.asu.edu/organizations/directory/
The Space Coalition,Student Org,Space,"Consortium of all space-focused student organizations at ASU, acting as an umbrella and resource hub.",Direct,https://www.spacecoalition.org/
ASU Space Student Ambassador Program,Program,Space,Undergraduate leadership program that networks with space sector leaders and represents ASU Space.,Direct,https://space.asu.edu/student-opportunties
Students for the Exploration and Development of Space (SEDS),Student Org,Space,Space enthusiasts participating in engineering projects and astronaut readiness training.,Direct,https://www.spacecoalition.org/member-orgs
Space Business Association,Student Org,Space,Provides a platform for professional growth and commerce within the space exploration industry.,Direct,https://www.spacecoalition.org/member-orgs
NASA Space Grant Robotics,Student Org,Robotics,Underwater robotics student organization; analog environments are highly relevant to space robotics.,Strongly Adjacent,https://forge.engineering.asu.edu/furiproject/nasa-space-grant-robotics/
Buseck Center for Meteorite Studies,Center,Planetary,Houses one of the world's largest university-based meteorite collections for planetary science research.,Direct,https://sese.asu.edu/undergraduate-research-opportunities
Ronald Greeley Center for Planetary Studies,Center,Planetary,Major NASA Regional Planetary Image Facility focusing on planetary geology.,Direct,https://sese.asu.edu/undergraduate-research-opportunities
Beus Center for Cosmic Foundations,Center,Astronomy,"Focuses on astrophysics and cosmology, studying the origins of the universe and cosmic structures.",Direct,https://sese.asu.edu/undergraduate-research-opportunities
Beyond Center for Fundamental Concepts in Science,Center,Astrobiology,"Explores fundamental questions including astrobiology, the origins of life, and the universe.",Strongly Adjacent,https://sese.asu.edu/undergraduate-research-opportunities
Cosmology Initiative,Initiative,Astronomy,"Focuses on cosmology, the epoch of reionization, and research using the Hubble and James Webb Space Telescopes.",Direct,https://sese.asu.edu/undergraduate-research-opportunities
Center for Global Discovery and Conservation Science,Center,Remote Sensing,Utilizes heavy remote sensing and Earth-observing satellite data for ecological and conservation mapping.,Strongly Adjacent,https://sese.asu.edu/undergraduate-research-opportunities
Distributed Robotic Exploration and Mapping Systems Lab (DREAM),Lab,Robotics,Focuses on multi-robot systems and mapping which has high relevance for planetary exploration.,Strongly Adjacent,https://sese.asu.edu/research/instrument-laboratories
Engineering Flight Hardware Lab,Lab,Space,"Focuses on the engineering, assembly, and testing of spaceflight hardware and instruments.",Direct,https://sese.asu.edu/research/instrument-laboratories
Experimental Petrology and Igneous Processes Center (EPIC),Lab,Planetary,"Investigates planetary volcanism, magma oceans, and internal planetary differentiation.",Strongly Adjacent,https://sese.asu.edu/research/instrument-laboratories
Hubble Data Lab,Lab,Astronomy,Dedicated lab for processing and analyzing data returned by the Hubble Space Telescope.,Direct,https://sese.asu.edu/research/instrument-laboratories
Isotope Cosmochemistry and Geochronology Lab,Lab,Planetary,Focuses on the isotopic analysis of meteorites and lunar samples to date solar system events.,Direct,https://sese.asu.edu/research/instrument-laboratories
Laboratory for Astronomical Space Instrumentation,Lab,Space,Designs and develops novel instrumentation specifically for space-based astronomical observatories.,Direct,https://sese.asu.edu/research/instrument-laboratories
Low-frequency Cosmology Lab (LoCo Lab),Lab,Astronomy,Studies the early universe and the first stars using low-frequency radio astronomy techniques.,Direct,https://sese.asu.edu/research/instrument-laboratories
Lunar Polar Hydrogen Mapper Development and Test Lab,Lab,Space,Developed and tested the LunaH-Map CubeSat mission to map water ice on the Moon.,Direct,https://sese.asu.edu/research/instrument-laboratories
Lunar Reconnaissance Orbiter Camera Science Operations Center,Center,Space,Operates the LROC instrument on NASA's Lunar Reconnaissance Orbiter and processes lunar imagery.,Direct,https://sese.asu.edu/research/instrument-laboratories
Mars Space Flight Facility,Facility,Space,"Operates instruments on Mars missions (like THEMIS, TES) and manages Mars data exploration.",Direct,https://sese.asu.edu/research/instrument-laboratories
Mission Operations Facility,Facility,Space,"Provides command, control, and data downlinks for ASU-led space missions and instruments.",Direct,https://sese.asu.edu/research/instrument-laboratories
OSIRIS-REx Thermal Emission Spectrometer Lab,Lab,Space,Dedicated to the operation and data analysis of the OTES instrument on the OSIRIS-REx asteroid sample return mission.,Direct,https://sese.asu.edu/research/instrument-laboratories
Planetary Aeolian Lab,Lab,Planetary,"Houses wind tunnels used to simulate the atmospheric conditions of Mars, Venus, and Titan.",Direct,https://sese.asu.edu/research/instrument-laboratories
Planetary GIS Lab,Lab,Planetary,Develops geographic information systems and maps for planetary surfaces.,Direct,https://sese.asu.edu/research/instrument-laboratories
Planetary Surface Imaging Science Lab,Lab,Planetary,Focuses on multispectral imaging and analysis of planetary surfaces across the solar system.,Direct,https://sese.asu.edu/research/instrument-laboratories
Planetary Surfaces Spectroscopy Lab,Lab,Planetary,Utilizes spectroscopy to determine the mineralogical composition of other planets.,Direct,https://sese.asu.edu/research/instrument-laboratories
Terahertz Instrumentation Lab,Lab,Astronomy,Develops high-frequency sensors and instrumentation relevant to astrophysics and planetary science.,Strongly Adjacent,https://sese.asu.edu/research/instrument-laboratories
Amateur Radio Club (W7ASU),Student Org,Satellites,Facilitates amateur radio which is crucial for CubeSat and high-altitude balloon tracking and telemetry.,Loosely Adjacent,https://students.engineering.asu.edu/organizations/directory/
