Name,Type,Category,Relevance,Confidence,Direct Link
Space Engineering Center (SEC),Center,Satellites,"Primary hub for satellite design, hosting the TAU-SAT nanosatellite series and ground station operations.",Direct,https://space.tau.ac.il/
Raymond & Beverly Sackler School of Physics & Astronomy,Faculty Group,Astronomy,"Conducts fundamental research in astrophysics, cosmology, and observational astronomy.",Direct,https://physics.tau.ac.il/
The Florence and George Wise Observatory,Research Facility,Astronomy,"Israel's professional astronomical observatory; used for exoplanet, supernova, and asteroid research.",Direct,https://physics.tau.ac.il/astrophysics/wise_observatory
Remote Sensing Laboratory (RSL),Lab,Remote Sensing,Specializes in hyperspectral imaging and Earth observation from satellite and airborne platforms.,Direct,https://en-urban.tau.ac.il/Eyal-Ben-Dor
Small Satellite Laboratory,Lab,Satellites,Focuses on the engineering and development of CubeSats and nanosatellite components (TAUSAT-1/2/3).,Direct,https://engineeringindustry.sites.tau.ac.il/about-1-4
Plasma and Pulsed Power Research (Prof. Isak Beilis),Lab,Propulsion,Research on vacuum arcs and plasma phenomena directly applicable to plasma thrusters and electric propulsion.,Strongly Adjacent,https://english.tau.ac.il/profile/beilis
Department of Geophysics and Planetary Sciences,Faculty Group,Planetary,"Researches planetary atmospheres, solar system evolution, and planetary geology.",Direct,https://en-exact-sciences.tau.ac.il/earth
Elrom Center for Air and Space Power,Institute,Space,"Joint initiative with the IAF focusing on strategy, policy, and multidisciplinary research in air and space power.",Direct,https://elrom.tau.ac.il/
Space Materials and Durability Lab (Prof. Noam Eliaz),Lab,Space,"Develops materials resistant to the harsh space environment, including radiation-grade coatings and corrosion resistance.",Direct,https://engineeringindustry.sites.tau.ac.il/about-1-4
TAU-SAT Student Design Team,Design Team,Satellites,"The primary student organization responsible for designing, building, and operating the university's CubeSats.",Direct,https://space.tau.ac.il/
National Committee for Space Research (NCSR),Historical,Rockets,The 1960s precursor to the Israel Space Agency; originated at TAU and launched the Shavit-2 rocket in 1961.,Direct,https://en.wikipedia.org/wiki/National_Committee_for_Space_Research
TEVEL Program,Departmental Program,Satellites,Educational satellite program hosted by TAU in collaboration with the Israel Space Agency.,Direct,https://space.tau.ac.il/tevel
Prof. Pavel Ginzburg Lab (UAV Physics),Lab,UAV/Avionics,Research into radar signature reduction and electromagnetic scattering for UAV and aerospace applications.,Strongly Adjacent,https://en-engineering.tau.ac.il/research
Curiosity Robotics Lab,Lab,Robotics,Develops autonomous systems and AI algorithms meaningfully adjacent to space-borne robotic exploration.,Loosely Adjacent,https://curiosity.tau.ac.il/
Space Communications Lab (Prof. Itzhak Tamo),Lab,Satellites,Research into coding and information theory specifically for satellite data storage and communication.,Direct,https://engineeringindustry.sites.tau.ac.il/about-1-4
Ilan Ramon Youth Physics Center,Center,Astronomy,"Space and astronomy outreach center named after Israel's first astronaut, affiliated with TAU School of Physics.",Strongly Adjacent,https://en-exact-sciences.tau.ac.il/ilan-ramon-youth-physics-center
