Name,Type,Category,Relevance,Confidence,Direct Link
UCSC Rocket Team (Rocket Slugs),Student Org,Rockets,"Design, build, and launch high-powered rockets; competes annually in the NASA Student Launch competition.",Direct,[https://ucscrocketry.org/](https://ucscrocketry.org/)
SlugSat,Student Org,Satellites,"Undergraduate-led CubeSat team selected by NASA's CubeSat Launch Initiative (CSLI) to deploy a satellite from the ISS.",Direct,[https://slugsatclub.engineering.ucsc.edu/](https://slugsatclub.engineering.ucsc.edu/)
Santa Cruz Institute for Particle Physics (SCIPP),Institute,Space,"Conducts research in Atmospheric and Space Physics, including gamma-ray astronomy (Fermi telescope) and high-altitude balloon experiments.",Direct,[https://scipp.ucsc.edu/](https://scipp.ucsc.edu/)
UCSC Planetary Science Group,Faculty Group,Planetary,"Studies solar system bodies using spacecraft data (Cassini, New Horizons, Europa Clipper) and numerical modeling of interiors and atmospheres.",Direct,[https://ucscplanetaryscience.com/](https://ucscplanetaryscience.com/)
Astrobiology Initiative,Research Entity,Astronomy,"Interdisciplinary hub focused on the origins of life and planetary habitability, bridging EPS and Astronomy departments.",Direct,[https://astrobiology.science.ucsc.edu/](https://astrobiology.science.ucsc.edu/)
Other Worlds Laboratory (OWL),Research Center,Planetary,"Collaborative research group focused on exoplanets, solar system science, and planetary formation.",Direct,[https://astronomy.ucsc.edu/research/owl/](https://www.google.com/search?q=https://astronomy.ucsc.edu/research/owl/)
Laboratory for Adaptive Optics (LAO),Lab,Astronomy,"Develops advanced telescope technology to remove atmospheric blurring, supporting major projects like the Thirty Meter Telescope (TMT).",Direct,[https://lao.ucolick.org/](https://lao.ucolick.org/)
University of California Observatories (UCO),Institute,Astronomy,"Multi-campus research unit headquartered at UCSC that manages the Lick and Keck Observatories and designs space/ground instrumentation.",Direct,[https://www.ucolick.org/](https://www.ucolick.org/)
GeoFly Lab,Lab,Remote Sensing,"Focuses on UAV-based mapping, GIS, and remote sensing for environmental monitoring and geospatial research.",Strongly Adjacent,[http://geofly.io/](http://geofly.io/)
HARE Lab (Human Aware Robotics Exploration),Lab,UAV/Avionics,"Develops autonomous UAVs and ground robotics for field exploration, including lidar-based reconstruction and aerial surveying.",Strongly Adjacent,[https://hare.engineering.ucsc.edu/](https://hare.engineering.ucsc.edu/)
Kudela Lab,Lab,Remote Sensing,"Utilizes satellite remote sensing imagery and robotic sensors to model ocean ecosystem dynamics and phytoplankton populations.",Direct,[http://oceandatacenter.ucsc.edu/home/](http://oceandatacenter.ucsc.edu/home/)
Astronomy & Astrophysics Department,Departmental Program,Astronomy,"UCSC's core academic unit for space science, heavily involved in JWST, DESI, and supercomputer-based astrophysical simulations.",Direct,[https://astronomy.ucsc.edu/](https://astronomy.ucsc.edu/)
Thirty Meter Telescope (TMT) Project,Research Project,Astronomy,"UCSC leads the technical development and UC participation in one of the world's largest next-generation ground-based telescopes.",Direct,[https://www.tmt.org/](https://www.tmt.org/)
Plasma Analytical Lab (PAL),Lab,Plasma,"Uses plasma-based mass spectrometry to analyze geochemical samples, critical for studying planetary building blocks and meteorites.",Strongly Adjacent,[https://sites.google.com/ucsc.edu/pal/](https://sites.google.com/ucsc.edu/pal/)
GIS & Drone Society,Student Org,UAV/Avionics,"Mentioned in 2025/2026 university events; likely a student club focused on UAV operations and spatial data.",Strongly Adjacent,N/A
SOMARS (Slugbotics offshoot),Student Org,Robotics,"New group focused on autonomous environmental survey drones; submitted proposals for CITRIS drone challenges.",Strongly Adjacent,[https://slab.sites.ucsc.edu/slugbotics/](https://slab.sites.ucsc.edu/slugbotics/)
UCSC Astronomy Club,Student Org,Astronomy,"Undergraduate organization for astronomy enthusiasts; active in community outreach and amateur observing.",Loosely Adjacent,N/A
Formula Slug,Design Team,Robotics,"While primarily focused on electric vehicles, the team uses aerospace-adjacent composites and autonomous navigation technologies.",Loosely Adjacent,[https://formulaslug.com/](https://formulaslug.com/)
