name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,confidence,confidence_citation,direct_link,direct_link_citation
UCLA Space Institute (SPACE),https://www.space.ucla.edu/,"Institute, Division of Physical Sciences",https://www.space.ucla.edu/,Research Institute,https://www.space.ucla.edu/,"An interdisciplinary institute that coordinates space-related research across the departments of Earth, Planetary, and Space Sciences (EPSS), Atmospheric and Oceanic Sciences (AOS), and Physics and Astronomy.",https://www.space.ucla.edu/,Direct,https://www.space.ucla.edu/,https://www.space.ucla.edu/,https://www.space.ucla.edu/
Plasma Science and Technology Institute (PSTI),https://psti.ucla.edu/,"Institute, Interdisciplinary",https://psti.ucla.edu/,Research Institute,https://psti.ucla.edu/,"Investigates fundamental plasma science, fusion energy, and space/astrophysical plasmas through a collaboration of faculty from Engineering and Physical Sciences.",https://psti.ucla.edu/,Direct,https://psti.ucla.edu/,https://psti.ucla.edu/,https://psti.ucla.edu/
Robotics and Mechanisms Laboratory (RoMeLa),http://www.romela.org/,"Research Lab, Mechanical and Aerospace Engineering",http://www.romela.org/,Research Lab,http://www.romela.org/,"A world-renowned facility for robotics research focusing on humanoid locomotion, novel mobile robots, and autonomous systems for exploration.",http://www.romela.org/,Direct,http://www.romela.org/,http://www.romela.org/,http://www.romela.org/
Bruin Spacecraft Group (Bruin Space),https://bruinspace.com/,"Student Organization, Samueli School of Engineering",https://bruinspace.com/,Student Organization,https://bruinspace.com/,"UCLA's premier student-led space organization, developing CubeSats, high-altitude balloons, and amateur rocketry payloads.",https://bruinspace.com/,Direct,https://bruinspace.com/,https://bruinspace.com/,https://bruinspace.com/
The Rocket Project at UCLA,https://rocketproject.ucla.edu/,"Student Organization, Mechanical and Aerospace Engineering",https://rocketproject.ucla.edu/,Student Organization,https://rocketproject.ucla.edu/,"Focuses on the design, construction, and launch of high-powered liquid and solid fuel rockets for collegiate competitions.",https://rocketproject.ucla.edu/,Direct,https://rocketproject.ucla.edu/,https://rocketproject.ucla.edu/,https://rocketproject.ucla.edu/
AIAA at UCLA (American Institute of Aeronautics and Astronautics),https://www.aiaaucla.com/,"Student Organization (Professional Chapter), Mechanical and Aerospace Engineering",https://www.aiaaucla.com/,Student Organization,https://www.aiaaucla.com/,"The UCLA student chapter of the national aerospace professional society, organizing student design-build-fly teams and professional development.",https://www.aiaaucla.com/,Direct,https://www.aiaaucla.com/,https://www.aiaaucla.com/,https://www.aiaaucla.com/
ELFIN CubeSat Mission (Electron Losses and Fields Investigation),https://elfin.igpp.ucla.edu/,"Research Lab/Mission, Earth, Planetary, and Space Sciences",https://elfin.igpp.ucla.edu/,Research Lab,https://elfin.igpp.ucla.edu/,"The first satellite mission fully built and operated at UCLA, utilizing CubeSats to study space weather and electron loss in the Earth's radiation belts.",https://elfin.igpp.ucla.edu/,Direct,https://elfin.igpp.ucla.edu/,https://elfin.igpp.ucla.edu/,https://elfin.igpp.ucla.edu/
Advanced Space Systems and Propulsion Laboratory (ASSPL),http://dspace.ucla.edu/space/,"Research Lab, Mechanical and Aerospace Engineering",http://dspace.ucla.edu/space/,Research Lab,http://dspace.ucla.edu/space/,"Develops breakthrough propulsion concepts like solar sailing and plasma thrusters, alongside mission analysis and spacecraft design.",http://dspace.ucla.edu/space/,Direct,http://dspace.ucla.edu/space/,http://dspace.ucla.edu/space/,http://dspace.ucla.edu/space/
Energy and Propulsion Research Laboratory (EPRL),http://www.seas.ucla.edu/combustion/,"Research Lab, Mechanical and Aerospace Engineering",http://www.seas.ucla.edu/combustion/,Research Lab,http://www.seas.ucla.edu/combustion/,"Specializes in high-speed propulsion, combustion, and fluid mechanics for aerospace applications, including rocket and air-breathing engines.",http://www.seas.ucla.edu/combustion/,Direct,http://www.seas.ucla.edu/combustion/,http://www.seas.ucla.edu/combustion/,http://www.seas.ucla.edu/combustion/
Hypersonics and Computational Aerodynamics Group (HACAG),http://cfdhost.seas.ucla.edu/,"Research Lab, Mechanical and Aerospace Engineering",http://cfdhost.seas.ucla.edu/,Research Lab,http://cfdhost.seas.ucla.edu/,"Performs fundamental research on hypersonic flows, boundary-layer transition, and the design of hypersonic flight vehicles.",http://cfdhost.seas.ucla.edu/,Direct,http://cfdhost.seas.ucla.edu/,http://cfdhost.seas.ucla.edu/,http://cfdhost.seas.ucla.edu/
