name,type,category,relevance,confidence,direct_link
American Institute of Aeronautics and Astronautics (AIAA) - Pegasus Chapter,Student Organization / Professional Society Chapter,Aerospace,"The official WMU chapter of AIAA, providing networking and hands-on engineering experience in aeronautics and astronautics.",Direct,https://experiencewmu.wmich.edu/organization/wmuaiaa
Advanced Rocketry Club (ARC),Student Organization / Competition Team,Rocketry,A project team within AIAA that competes in the NASA Student Launch competition and builds high-powered rockets.,Direct,https://www.wmuaiaa.org/
Remote Control Aircraft Team (RCAT),Student Organization / Design Team,UAVs / Aerospace,"A sub-team of AIAA focused on designing, building, and flying remote-controlled aircraft and participating in flight competitions.",Direct,https://www.wmuaiaa.org/
Western Aerospace Launch Initiative (WALI),Student Organization / Research Lab,Satellites / Space,"Dedicated to the design, fabrication, and operation of small satellites (CubeSats) and increasing access to space education.",Direct,https://waliwmu.wixsite.com/wali
Aerospace Laboratory for Plasma Experiments (ALPE),Research Laboratory,Plasma / Space Propulsion,"Investigates plasma for space propulsion, enhanced combustion, and environmental applications, particularly electric propulsion systems.",Direct,https://kristinalemmer.wixsite.com/alpe
"SPAR Institute (Space Power and Propulsion for Agility, Responsiveness and Resilience)",Research Institute,Space Propulsion / Power,A multi-university research institute (WMU partner) focused on developing electric propulsion technologies and space power for the U.S. Space Force.,Direct,https://wmich.edu/engineer/news/2025/01/spar-institute
Energy Efficient and Autonomous Vehicles Lab (EEAVL),Research Laboratory,Robotics / UAVs / Autonomous Vehicles,"Conducts research on autonomous ground and aerial vehicles (UAVs), focusing on energy efficiency and safety in robotics.",Direct,https://wmich.edu/autonomous-vehicles
Applied Aerodynamics Laboratory,Research Laboratory,Aerospace / Aerodynamics,Houses advanced wind tunnels and focuses on experimental aerodynamics research and flow measurement techniques.,Direct,https://wmich.edu/mechanical-aerospace/aerodynamics-lab
Computational Engineering Physics Laboratory (CEPL),Research Laboratory,Engineering Physics / Aerospace,"Focuses on computational research in multidisciplinary engineering physics, including aerospace-related simulations and high-performance computing.",Direct,https://wmich.edu/mechanical-aerospace/computational-engineering-lab
Bronco Robotics Club,Student Organization,Robotics,"A project-based student organization focused on designing, building, and competing with robots in various competitions.",Direct,https://experiencewmu.wmich.edu/organization/robotics
Autonomous Vehicles at WMU,Student Organization / Competition Team,Robotics / Autonomous Vehicles,Develops autonomous ground vehicle technology and participates in the Intelligent Ground Vehicle Competition (IGVC).,Direct,https://experiencewmu.wmich.edu/organization/autnomousvehicles
Earth Sciences Remote Sensing (ESRS) Laboratory,Research Laboratory,Satellites / Remote Sensing,Utilizes satellite data and remote sensing techniques for research in geological and environmental sciences.,Strongly Adjacent,https://www.esrs.wmich.edu/
Sky Broncos,Student Organization / Competition Team,Aviation / Aerospace,Western Michigan University's precision flight team that competes in national intercollegiate flying competitions.,Strongly Adjacent,https://wmich.edu/aviation/student-resources/rso/skybroncos
Organization of Black Aerospace Professionals (OBAP) - WMU Chapter,Student Organization / Professional Society,Aerospace / Aviation,Promotes minority representation and professional development in the aerospace and aviation industries.,Strongly Adjacent,https://wmich.edu/aviation/student-resources/rso
Women in Aviation International (WAI) - WMU Chapter,Student Organization / Professional Society,Aerospace / Aviation,"Supports and encourages women in aviation and aerospace through networking, scholarships, and professional guidance.",Strongly Adjacent,https://wmich.edu/aviation/student-resources/rso
Western Aerospace Thin-Sat (WATS) Project,Senior Design Project / Team (Historical),Satellites / Space,A student project team that developed and tested plasma-sensing technology on a Thin-Sat platform launched to space.,Direct,https://wmich.edu/engineering-senior-design/mae-projects
WMU Physics Club,Student Organization,Astronomy / Physics,"Promotes physics and astronomy interests through research talks, social activities, and community outreach.",Loosely Adjacent,https://wmich.edu/physics/student-organizations
Sunseeker Solar Car Project,Student Organization / Design Team,Robotics / Sustainability,"Designs and builds solar-powered racing vehicles, integrating renewable energy with advanced controls and mechanical engineering.",Strongly Adjacent,https://experiencewmu.wmich.edu/organization/sunseeker
Kalamazoo Flying Saucer Study Club,Historical Club,Space / Astronomy (UFOs),A historical group from the 1950s in Kalamazoo focused on UFO phenomena; affiliation with WMU is uncertain.,Loosely Adjacent,https://www.ufomagazines.com/look-1952-06-17-look-donald-menzel-flying-saucers-lagrange-scan/
