Name,Type,Category,Relevance,Confidence,Direct Link
Experimental Rocket Propulsion Lab (ERPL),Lab / Design Team,Propulsion,Focuses on the design and testing of high-power liquid and hybrid rocket engines like Project Harpy and Aquila.,Direct,https://commons.erau.edu/experiential-learning-and-entrepreneurship/2019/wednesday/5/
Rocket Development Lab (RDL),Lab / Design Team,Rockets,Develops solid-propellant sounding rockets for competitions like IREC and Spaceport America Cup.,Direct,https://commons.erau.edu/pr-discovery-day/2025/presentations/6/
Team ECHO (Exploration for Ceres Habitation Operations),Design Team,Space,A student team designing human mission architectures for the dwarf planet Ceres for the NASA RASC-AL competition.,Direct,https://commons.erau.edu/cgi/viewcontent.cgi?article=1003&context=admissions-magazine
EagleSat II,Student Org / Project,Satellites,A CubeSat mission developing satellite communication systems and conducting cosmic ray research in low Earth orbit.,Direct,https://commons.erau.edu/cgi/viewcontent.cgi?article=1326&context=pr-discovery-day
Space Physics Research Groups,Faculty Group,Astronomy,"Conducts academic research in astrophysics, including gravitational waves and neutron star accretion physics.",Direct,https://commons.erau.edu/cgi/viewcontent.cgi?article=3697&context=publication
AIAA Design Build Fly (Coppertails),Club / Design Team,UAV/Avionics,Designs and builds unmanned aerial vehicles for the international AIAA DBF competition cycles.,Strongly Adjacent,https://commons.erau.edu/pr-discovery-day/2026/presentations/45/
VEX Robotics Club,Student Org,Robotics,Participates in VEX U competitions involving the design and programming of autonomous robotic systems.,Strongly Adjacent,https://commons.erau.edu/pr-discovery-day/2023/presentations/8/
Jim and Linda Lee Planetarium,Center,Astronomy,A facility for astronomical outreach and student-led research in interactive planetarium technology.,Direct,https://prescott.erau.edu/about/planetarium
High-Altitude Lab,Lab,Space,Simulates physiological challenges of flight and high-altitude environments for research and training.,Strongly Adjacent,https://commons.erau.edu/cgi/viewcontent.cgi?article=1011&context=admissions-magazine
Eaglenautics,Design Team,Aerospace,"Competes in the SAE Aero Design West competition, focusing on heavy-lift aeronautical engineering.",Strongly Adjacent,https://commons.erau.edu/cgi/viewcontent.cgi?article=1326&context=pr-discovery-day
UAS Lab,Lab,Remote Sensing,Researches Uncrewed Aircraft Systems integrated with LiDAR and multispectral imaging for environmental monitoring.,Strongly Adjacent,https://commons.erau.edu/cgi/viewcontent.cgi?article=1213&context=student-works
Atmospheric Physics / START Project,Departmental Program,Remote Sensing,Conducts airborne research and technology projects focused on atmospheric dynamics and turbulence.,Strongly Adjacent,https://www.eol.ucar.edu/sites/default/files/2023-04/edu_START_2014_SUMMARY.pdf
SEDS (Students for the Exploration and Development of Space),Student Org,Space,Promotes space exploration through advocacy and student involvement in space-related projects.,Direct,https://erau.edu/
AIAA Student Branch,Student Org,Space,Professional organization branch providing networking and resources for aerospace engineering students.,Strongly Adjacent,https://erau.edu/
Optical Observatory,Lab / Facility,Astronomy,Uses telescopes to conduct observational astronomy and astrophysical data collection.,Direct,https://erau.edu/
Team MEAGLE,Design Team (Historical),Space,A former RASC-AL team that designed Martian environmental and life examination mission concepts.,Direct,https://commons.erau.edu/cgi/viewcontent.cgi?article=1003&context=admissions-magazine
DRIP (Debris Recognition and Identification Platform),Design Team,Space,Researches machine learning methods for characterizing and identifying space debris.,Direct,https://commons.erau.edu/cgi/viewcontent.cgi?article=1326&context=pr-discovery-day
Prescott Astronomy Club,Student Org,Astronomy,Engages students in stargazing events and educational activities related to planetary science.,Direct,https://erau.edu/
Preflight Immersion Lab (PILOT),Lab,UAV/Avionics,Uses VR technology for immersive flight training and aerospace procedural simulations.,Loosely Adjacent,https://commons.erau.edu/cgi/viewcontent.cgi?article=1011&context=admissions-magazine
Golden Eagles Flight Team,Student Org,Aerospace,Highly competitive flight team focused on aeronautical performance and aviation excellence.,Loosely Adjacent,https://commons.erau.edu/cgi/viewcontent.cgi?article=1003&context=admissions-magazine
