Name,Type,Category,Relevance,Confidence,Direct Link
MSU Space Cowboys,Student Org / Design Team,Rockets,Nationally competitive high-powered rocketry team; designs and launches sounding rockets at competitions like the Spaceport America Cup.,Direct,https://www.spacecowboysmsu.com/
CubeSat at MSU,Student Org / Design Team,Satellites,Student-led team developing Mississippi's first satellite (1-Mississippi) and collaborating on the CAPE-4 mission payload.,Direct,https://www.cubesatmsu.com/
Robotics Team at Mississippi State (MSSR),Student Org / Design Team,Robotics,Competes in NASA-based competitions including Lunabotics and the Lunar Life Odyssey; focuses on space-related robotics.,Direct,https://msstate.campuslabs.com/engage/organization/mississippi-state-nasa-mining-robotics-competition
Xipiter MSU,Student Org / Design Team,UAV/Avionics,"Autonomous UAS competition team focused on guidance, navigation, and control; often serves as a payload testing platform for space projects.",Direct,https://www.bagley.msstate.edu/studentorg/
August Raspet Student Branch (AIAA),Student Org,Aerospace,Official student chapter of the American Institute of Aeronautics and Astronautics; central hub for aerospace networking and technical activities.,Direct,https://msstate.campuslabs.com/engage/organization/aiaa
Raspet Flight Research Laboratory,Research Institute,UAV/Avionics,"Historic flight research facility specializing in UAS development, composite aircraft structures, and experimental aviation.",Direct,https://www.raspet.msstate.edu/
Geosystems Research Institute (GRI),Research Institute,Remote Sensing,"Focuses on satellite data analysis and remote sensing toolkit development, including planetary data integration.",Strongly Adjacent,https://www.gri.msstate.edu/
Advanced Composites Institute (ACI),Research Institute,Aerospace,Develops advanced stitched composite manufacturing technologies originally created at NASA for high-performance aerospace applications.,Direct,https://www.aci.msstate.edu/
Plasma and Combustion Diagnostics Lab,Lab,Plasma,"Conducts laser diagnostics in plasma and combustion environments, essential for advancing aerospace propulsion research.",Strongly Adjacent,https://wang.physics.msstate.edu/
Physics & Astronomy Research - Astronomy Group,Faculty Group / Lab,Astronomy,"Academic research in extrasolar planets, host star characterization, and comet science using mission-based satellite data.",Direct,https://www.physics.msstate.edu/research
MSU Astronomy Club,Student Org,Astronomy,"Amateur astronomy group focused on telescopic viewing, celestial observation, and public science outreach.",Direct,https://msstate.campuslabs.com/engage/organization/astronomy-club
Sigma Gamma Tau,Student Org / Honor Society,Aerospace,National honor society for aerospace engineering recognizing outstanding student achievement in the field.,Direct,https://www.bagley.msstate.edu/studentorg/
ASSURE (FAA Center of Excellence for UAS),Research Center,UAV/Avionics,MSU-led coalition of universities conducting research to safely integrate UAS into the national airspace system.,Direct,https://www.assureuas.org/
Atmospheric Electroaerodynamic Propulsion Team,Design Team (Active/Recent),Propulsion,Student team that developed and validated an ion propulsion system for the 2024 AIAA Region II Student Conference.,Direct,https://www.bagley.msstate.edu/news/aerospace-engineering-students-compete-in-team-competitions-at-aiaa-student-conference/
Center for Advanced Vehicular Systems (CAVS),Research Center,Robotics,Researches autonomous navigation and advanced materials; highly relevant to the development of planetary rovers and robotics.,Strongly Adjacent,https://www.cavs.msstate.edu/
Northern Gulf Institute (NGI),Research Institute,Remote Sensing,Utilizes satellite remote sensing and UAS platforms for high-resolution environmental and oceanic data collection.,Strongly Adjacent,https://www.northerngulfinstitute.org/
Fatigue and Fracture Testing Laboratory,Lab,Aerospace,Specializes in testing advanced aerospace materials and structures under extreme environmental and loading conditions.,Strongly Adjacent,https://www.bagley.msstate.edu/research/
Bulldog Motorsports (Formula SAE),Student Org / Design Team,Propulsion,"Focuses on aerodynamics, internal combustion, and lightweight structures for formula-style racing cars, sharing engineering principles with aerospace.",Loosely Adjacent,https://www.me.msstate.edu/formula-sae/
Mud Dawg Motorsports (Baja SAE),Student Org / Design Team,Robotics,Designs off-road vehicles requiring rugged mechanical design similar to requirements for planetary exploration mobility systems.,Loosely Adjacent,https://sites.google.com/view/muddawgmotorsports/
High Performance Computing Collaboratory (HPC2),Research Center,Propulsion,Provides computational simulation resources for fluid dynamics and structural modeling critical to aerospace and propulsion design.,Strongly Adjacent,https://www.hpc.msstate.edu/
Mississippi Space Grant Consortium (MSSGC),University-Affiliated Program,Space,"Statewide program funded by NASA that supports aerospace scholarships, internships, and student-led space research at MSU.",Direct,https://msspacegrant.org/
