"Name","Type","Category","Relevance","Confidence","Direct Link"
"Rice Space Institute (RSI)","Institute","Space","The primary interdisciplinary hub at Rice for coordinating space research, education, and industry partnerships.","Direct","https://rsi.rice.edu"
"Rice Eclipse","Design Team","Rockets","Student-led team focused on the design, manufacturing, and testing of hybrid and liquid-propellant sounding rockets and engines.","Direct","https://eclipse.rice.edu"
"AIAA Rice (American Institute of Aeronautics and Astronautics)","Student Org","Aerospace","Student chapter supporting aerospace professional development and serving as the umbrella for flight-based competition teams.","Direct","https://www.aiaa.rice.edu"
"Rice Flight","Design Team","UAV/Avionics","Competition team under AIAA Rice that designs and manufactures autonomous UAVs and Payload Autonomous Delivery Aircraft (PADA).","Direct","https://www.aiaa.rice.edu/riceflight"
"SEDS Rice (Students for the Exploration and Development of Space)","Student Org","Space","Student chapter focused on space advocacy, outreach, and multi-disciplinary space-related engineering projects.","Direct","https://seds.rice.edu"
"OwlSat","Design Team","Satellites","A student-led CubeSat project selected by NASA's CubeSat Launch Initiative (CSLI) to study solar radiation and orbital decay.","Direct","https://oedk.rice.edu/teams-details?recordId=recBEhnbefzkRd24d"
"Center for Advanced Space Sensing Technologies (CASST)","Center","Remote Sensing","New US Space Force-backed center focused on developing breakthrough remote sensing technologies and AI-driven space situational awareness.","Direct","https://casst.rice.edu"
"Space Plasma Physics Group","Faculty Group","Plasma","Research group examining near-Earth, solar, and planetary plasmas using computational modeling and space-based observatories.","Direct","https://physics.rice.edu/space-plasma-physics"
"Department of Space Science (Historical)","Departmental Program","Space","Established in 1963 as the first of its kind in the US; later merged into the Department of Physics and Astronomy.","Direct","https://physics.rice.edu/about"
"Kavraki Lab","Lab","Robotics","Conducts research in motion planning and human-robot interaction with direct applications to NASA’s Robonaut 2 program.","Strongly Adjacent","https://www.kavrakilab.org"
"MAHI Lab (Mechatronics and Haptic Interfaces)","Lab","Robotics","Develops haptic systems and wearable garments for astronaut training and robotic teleoperation in space environments.","Strongly Adjacent","https://mahilab.rice.edu"
"EEPS Planetary Science Group","Departmental Program","Planetary","Research division within the Earth, Environmental and Planetary Sciences department focusing on planetary formation and evolution.","Direct","https://eeps.rice.edu/research/planetary-science"
"Toffoletto Research Group","Lab","Plasma","Focuses on large-scale numerical modeling of the Earth's magnetosphere and plasma transport within the inner magnetosphere.","Direct","https://physics.rice.edu/frank-toffoletto"
"Alexander Lab","Lab","Astronomy","Led by the RSI Director, focusing on solar physics, coronal dynamics, and the development of space instrumentation.","Direct","https://physics.rice.edu/david-alexander"
"Isella Lab","Lab","Astronomy","Utilizes radio interferometry (ALMA) to study planet formation, protoplanetary disks, and star-forming regions.","Direct","https://isella.rice.edu"
"Johns-Krull Lab","Lab","Astronomy","Conducts observational research on young stars, exoplanets, and stellar magnetic activity using high-resolution spectroscopy.","Direct","https://physics.rice.edu/christopher-m-johns-krull"
"Liang Group","Lab","Astronomy","Investigates theoretical high-energy astrophysics, including black hole accretion disks, gamma-ray bursts, and plasma physics.","Direct","https://physics.rice.edu/edison-liang"
"RiSYS Lab (Ghorbel)","Lab","UAV/Avionics","Researches dynamic systems and control for robotics with applications in autonomous flight and industrial inspection.","Strongly Adjacent","https://robotics.rice.edu/research/risys-lab"
"Cohan Research Group","Lab","Remote Sensing","Utilizes satellite data and atmospheric modeling to study air quality and the impact of climate on Earth systems.","Strongly Adjacent","https://cohan.rice.edu"
"Killian Lab","Lab","Plasma","Specializes in ultracold neutral plasmas, providing fundamental insights into plasma dynamics relevant to astrophysical environments.","Direct","https://physics.rice.edu/thomas-c-killian"
"RUNSRA (Rice National Security Research Accelerator)","Center","Aerospace","Coordinates research efforts with the DoD and Space Force, specifically in aerospace and national security technology.","Strongly Adjacent","https://research.rice.edu/runsra"
"Apollo ALSEP Instrument Teams (Historical)","Faculty Group","Space","Historical teams that designed and managed the Apollo Lunar Surface Experiments Package (ALSEP) instruments deployed on the moon.","Direct","https://magazine.rice.edu/fall-2022/new-mission"
"Rice Robotics Club","Student Org","Robotics","Broad student group that frequently develops UAVs and robotic systems for intercollegiate competitions and technical projects.","Loosely Adjacent","https://robotics.rice.edu"
"Rice Electric Vehicle (REV) Team","Design Team","Propulsion","Focuses on high-efficiency power systems and electric propulsion architectures applicable to future aerospace vehicles.","Loosely Adjacent","https://rev.rice.edu"
"Nittrouer Lab","Lab","Remote Sensing","Employs remote sensing technologies to study geomorphic processes on Earth and other planetary bodies.","Strongly Adjacent","https://eeps.rice.edu/jeffrey-nittrouer"
