name,name_citation,type,type_citation,category,category_citation,relevance,relevance_citation,confidence,confidence_citation,direct_link,direct_link_citation
Texas State Space Lab (Space Lab),https://txstspacelab.org/,Research Lab,https://txstspacelab.org/,Satellite,https://txstspacelab.org/,"The Space Lab is a student-run research facility dedicated to developing space technology, small satellites (CubeSats), and ground-station operations.",https://txstspacelab.org/,Direct,https://txstspacelab.org/,https://txstspacelab.org/,https://txstspacelab.org/
Society for Space Exploration (SSE),https://www.instagram.com/sse_txst/,Student Org,https://txstspacelab.org/?page_id=245,Space Exploration,https://www.instagram.com/sse_txst/,"SSE is a research-driven student organization (SEDS Texas State chapter) that focuses on space technology, balloon missions, and small satellite development.",https://www.instagram.com/sse_txst/,Direct,https://www.instagram.com/sse_txst/,https://www.instagram.com/sse_txst/,https://www.instagram.com/sse_txst/
Bobcat Aerospace,https://www.instagram.com/bobcataero/,Student Org,https://www.instagram.com/bobcataero/,Propulsion,https://www.instagram.com/bobcataero/,"Bobcat Aerospace is a student-led organization at Texas State focused on high-powered rocketry, propulsion systems, and aerospace engineering projects.",https://www.instagram.com/bobcataero/,Direct,https://www.instagram.com/bobcataero/,https://www.instagram.com/bobcataero/,https://www.instagram.com/bobcataero/
Astronomy Club,https://www.astrotxst.org/,Student Org,https://www.astrotxst.org/,Astrophysics,https://www.astrotxst.org/,"The Astronomy Club is dedicated to exploring the night sky, educational outreach, and operating the campus observatory for public viewing.",https://www.astrotxst.org/,Direct,https://www.astrotxst.org/,https://www.astrotxst.org/,https://www.astrotxst.org/
Robotics & Control (ROBOCO) Lab,https://roboco.wp.txstate.edu/,Research Lab,https://roboco.wp.txstate.edu/,Robotics,https://roboco.wp.txstate.edu/,"The ROBOCO Lab conducts research on sensor fusion, artificial intelligence, and control systems for robotics and intelligent transportation.",https://roboco.wp.txstate.edu/,Direct,https://roboco.wp.txstate.edu/,https://roboco.wp.txstate.edu/,https://roboco.wp.txstate.edu/
Texas State Observatory,https://www.txst.edu/physics/observatory.html,Facility,https://www.txst.edu/physics/observatory.html,Astrophysics,https://www.txst.edu/physics/observatory.html,"Located atop the Supple Science Building, the observatory is a research and public education facility equipped with a 16-inch telescope.",https://www.txst.edu/physics/observatory.html,Direct,https://www.txst.edu/physics/observatory.html,https://www.txst.edu/physics/observatory.html,https://www.txst.edu/physics/observatory.html
NASA STEM Educator Professional Development Collaborative (EPDC),https://news.txst.edu/research-and-innovation/2021/nasa-extends-research-program.html,Center/Program,https://news.txst.edu/research-and-innovation/2021/nasa-extends-research-program.html,Space Education,https://news.txst.edu/research-and-innovation/2021/nasa-extends-research-program.html,This NASA-funded collaborative at Texas State provides professional development for educators to engage students in NASA's missions and STEM.,https://news.txst.edu/research-and-innovation/2021/nasa-extends-research-program.html,Direct,https://news.txst.edu/research-and-innovation/2021/nasa-extends-research-program.html,https://news.txst.edu/research-and-innovation/2021/nasa-extends-research-program.html,https://news.txst.edu/research-and-innovation/2021/nasa-extends-research-program.html
X-Bow Systems Cooperative Research Partnership,https://news.txst.edu/research-and-innovation/2024/txst-partners-with-xbow-systems-for-solid-rocket-motor-advancement.html,Research Partnership,https://news.txst.edu/research-and-innovation/2024/txst-partners-with-xbow-systems-for-solid-rocket-motor-advancement.html,Propulsion,https://news.txst.edu/research-and-innovation/2024/txst-partners-with-xbow-systems-for-solid-rocket-motor-advancement.html,A cooperative research agreement between Texas State and X-Bow Systems to test and validate advanced solid rocket motor technology.,https://news.txst.edu/research-and-innovation/2024/txst-partners-with-xbow-systems-for-solid-rocket-motor-advancement.html,Direct,https://news.txst.edu/research-and-innovation/2024/txst-partners-with-xbow-systems-for-solid-rocket-motor-advancement.html,https://news.txst.edu/research-and-innovation/2024/txst-partners-with-xbow-systems-for-solid-rocket-motor-advancement.html,https://news.txst.edu/research-and-innovation/2024/txst-partners-with-xbow-systems-for-solid-rocket-motor-advancement.html
Texas State Mars Drillers,https://rpd.engineering.txst.edu/nasa.html,Design Team,https://rpd.engineering.txst.edu/nasa.html,Robotics,https://rpd.engineering.txst.edu/nasa.html,"The Mars Drillers is a manufacturing engineering team that competes in the NASA Texas Space Grant Consortium Design Challenge, developing robotic drills for planetary exploration.",https://rpd.engineering.txst.edu/nasa.html,Direct,https://rpd.engineering.txst.edu/nasa.html,https://rpd.engineering.txst.edu/nasa.html,https://rpd.engineering.txst.edu/nasa.html
Space Workforce Incubator for Texas (SWIFT),https://www.txst.edu/physics/banzatti-seminar/expo-attendees.html,Center/Program,https://www.txst.edu/physics/banzatti-seminar/expo-attendees.html,Space Exploration,https://www.txst.edu/physics/banzatti-seminar/expo-attendees.html,SWIFT is an initiative aimed at preparing the Texas workforce for the booming aerospace and space exploration industry.,https://www.txst.edu/physics/banzatti-seminar/expo-attendees.html,Direct,https://www.txst.edu/physics/banzatti-seminar/expo-attendees.html,https://www.txst.edu/physics/banzatti-seminar/expo-attendees.html,https://www.txst.edu/physics/banzatti-seminar/expo-attendees.html
Society of Physics Students (SPS) - Texas State Chapter,https://www.cose.txst.edu/cose-majors/student-organizations.html,Student Org,https://www.instagram.com/p/DXH_nc5le9y/,Astrophysics,https://www.instagram.com/p/DXH_nc5le9y/,"The Texas State chapter of SPS regularly hosts events and speakers from organizations like NASA, focusing on astrophysics and professional development in physics.",https://www.instagram.com/p/DXH_nc5le9y/,Strongly Adjacent,https://www.instagram.com/p/DXH_nc5le9y/,https://www.cose.txst.edu/cose-majors/student-organizations.html,https://www.cose.txst.edu/cose-majors/student-organizations.html
IEEE Texas State - Robotics and Automation Society (RAS),https://www.engineering.txst.edu/makerspace.html,Student Org,https://www.engineering.txst.edu/makerspace.html,Robotics,https://www.engineering.txst.edu/makerspace.html,"The IEEE branch at Texas State includes a focus on robotics and automation, often utilizing the makerspace for technical projects.",https://www.engineering.txst.edu/makerspace.html,Strongly Adjacent,https://www.engineering.txst.edu/makerspace.html,https://cs.txst.edu/resources/student-involvement.html,https://cs.txst.edu/resources/student-involvement.html
Advanced Composites Laboratory,https://composites.engineering.txst.edu/about/people.html,Research Lab,https://composites.engineering.txst.edu/about/people.html,Aerospace,https://composites.engineering.txst.edu/about/people.html,This lab conducts research on composite materials used in aerospace applications and has strong leadership ties to the Bobcat Aerospace rocketry club.,https://composites.engineering.txst.edu/about/people.html,Strongly Adjacent,https://composites.engineering.txst.edu/about/people.html,https://composites.engineering.txst.edu/,https://composites.engineering.txst.edu/
Icarus Project,https://txstspacelab.org/?page_id=68,Research Project,https://txstspacelab.org/?page_id=68,Satellite,https://txstspacelab.org/?page_id=68,The Icarus project is a mission within the Space Lab and SSE to develop and launch balloon-borne experiments and small satellites.,https://txstspacelab.org/?page_id=68,Direct,https://txstspacelab.org/?page_id=68,https://txstspacelab.org/?page_id=68,https://txstspacelab.org/?page_id=68
Rapid Product and Process Development (RPD) Center,https://rpd.engineering.txst.edu/,Research Center,https://rpd.engineering.txst.edu/,Robotics,https://rpd.engineering.txst.edu/nasa.html,"The RPD Center houses various NASA-funded projects and teams, including the Mars Drillers and robotic exploration initiatives.",https://rpd.engineering.txst.edu/nasa.html,Direct,https://rpd.engineering.txst.edu/nasa.html,https://rpd.engineering.txst.edu/,https://rpd.engineering.txst.edu/
