Name,Type,Category,Relevance,Confidence,Direct Link
AggieSat Laboratory,Lab/Student Program,Satellites,Student-led program designing and building CubeSats with multiple successful orbital missions.,Direct,[https://aggiesat.tamu.edu/](https://aggiesat.tamu.edu/)
Sounding Rocketry Team (SRT),Design Team,Rockets,Competes in high-powered rocketry competitions like IREC and Spaceport America Cup.,Direct,[https://engineering.tamu.edu/aerospace/academics/student-orgs.html](https://engineering.tamu.edu/aerospace/academics/student-orgs.html)
TAMU Rocket Engine Design (RED),Design Team,Propulsion,Focuses on the development and testing of liquid-propellant rocket engines.,Direct,[https://tamured.com/](https://www.google.com/search?q=https://tamured.com/)
SEDS - Texas A\&M,Student Org,Space,Local chapter of Students for the Exploration and Development of Space focusing on industry networking and projects.,Direct,[https://getinvolved.tamu.edu/organization/seds](https://www.google.com/search?q=https://getinvolved.tamu.edu/organization/seds)
Land Air and Space Robotics (LASR) Lab,Lab,Robotics,Researches robotic sensing and proximity operations for space and planetary applications.,Direct,[https://lasr.tamu.edu/](https://lasr.tamu.edu/)
Aerospace Human Systems Lab (AHSL),Lab,Space,Specializes in spacesuit design and human-system integration for microgravity and planetary surfaces.,Direct,[https://ahsl.engr.tamu.edu/](https://ahsl.engr.tamu.edu/)
ASTRO Center,Center,Space,Technology development center for space sensors thermal systems and power.,Direct,[https://astrocenter.tamu.edu/](https://www.google.com/search?q=https://astrocenter.tamu.edu/)
Munnerlyn Astronomical Instrumentation Lab,Lab,Astronomy,Builds advanced instrumentation for major telescopes such as the Giant Magellan Telescope.,Direct,[https://instrumentation.tamu.edu/](https://instrumentation.tamu.edu/)
Mitchell Institute for Fundamental Physics and Astronomy,Institute,Astrophysics,Conducts research on dark matter cosmology and the early universe.,Direct,[https://mitchell.tamu.edu/](https://mitchell.tamu.edu/)
National Aerothermochemistry and Hypersonics Laboratory,Lab,Propulsion,Leading research center for high-speed flight and hypersonic propulsion.,Direct,[https://engineering.tamu.edu/aerospace/research/centers-and-laboratories.html](https://engineering.tamu.edu/aerospace/research/centers-and-laboratories.html)
Aggie Rover,Design Team,Robotics,Student team designing planetary rovers for NASA competitions.,Direct,[https://www.txamfoundation.com/Fall-2017/Lab-Work.aspx](https://www.txamfoundation.com/Fall-2017/Lab-Work.aspx)
Space Food Research Facility,Center/Lab,Space,Processes and tests shelf-stable foods for NASA missions and the ISS.,Direct,[https://nfs.tamu.edu/space-food-research-facility/](https://www.google.com/search?q=https://nfs.tamu.edu/space-food-research-facility/)
Cyclotron Institute,Institute,Space,Provides heavy-ion beams for testing radiation effects on space electronics.,Strongly Adjacent,[https://cyclotron.tamu.edu/](https://cyclotron.tamu.edu/)
High Altitude Balloon Club (HABC),Student Org,Space,Launches and recovers high-altitude balloon payloads for near-space research.,Direct,[https://tamuhabc.wordpress.com/](https://tamuhabc.wordpress.com/)
Advanced Vertical Flight Laboratory (AVFL),Lab,Planetary,Researches VTOL flight for applications including Mars exploration.,Strongly Adjacent,[https://avfl.engr.tamu.edu/](https://avfl.engr.tamu.edu/)
AIAA TAMU Chapter,Student Org,Space,Professional organization hosting aerospace technical projects and guest speakers.,Direct,[https://getinvolved.tamu.edu/organization/aiaa](https://www.google.com/search?q=https://getinvolved.tamu.edu/organization/aiaa)
Space Engineering Research Center (SERC),Center,Space,Interdisciplinary center facilitating space-related technology development across TAMU.,Direct,[https://space.tamu.edu/](https://space.tamu.edu/)
SAE Aero Design,Design Team,UAV/Avionics,Designs and builds heavy-lift UAVs applicable to aerospace engineering fundamentals.,Strongly Adjacent,[https://www.tamusaeaero.org/](https://www.tamusaeaero.org/)
Laboratory of Space Systems and Optomechanics (LASSO),Lab,Satellites,Develops precision sensors for mass change and geodesy on satellite platforms.,Direct,[https://space.tamu.edu/projects/](https://space.tamu.edu/projects/)
Plasma Engineering and Diagnostics Lab,Lab,Plasma,Conducts research on plasma flows and diagnostics for aerospace and energy.,Strongly Adjacent,[https://allemo.engr.tamu.edu/](https://allemo.engr.tamu.edu/)
Aerospace Vehicle Systems Institute (AVSI),Institute,UAV/Avionics,Cooperative research center involving industry and government on aerospace vehicle systems.,Strongly Adjacent,[https://avsi.aero/](https://avsi.aero/)
Remote Sensing and GIS Lab,Lab,Remote Sensing,Uses satellite-derived data for Earth informatics and environmental monitoring.,Strongly Adjacent,[https://geoservices.tamu.edu/](https://geoservices.tamu.edu/)
Texas A\&M Spaceflight Operations,Departmental Program,Space,Provides training and support for mission operations and human spaceflight activities.,Direct,[https://engineering.tamu.edu/aerospace/research/spaceflight-operations.html](https://www.google.com/search?q=https://engineering.tamu.edu/aerospace/research/spaceflight-operations.html)
Aggie Aerospace Women in Engineering (AAWE),Student Org,Space,Professional support group for students in space-adjacent engineering disciplines.,Strongly Adjacent,[https://engineering.tamu.edu/aerospace/academics/student-orgs.html](https://engineering.tamu.edu/aerospace/academics/student-orgs.html)
TAMU Microgravity Team,Historical/Design Team,Space,Participated in NASA's Reduced Gravity Education Flight Program conducting zero-G experiments.,Direct,[https://microgravity.tamu.edu/](https://www.google.com/search?q=https://microgravity.tamu.edu/)
