Name,Type,Category,Relevance,Confidence,Direct Link
Oronos,Design Team,Rockets,"High-power experimental rocketry team competing internationally (e.g., Spaceport America Cup).",Direct,https://www.oronos.ca/
PolyOrbite,Design Team,Satellites,"CubeSat development team focused on satellite design, orbital mechanics, and space missions (e.g., Hathôr mission).",Direct,https://www.polyorbite.com/
Elikos,Design Team,UAV/Avionics,"Autonomous drone design team specializing in navigation, guidance, and unmanned aerial systems.",Strongly Adjacent,https://www.elikos.ca/
PolyAéro,Student Org,Aerospace,"The official aerospace student committee at Polytechnique, coordinating industry networking and academic support for aerospace students.",Direct,https://www.polymtl.ca/aero/
MIST Lab,Lab,Robotics,The Making Innovative Software and Technology Lab research into swarm robotics and autonomous agents for space and lunar exploration.,Direct,https://mistlab.ca/
LARCASE,Lab,Avionics,"The Laboratory of Applied Research in Active Controls, Avionics and Aero-Servo-Elasticity led by Prof. Ruxandra Botez.",Direct,https://www.polymtl.ca/larcase/
LM2,Lab,Space,"Laboratory of Multiscale Mechanics conducting research on advanced materials, rovers, and additive manufacturing for space environments.",Direct,https://lm2.polymtl.ca/
Laboratoire des procédés plasma,Lab,Plasma,"Research into plasma physics with applications in satellite propulsion, surface treatment, and materials science.",Strongly Adjacent,https://www.polymtl.ca/lpp/
Institute of Aerospace Engineering (IIG),Institute,Aerospace,"University institute coordinating aerospace education, industry internships, and inter-institutional research projects.",Direct,https://www.polymtl.ca/iig/
Poly-G,Design Team,Robotics,"General robotics society often participating in space-related robotics challenges (e.g., lunar mining).",Strongly Adjacent,https://polyg.ca/
SLOWPOKE Laboratory,Center,Space,Nuclear research facility; research includes radiation effects on electronics and potential nuclear space power systems.,Strongly Adjacent,https://www.polymtl.ca/slowpoke/
Pulsar (UdeM/Poly),Club,Astronomy,Shared astronomy club with the Université de Montréal focused on sky observation and astrophysics outreach.,Strongly Adjacent,https://www.facebook.com/clubpulsar/
CRIAQ,Center,Aerospace,Consortium for Research and Innovation in Aerospace in Quebec; a major hub for collaborative aerospace R&D involving Polytechnique.,Direct,https://www.criaq.aero/
CAMAQ Integration Projects,Departmental Program,Aerospace,Specific capstone projects in partnership with industry leaders like Bombardier and Pratt & Whitney for aerospace training.,Direct,https://www.camaq.org/
LASSUN,Lab,Satellites,Laboratory for Space Systems and Sensors focused on control systems and instrumentation for satellite missions.,Direct,https://www.polymtl.ca/recherche/rc/en/laboratoires/laboratoire-de-systemes-spatiaux-et-capteurs-lassun
LAA,Lab,Aerospace,Laboratoire d'Aéronautique et d'Aérospatial focusing on structural and fluid mechanics for aerospace vehicles.,Direct,https://www.polymtl.ca/laa/
NSERC-Safran Chair,Faculty Group,Propulsion,Industrial research chair focused on 3D composites for aerospace engines and propulsion systems.,Strongly Adjacent,https://www.polymtl.ca/recherche/rc/chaires/chaire-industrielle-crsng-safran-sur-les-composites-3d-pour-les-applications-aerospatiales
PolyProject,Student Org,Space,"Student initiative that coordinates varied engineering projects, historically including high-altitude balloon and space-adjacent tech.",Loosely Adjacent,https://www.polyproject.ca/
CIADI,Institute,Aerospace,"The Concordia Institute for Aerospace Design and Innovation, which operates joint training and projects with Polytechnique students.",Strongly Adjacent,https://www.concordia.ca/ginacody/ciadi.html
Drones-Poly,Design Team,UAV/Avionics,Historical drone initiative that predates or is a precursor to modern UAV groups like Elikos.,Strongly Adjacent,N/A
