Name,Type,Category,Relevance,Confidence,Direct Link
Sun Devil Rocketry (SDR),Student Org / Design Team,Rockets,ASU's primary high-power and liquid rocketry student organization; designs and launches research-grade rockets.,Direct,https://sundevilrocketry.github.io/
Sun Devil Satellite Laboratory (SDSL),Student Org / Design Team,Satellites,"Student organization dedicated to the design, construction, and operation of small satellites and CubeSats.",Direct,https://sdsl.engineering.asu.edu/
Students for the Exploration and Development of Space (SEDS ASU),Student Org,Space,Student chapter of the national SEDS organization promoting space exploration and development through projects and advocacy.,Direct,https://asu.campuslabs.com/engage/organization/students-for-the-exploration-and-development-of-space-at-asu
American Institute of Aeronautics and Astronautics (AIAA) ASU Branch,Student Org,Aerospace,Professional organization branch for students interested in aerospace engineering and atmospheric flight.,Direct,https://asu.campuslabs.com/engage/organization/american-institute-of-aeronautics-and-astronautics
Phoenix CubeSat Team,Student Org / Project,Satellites,Undergraduate-led mission that successfully launched a 3U CubeSat to study urban heat islands via thermal remote sensing.,Direct,https://phxcubesat.asu.edu/
AstroDevs,Student Org,Software / Space,Student organization focusing on software development and computer science applications for astronomy and space missions.,Direct,https://asu.campuslabs.com/engage/organization/astrodevs
Interplanetary Initiative,Institute / Initiative,Space,ASU-wide initiative to build the future of human space exploration through interdisciplinary research and student labs.,Direct,https://interplanetary.asu.edu/
ASU NewSpace,Center / Program,Aerospace,Initiative that connects ASU research expertise with the commercial space industry and government agencies.,Direct,https://newspace.asu.edu/
Mars Space Flight Facility (MSFF),Lab / Center,Planetary Science,"Research hub for Mars exploration, managing instruments like THEMIS and providing a public facility for Mars data analysis.",Direct,https://mars.asu.edu/
Lunar Reconnaissance Orbiter Camera (LROC) SOC,Lab / Center,Planetary Science,"Science Operations Center for the LROC instrument on NASA's Lunar Reconnaissance Orbiter, managing high-res lunar imaging.",Direct,https://lroc.sese.asu.edu/
Buseck Center for Meteorite Studies (BCMS),Center,Planetary Science,Home to one of the world's largest university-based meteorite collections; conducts research on solar system origins.,Direct,https://meteorites.asu.edu/
Interplanetary Initiative Lab (IPL),Lab,Satellites,Technical lab supporting student missions like SquidSat and developing modular technologies for low-cost space access.,Direct,https://interplanetary.asu.edu/labs
SquidSat Team,Student Org / Project,Satellites,Student-led project under the Interplanetary Initiative developing a modular 3U CubeSat for payload testing.,Direct,https://interplanetary.asu.edu/squidsat
SPARCS (Star-Planet Activity Research CubeSat) Lab,Lab,Astronomy,Research team building a dedicated ultraviolet space telescope in a CubeSat format to monitor exoplanet host stars.,Direct,https://asulowell.space/sparcs/
Ronald Greeley Center for Planetary Studies,Center,Planetary Science,NASA Regional Planetary Information Facility providing data and support for planetary surface research.,Direct,https://rgeerc.asu.edu/
Center for Space Control,Research Center,GNC / Aerospace,"Focuses on the control, guidance, and navigation of space systems, including satellites and robotic platforms.",Direct,https://aerospace.engineering.asu.edu/
Low Frequency Cosmology Lab (LoCo Lab),Lab,Astrophysics,"Develops instrumentation and analyzes data to detect signals from the early universe (Cosmic Dawn), including space-based radio astronomy.",Direct,https://locolab.asu.edu/
ASU Drone Studio,Lab,UAV/Avionics,Advanced facility for testing autonomous UAVs and drone swarms with high-precision motion capture and avionics testing.,Direct,https://dronestudio.asu.edu/
Distributed Robotic Systems (DRS) Lab,Lab,Robotics,"Researches coordination and control of robot swarms, applicable to planetary surface exploration and satellite constellations.",Strongly Adjacent,https://asurfc.com/
Autonomous Systems and Robotics (ASR) Group,Faculty Group,Robotics,Cross-disciplinary group focusing on path planning and autonomy for terrestrial and extraterrestrial robotic systems.,Strongly Adjacent,https://scai.engineering.asu.edu/research/autonomous-systems-robotics/
ASU NASA Space Grant Consortium,Departmental Program,Space,University-led program providing internships and funding for student research projects in aerospace and planetary science.,Direct,https://azspacegrant.asu.edu/
Desert WAVE,Student Org / Design Team,Robotics,"All-female robotics team designing autonomous underwater vehicles (AUV), utilizing sensors and GNC algorithms adjacent to space robotics.",Strongly Adjacent,https://desertwave.asu.edu/
ASU Robotics Team,Student Org / Design Team,Robotics,Participates in NASA-sponsored competitions and other robotic challenges focused on autonomy and navigation.,Strongly Adjacent,https://asu.campuslabs.com/engage/organization/asu-robotics-team
Center for Meteorite Studies (CMS),Center,Planetary Science,Focuses on the curation and analysis of meteorites to understand the formation and evolution of the solar system.,Direct,https://meteorites.asu.edu/
ASU Cosmological Observatory,Center / Observatory,Astronomy,Facility for astronomical observation and training students in telescopic techniques and astrophysics.,Direct,https://sese.asu.edu/public-engagement/observatories
Planetary Surface Composition Lab,Lab,Planetary Science,Analyzes the chemical and mineralogical composition of planetary surfaces using spectroscopy and remote sensing.,Direct,https://sese.asu.edu/research/labs
