Name,Type,Category,Relevance,Confidence,Direct Link
Liquid Rocket Lab (LRL),Lab,Rockets,A student-run facility dedicated to the development and testing of liquid-fueled rocket engines and orbital-class rockets.,Direct,https://www.cpp.edu/lrl/
Astronautics Laboratory,Lab,Space,"Focuses on spacecraft system testing, including hardware-in-the-loop and software verification for CubeSats.",Direct,https://www.cpp.edu/engineering/aro/astronautics-lab.shtml
UAV Lab,Lab,UAV/Avionics,"Equipped with over 40 UAVs, focusing on autonomous flight, obstacle avoidance, and multidisciplinary design optimization.",Direct,https://www.cpp.edu/engineering/aro/uav-lab.shtml
Small Satellite (SmallSat) Laboratory,Lab,Satellites,"Conducts research on small satellite technologies, ADCS hardware-in-the-loop testbeds, and the S-Kubed research group.",Direct,https://www.cpp.edu/our-cpp/students/stars/projects.shtml
CubeSat Technology Exploration Program (CubeSTEP),Departmental Program,Satellites,"An interdisciplinary program for testing and launching CubeSats, with a planned launch for its latest spacecraft in 2027.",Direct,https://www.cpp.edu/our-cpp/students/stars/projects.shtml
S-Kubed (Small Satellite Systems & Software),Faculty Group,Satellites,Research group focused on custom control and data-handling frameworks for small satellites and ADCS development.,Strongly Adjacent,https://www.cpp.edu/our-cpp/students/stars/projects.shtml
Bronco Space,Student Org,Space,"A major student organization dedicated to CubeSat missions, hardware development, and hands-on space technology projects.",Direct,https://www.broncospace.com/
CPP Rocketry / URC (University Rocketry Club),Student Org,Rockets,"Student team that designs, builds, and launches high-powered rockets, competing in international competitions like FAR-OUT.",Direct,https://www.cpp.edu/engineering/aro/student-clubs.shtml
Space and Satellite Student Association (SSSA),Student Org,Satellites,Organization focused on satellite technology education and networking within the aerospace industry.,Direct,https://www.cpp.edu/engineering/aro/student-clubs.shtml
American Institute of Aeronautics and Astronautics (AIAA) CPP Chapter,Student Org,Aerospace,"The local chapter of the professional society for aerospace engineers, hosting design competitions and professional development.",Direct,https://www.cpp.edu/engineering/aro/student-clubs.shtml
Cal Poly Pomona Robotics Club,Student Org,Robotics,Develops robotic systems that are often applicable to planetary exploration and autonomous space operations.,Strongly Adjacent,https://www.cpp.edu/engineering/me/student-organizations.shtml
Formula SAE (High Altitude/Propulsion adjacency),Design Team,Propulsion,"While automotive, it involves advanced composites and internal combustion/electric propulsion knowledge adjacent to aerospace systems.",Loosely Adjacent,https://www.cpp.edu/engineering/me/student-organizations.shtml
Cal Poly Pomona Observatory,Center,Astronomy,Facility used for astronomical research and student training in observational techniques and data analysis.,Direct,https://www.cpp.edu/sci/physics-astronomy/observatory.shtml
Society of Physics Students (SPS),Student Org,Astrophysics,"Engages in physics research and outreach, often covering astrophysics and planetary science topics.",Strongly Adjacent,https://www.cpp.edu/sci/physics-astronomy/student-orgs.shtml
AECOX Team (Historical),Design Team,Space,A historical NASA SEED campaign team that flew a microgravity experiment on atmospheric reentry control.,Direct,https://www.jotse.org/index.php/jotse/article/view/26/37
NASA SEED Teams,Departmental Program,Space,Various interdisciplinary teams that have historically participated in NASA’s reduced gravity flights and systems engineering challenges.,Direct,https://www.jotse.org/index.php/jotse/article/view/26/37
Mechanical Engineering Design Teams,Design Team,Robotics,Teams working on autonomous vehicles and sensors that provide foundational tech for space robotics.,Strongly Adjacent,https://www.cpp.edu/engineering/me/student-organizations.shtml
Planetary Science Group (Physics & Astronomy Dept),Faculty Group,Planetary,Faculty and students conducting research into planetary surfaces and solar system evolution.,Direct,https://www.cpp.edu/sci/physics-astronomy/index.shtml
Computational Fluid Dynamics (CFD) Group,Lab,Propulsion,Analyzes high-speed flows and heat transfer relevant to rocket nozzles and aerospace vehicle design.,Strongly Adjacent,https://www.cpp.edu/engineering/aro/aerospace-lab.shtml
Aerostructures and Composites Lab,Lab,Aerospace,"Focuses on the materials and structural integrity of aerospace components, including satellites and UAVs.",Direct,https://www.cpp.edu/engineering/aro/aerospace-lab.shtml
