Name,Type,Category,Relevance,Confidence,Direct Link
Rose Rocketry,Student Org,Rockets,Umbrella organization for the institute's multiple high-power and liquid rocketry programs,Direct,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
Rose Propulsion Laboratory (RPL),Design Team,Propulsion,Focused on the development of liquid-fuel rocket engines and propulsive landing vehicles for the CPLC,Direct,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
Rose-Hulman Electric Propulsion Group (RHEPG),Lab/Student Group,Plasma,First undergraduate team to ignite a gridded ion thruster and currently researching heaterless hollow cathodes,Direct,https://www.rose-hulman.edu/news/2025/rose-hulman-electric-propulsion-group-propels-undergraduate-research.html
NASA Cube Satellite Launch Initiative (SmallSat),Design Team,Satellites,Develops CubeSats with star shade technology for LEO observational astronomy and ground station infrastructure,Direct,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
NASA University Student Launch Initiative (USLI) Team,Design Team,Rockets,Builds and launches high-power rockets and scientific payloads in partnership with NASA Marshall Space Flight Center,Direct,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
Hobby Rocketry,Club,Rockets,Entry-level program for high-power rocketry certification and independent student research projects,Direct,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
Mars Rover Team,Design Team,Robotics,Designs and operates Martian rovers for extreme terrain navigation and autonomous science missions,Direct,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
NASA Lunar Autonomy Challenge Team,Student Group,Robotics,Top-10 national finalist team developing autonomous navigation and computer vision software for lunar exploration,Direct,https://www.rose-hulman.edu/news/2025/rose-hulman-team-makes-it-to-the-top-10-of-the-nasa-lunar-autonomy-challenge.html
Design/Build/Fly (DBF),Design Team,UAV/Avionics,Designs and builds remote-controlled aircraft and drones for international AIAA flight competitions,Direct,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
Oakley Observatory,Lab/Center,Astronomy,Research-grade facility for minor planet discovery asteroid photometry and variable star research,Direct,https://www.rose-hulman.edu/academics/learning-and-research-facilities/oakley-observatory/index.html
Rose-Hulman Astronomical Society,Student Org,Astronomy,Student organization managing the Oakley Observatory and hosting astronomical research events,Direct,https://www.rose-hulman.edu/academics/learning-and-research-facilities/oakley-observatory/index.html
Aeronautics and Astronautics,Club,Aerospace,Student interest group focused on aeronautical engineering and space science professional development,Direct,https://www.rose-hulman.edu/campus-life/student-life/student-activities-and-groups/clubs-and-organizations.html
MiNDS Cleanroom (Micro-Nanoscale Device and Systems),Lab,Plasma,Facility for fabrication of semiconductors MEMS and nanotechnology for aerospace electronics,Direct,https://www.rose-hulman.edu/academics/academic-departments/physics-optical-engineering-and-nanoengineering/facilities-and-resources.html
Center for Applied Optics Studies (CAOS),Center,Remote Sensing,Research center focused on optical engineering laser systems and photonic technologies,Direct,https://wordpress.rose-hulman.edu/caos/
Rose-Hulman Ventures,Institute,Aerospace,Assists startups and industry partners in prototyping aerospace hardware such as security drones and antenna systems,Direct,https://www.rhventures.org/
Robotics Workspace Committee,Student Org,Robotics,Oversees multidisciplinary robotics projects including the Mars Rover and RoboMaster competition teams,Direct,https://rosehulman.campusgroups.com/club_signup?group_type=86040&category_tags=
Mechanical Engineering Aerospace Concentration,Departmental Program,Aerospace,Academic track providing specialized courses in propulsion aerodynamics and helicopter engine labs,Direct,https://www.rose-hulman.edu/academics/academic-departments/mechanical-engineering/aerospace.html
Ultrashort Pulse Laser Laboratory,Lab,Plasma,Research facility focusing on high-energy laser systems in collaboration with naval research entities,Direct,https://www.rose-hulman.edu/academics/faculty/duree-galen-duree.html
Southern Sky Observatory,Lab,Astronomy,Remote research partnership providing access to telescopes in the Southern Hemisphere,Direct,https://www.rose-hulman.edu/academics/learning-and-research-facilities/oakley-observatory/research.html
Rose-Hulman SEDS Chapter,Student Org,Space,Local chapter of Students for the Exploration and Development of Space (Active/Historical winner),Strongly Adjacent,https://sedsusa.typeform.com/to/shsp1k4c
AIAA Student Branch,Student Org,Aerospace,Professional student branch of the American Institute of Aeronautics and Astronautics,Direct,https://rosehulman.campusgroups.com/club_signup?group_type=86040&category_tags=
Helicopter Engine Lab,Lab,Propulsion,Instructional lab utilizing a gas turbine helicopter engine for propulsion and thermodynamics study,Direct,https://www.rose-hulman.edu/academics/academic-departments/mechanical-engineering/aerospace.html
Moonwatch Club,Historical Group,Satellites,Historic 1960s program at Rose Polytechnic for monitoring and tracking orbital satellites,Direct,https://www.rose-hulman.edu/academics/learning-and-research-facilities/oakley-observatory/history.html
Terre Haute Astronomical Society,Historical Group,Astronomy,Historic affiliate group that collaborated with Rose-Hulman on early satellite tracking initiatives,Strongly Adjacent,https://www.rose-hulman.edu/academics/learning-and-research-facilities/oakley-observatory/history.html
Lynn H. Reeder Laboratory and Observatory,Historical Lab,Astronomy,Historical facility (pre-Oakley) dedicated to early space-age satellite and planetary research,Direct,https://www.rose-hulman.edu/academics/learning-and-research-facilities/oakley-observatory/history.html
Independent Project/Research Opportunities Program (IP/ROP),Departmental Program,Plasma,Institutional program that funds advanced research such as the Electric Propulsion Group,Direct,https://www.rose-hulman.edu/news/2025/rose-hulman-electric-propulsion-group-propels-undergraduate-research.html
MATE Underwater Robotics,Design Team,Robotics,Develops ROVs for missions that simulate the autonomy and telemetry needs of space exploration,Strongly Adjacent,https://rosehulman.campusgroups.com/club_signup?group_type=86040&category_tags=
Non-Linear Lab,Lab,Plasma,Conducts research on optical materials and devices critical for advanced sensing and communications,Direct,https://www.rose-hulman.edu/academics/academic-departments/physics-optical-engineering-and-nanoengineering/facilities-and-resources.html
Optical Communication Lab,Lab,Satellites,Dedicated facility for studying quantum optics and laser-based space communications,Direct,https://www.rose-hulman.edu/academics/academic-departments/physics-optical-engineering-and-nanoengineering/facilities-and-resources.html
Characterization Lab,Lab,Remote Sensing,Provides material analysis for aerospace components using SEM and X-ray diffraction,Direct,https://www.rose-hulman.edu/academics/academic-departments/physics-optical-engineering-and-nanoengineering/facilities-and-resources.html
High-Altitude Balloon Project,Student Group,Remote Sensing,Interdisciplinary student initiative to test CubeSat hardware and sensors at near-space altitudes,Direct,https://www.rose-hulman.edu/news/2024/student-competition-teams-finish-the-year-strong.html
RoboMaster Team,Design Team,Robotics,Develops fleets of multi-subsystem robots utilizing advanced computer vision and autonomy algorithms,Strongly Adjacent,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
VEX U Team,Design Team,Robotics,Multidisciplinary team developing custom robots for competition focusing on advanced sensors and control,Strongly Adjacent,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
Combat Robotics,Design Team,Robotics,Develops beetleweight and antweight robots focusing on structural durability and high-impact mechanics,Loosely Adjacent,https://rosehulman.campusgroups.com/club_signup?group_type=86040&category_tags=
Chem-E-Car,Design Team,Propulsion,Builds small unmanned cars powered by chemical mechanisms related to autonomous propulsion research,Loosely Adjacent,https://rosehulman.campusgroups.com/club_signup?group_type=86040&category_tags=
Department of Physics and Optical Engineering,Faculty Group,Astronomy,Departmental research focused on high-energy astrophysics plasma physics and orbital mechanics,Direct,https://www.rose-hulman.edu/academics/academic-departments/physics-optical-engineering-and-nanoengineering/index.html
Branam and Kremer Innovation Centers (BIC/KIC),Center,Aerospace,The physical nexus of the institute's aerospace competition teams and specialized fabrication labs,Direct,https://www.rose-hulman.edu/academics/degrees-and-programs/cross-cutting-programs/BIC/teams-and-clubs.html
