Name,Type,Category,Relevance,Confidence,Direct Link
"Stanford Student Space Initiative (SSI)","Student Org","Space","The university's largest project-based group with specialized teams for rockets, satellites, high-altitude balloons, and Mars exploration. [1]","Direct","https://www.stanfordssi.org/"
"SSI Rockets Team","Design Team","Rockets","Develops high-power rockets, hybrid engines, and vertically landing rocket technology like the Fountain Hopper and Phoenix projects. [2]","Direct","https://wiki.stanfordssi.org/Rockets_Team"
"SSI Satellites Team","Design Team","Satellites","Designs and operates CubeSats, including the open-source Sapling series and the current 2U SAMWISE mission. [3, 4]","Direct","https://ssi-wiki.stanford.edu/Category:Satellites"
"SSI Balloons Team","Design Team","Balloons","Focuses on high-altitude ballooning and holds multiple world records for long-duration flight endurance. [1, 4]","Direct","https://www.stanfordssi.org/"
"SSI Mars Team","Design Team","Robotics","Engineers planetary rovers and autonomous exploration technology, including a rover designed to traverse Antarctica. [1]","Direct","https://www.stanfordssi.org/"
"SSI Biology Team","Design Team","Planetary","Researches space-capable DNA synthesis and biological life support systems for future long-term space habitation. [1]","Direct","https://www.stanfordssi.org/"
"SSI Policy Team","Student Org","Space","Engages in international space governance and has sent student delegations to the United Nations to discuss space expansion. [1, 5]","Direct","https://www.stanfordssi.org/"
"Stanford Space Law Society (SSLS)","Student Org","Space","Discusses the legal and regulatory frameworks of space exploration and security through its journal, Space Law & Policy Perspectives.","Direct","https://law.stanford.edu/stanford-space-law-society-ssls/"
"Flight Club","Student Org","UAV/Avionics","A community for aviation and aerospace tinkering that supports projects in drone delivery and radio-controlled aircraft.","Direct","https://flightclub.groups.stanford.edu/"
"Stanford Student Robotics (SSR)","Student Org","Robotics","A broad robotics club with relevant sub-teams in autonomous submersibles, drone delivery, and GPS-denied navigation.","Strongly Adjacent","https://stanfordssr.org/"
"SkyRunners UAV","Design Team","UAV/Avionics","A collaboration between Flight Club and SSR developing fixed-wing autonomous aircraft for high-endurance payload delivery.","Direct","https://stanfordssr.org/"
"Stanford Moonshot Club","Student Org","Space","Fosters high-ambition engineering projects and inclusive tinkering in a collaborative environment. [6]","Strongly Adjacent","https://making.stanford.edu/resources/student-clubs"
"AIAA Stanford Branch","Student Org","Aerospace","The student chapter of the American Institute of Aeronautics and Astronautics, hosting professional events and site tours. [7]","Direct","https://aa.stanford.edu/our-culture/student-groups"
"Women in Aeronautics & Astronautics (WIAA)","Student Org","Aerospace","A professional and social network supporting female and non-binary students within the Aero/Astro department. [7]","Direct","https://aa.stanford.edu/our-culture/student-groups"
"Young Astronauts Program","Student Org","Space","An outreach organization where graduate student volunteers teach science and engineering to local elementary schools using space themes. [7]","Direct","https://aa.stanford.edu/our-culture/student-groups"
"Stanford Amateur Radio Club","Student Org","Satellites","Provides expertise in radio communication and antenna design necessary for satellite tracking and telemetry.","Strongly Adjacent","https://making.stanford.edu/resources/student-clubs"
"Stanford Solar Car Project","Design Team","Robotics","Designs and builds solar-powered vehicles, providing experience in power systems and lightweight structures used in aerospace. [6]","Loosely Adjacent","https://making.stanford.edu/resources/student-clubs"
"Space Rendezvous Laboratory (SLAB)","Lab","Satellites","Specializes in autonomous formation-flying, satellite swarms, and visual navigation systems like StarFOX. [8, 9, 10]","Direct","https://slab.stanford.edu/"
"Autonomous Systems Laboratory (ASL)","Lab","Robotics","Develops methodologies for the control of autonomous systems, including agile spacecraft control and planetary environment mobility. [8, 11, 12]","Direct","https://asl.stanford.edu/"
"Navigation and Autonomous Vehicles (NAV) Lab","Lab","UAV/Avionics","Develops robust positioning, navigation, and timing technologies critical for aerospace safety and secure satellite tracking. [11, 13]","Direct","https://navlab.stanford.edu/"
"Multi-robot Systems Lab (MSL)","Lab","Robotics","Studies distributed algorithms for control and sensing in groups of robots, applicable to satellite swarms. [11, 13, 14]","Direct","https://msl.stanford.edu/"
"Stanford Intelligent Systems Lab (SISL)","Lab","UAV/Avionics","Researches decision-making under uncertainty for unmanned aircraft and air traffic management. [11, 13]","Direct","https://sisl.stanford.edu/"
"Safe and Intelligent Autonomy (SIA) Lab","Lab","Robotics","Focuses on safety-guaranteed autonomous systems for uncertain environments and agile robotic navigation. [11]","Strongly Adjacent","https://aa.stanford.edu/research-impact/labs-and-centers"
"Aerospace Design Laboratory (ADL)","Lab","Space","Utilizes high-fidelity analysis tools for the design of aircraft, launch vehicles, and spacecraft systems. [11]","Direct","https://aa.stanford.edu/research-impact/labs-and-centers"
"Farhat Research Group","Faculty Group","Space","Develops mathematical models and high-performance software for analyzing complex aerospace and naval systems. [11, 15]","Direct","https://aa.stanford.edu/research-impact/labs-and-centers"
"Morphing Space Structures Lab","Lab","Space","Focuses on deployable spacecraft components, origami-inspired structures, and novel flexible composites. [11]","Direct","https://aa.stanford.edu/research-impact/labs-and-centers"
"Structures and Composites Laboratory (SACL)","Lab","Space","Researches multifunctional structures with integrated sensing and energy storage for aerospace applications. [11]","Direct","https://aa.stanford.edu/research-impact/labs-and-centers"
"Boeing Flight & Autonomy Laboratory","Lab","UAV/Avionics","An industry-affiliated lab focused on autonomous flight technology and advanced aerospace structural design. [11]","Direct","https://aa.stanford.edu/research-impact/labs-and-centers"
"Information Systems Laboratory (ISL)","Lab","UAV/Avionics","Conducts fundamental research in signal processing and communication systems used in aerospace vehicles. [13]","Strongly Adjacent","https://isl.stanford.edu/"
"Kavli Institute for Particle Astrophysics and Cosmology (KIPAC)","Institute","Astronomy","A major center for cosmology and particle physics, hosting research on dark matter, dark energy, and galaxy formation. [16, 17, 18]","Direct","https://kipac.stanford.edu/"
"Hansen Experimental Physics Laboratory (HEPL)","Lab","Astronomy","An independent laboratory supporting interdisciplinary space science programs including Gravity Probe B and solar observatories. [19, 20, 21]","Direct","https://hepl.stanford.edu/"
"Stanford Solar Observatories Group","Lab","Astronomy","Studies the Sun's interior and solar cycle while managing data for the SOHO and SDO missions.","Direct","http://sun.stanford.edu"
"Center for Decoding the Universe","Center","Astronomy","A joint initiative applying advanced artificial intelligence and data science to large astrophysical datasets.","Direct","https://datascience.stanford.edu/kipacsds-center-decoding-universe"
"Aerospace Planetary Exploration (APEX) Laboratory","Lab","Planetary","Bridges planetary science and aerospace engineering to study the internal structure and evolution of planets. [8, 11]","Direct","https://aa.stanford.edu/research-impact/labs-and-centers"
"Stanford Radar Remote Sensing Group","Lab","Remote Sensing","Investigates Earth and planetary surfaces using radar techniques like Interferometric Synthetic Aperture Radar (InSAR). [22, 23]","Direct","https://web.stanford.edu/group/radar/"
"Radio Glaciology Group","Lab","Remote Sensing","Develops ice-penetrating radar for missions to Earth's polar regions and icy moons like Europa. [8, 24]","Direct","https://www.radioglaciology.com/"
"Extreme Environment Microsystems Lab (XLab)","Lab","Electronics","Develops radiation-hardened electronics and investigates in-space manufacturing of graphene aerogels. [11, 25, 26, 27]","Direct","https://xlab.stanford.edu"
"Stanford Propulsion & Space Exploration (SPaSE) Lab","Lab","Propulsion","Studies reactive flows relevant to supersonics, hypersonics, and rocket propulsion systems using laser diagnostics. [11, 28]","Direct","https://spase.stanford.edu"
"Plasma Dynamics Modeling Laboratory (PDML)","Lab","Propulsion","Develops numerical models for plasma discharges, focusing on electric propulsion and Hall Effect Thrusters. [29]","Direct","https://pdml.stanford.edu"
"Stanford Plasma Physics Lab (SPPL)","Lab","Plasma","Conducts research on plasma jets, fusion, and spacecraft propulsion using the Plasma Deflagration Accelerator. [30, 31]","Direct","https://sppl.stanford.edu"
"Stanford Fusion and Plasma AI Research Center","Center","Plasma","Leverages AI and machine learning to accelerate breakthroughs in fusion energy and plasma science. [31]","Direct","https://sppl.stanford.edu/ai/"
"STAR Lab (Space, Telecommunications and Radioscience)","Lab","Satellites","Focused on planetary exploration instruments, radio science, and very low frequency (VLF) ionospheric physics. [23, 32, 33, 34]","Direct","https://nova.stanford.edu/"
"GPS Research Laboratory","Lab","UAV/Avionics","Pioneers augmentation systems for GPS and GNSS to improve navigation accuracy for aviation and space. [8, 35, 36]","Direct","https://gps.stanford.edu/"
"Stanford Center for Position, Navigation and Time (SCPNT)","Center","UAV/Avionics","An inter-departmental center that hosts research on PNT technologies and hosts the annual PNT Symposium. [8, 35, 36, 37]","Direct","https://scpnt.stanford.edu"
"Space Systems Development Laboratory (SSDL)","Lab (Historical)","Satellites","The original birthplace of the CubeSat standard and supervisor of student missions like OPAL and SAPPHIRE. [38, 39, 40]","Direct","https://en.wikipedia.org/wiki/CubeSat"
"Gravity Probe B (GP-B) Project","Lab (Historical)","Space","A major historical project that tested general relativity and developed critical PNT technologies. [19, 35]","Direct","https://einstein.stanford.edu/"
"Heliopolis (Stanford Radio Astronomy Observatory)","Lab (Historical)","Astronomy","A historical radio telescope site that mapped solar temperature variations and studied meteor reflections.","Direct","N/A"
"Center for AEroSpace Autonomy Research (CAESAR)","Center","Aerospace","Links industry and academia to advance autonomous reasoning capabilities in aerospace systems.","Direct","https://caesar.stanford.edu/"
"Biomimetics and Dexterous Manipulation Lab (BDML)","Lab","Robotics","Develops robotic manipulation systems, including gecko-inspired adhesives for use in space. [10, 14, 41]","Strongly Adjacent","https://bdml.stanford.edu/"
"Stanford Online High School Astronomy Research Club","Club","Astronomy","Engages high school students globally in original astronomy research and astrophotography projects. [42, 43]","Direct","https://lco.global/education/partners/stanford-online-high-school-astronomy-research-club/"
"Design, Build, Fly (DBF) Team","Design Team","UAV/Avionics","Competes in the AIAA annual challenge to design and fly unmanned electric aircraft.","Direct","https://flightclub.groups.stanford.edu/design-build-fly-dbf"
"Horizons Initiative","Student Org","Robotics","Hosts campus-wide robotics hackathons with themes focusing on UAV technology and autonomy.","Strongly Adjacent","https://stanfordhorizons.com/"
"Icy Physics Group","Lab","Planetary","Studies the mechanical and physical properties of ice in terrestrial and planetary contexts. [24]","Direct","https://geophysics.stanford.edu/research-impact"
"Paleomagnetism & Planetary Magnetism","Lab","Planetary","Investigates the magnetic history of meteorites and planetary formation. [24]","Direct","https://geophysics.stanford.edu/research-impact"
"Planetary Modeling Group","Faculty Group","Planetary","Develops theoretical models for the evolution of planetary atmospheres and habitable surfaces. [25]","Direct","https://epsci.stanford.edu/planetary-science/research-themes"
"Remote Sensing Ecohydrology Group","Lab","Remote Sensing","Uses microwave satellite data to study interactions between the global carbon and water cycles.","Strongly Adjacent","https://koningslab.stanford.edu/"
"Wilcox Solar Observatory","Lab","Astronomy","Performs daily solar observations and maps the Sun's global magnetic field from the Stanford foothills.","Direct","http://wso.stanford.edu/"
"Fermi Large Area Telescope (LAT) Group","Lab","Astronomy","An international collaboration studying high-energy gamma-ray sources using the Fermi satellite. [17, 18]","Direct","https://glast.sites.stanford.edu"
"Dark Matter Radio Group","Lab","Astronomy","Focuses on the detection of axion dark matter using sensitive superconducting devices. [44, 18]","Direct","https://irwinlab.stanford.edu/dark-matter-radio-dm-radio"
"Liquid Noble Dark Matter Group","Lab","Astronomy","Utilizes liquid xenon detectors for direct dark matter searches in experiments like LUX-ZEPLIN (LZ). [17, 44, 18]","Direct","https://lz.slac.stanford.edu"
"KIPAC XOC Group","Lab","Astronomy","Uses X-ray observations to research black holes, galaxy clusters, and dark energy. [44, 18]","Direct","https://xoc.stanford.edu/"
"KIPAC GFC Group","Lab","Astronomy","Researches how galaxies form and evolve using deep sky surveys and computer simulations. [18]","Direct","https://gfc.stanford.edu"
"ECLIPSE Lab","Lab","Plasma","Studies the effects of the space environment on spacecraft using environmental remote sensing and ground-based radar. [8, 11]","Direct","https://aa.stanford.edu/research-impact/labs-and-centers"
"Hollberg Lab","Lab","UAV/Avionics","Research in laser/atomic physics focusing on optical atomic clocks and high-resolution spectroscopy. [10]","Strongly Adjacent","https://scpnt.stanford.edu/labs"
"Atmospheric Composition and Climate Group","Lab","Remote Sensing","Investigates atmospheric dynamics and chemical composition using remote sensing and modeling. [45]","Strongly Adjacent","https://earthsystemscience.stanford.edu/research-impact"
"Earth and Planetary Surface Processes","Lab","Planetary","Researches the shaping of landscapes on Mars, Titan, Venus, and Earth. [25]","Direct","https://epsci.stanford.edu/planetary-science/research-themes"
"FX Lab","Lab","Propulsion","Studies fundamental chemical reacting flows relevant to propulsion and energy conversion. [41]","Direct","https://ihme.stanford.edu/"
"HyPEL (Hypersonics Lab)","Lab","Propulsion","Investigates hypersonics and propulsion through gas dynamics and spectroscopy. [46]","Direct","https://hanson.stanford.edu"
"Center for Turbulence Research (CTR)","Center","Propulsion","Conducts research on complex turbulent flows motivated by gas turbine cooling and volcanic eruptions. [41, 47]","Strongly Adjacent","https://ctr.stanford.edu/"
"SAPPHIRE Laser Laboratory","Lab","Plasma","Focuses on high-intensity radiation engineering and applications of ultrafast lasers to plasma physics. [48]","Strongly Adjacent","https://edwardslab.stanford.edu/"
"Flow Physics and Aeroacoustics Lab (FPAL)","Lab","Propulsion","Advances computational fluid dynamics for high-speed propulsion and aircraft noise mitigation. [11, 41]","Strongly Adjacent","https://fpal.stanford.edu/"
"Stanford Student Observatory","Lab","Astronomy","A teaching facility for students to learn observational astronomy and test new detector technologies. [49]","Direct","https://physics.stanford.edu/resources/student-observatory"
"SQUIRT Program","Program (Historical)","Satellites","An early initiative to produce student-engineered microsatellites on a yearly basis. [39, 50, 51]","Direct","N/A"
"Shared Analytical Facilities (SIGMA/MAF)","Lab","Planetary","Provides high-precision isotope and microchemical analysis for planetary and terrestrial materials. [52, 53, 54]","Strongly Adjacent","https://sustainability.stanford.edu/school/cutting-edge-facilities/shared-labs"
"Stanford Geospatial Center","Center","Remote Sensing","Supports the use of spatial data and satellite imagery across various university research departments.","Strongly Adjacent","https://library.stanford.edu/libraries/stanford-geospatial-center"
