official_name,official_name_citation,type,type_citation,category,category_citation,relevance_explanation,relevance_explanation_citation,confidence_rating,confidence_rating_citation,official_url,official_url_citation,verification_status,verification_status_citation
Columbia Space Initiative (CSI),https://columbiaspace.org/,Student Organization,https://columbiaspace.org/,Aerospace & Space Engineering,https://columbiaspace.org/,"Columbia's largest student-led organization dedicated to space science, engineering, and outreach, serving as the central hub for rocketry, satellites, and NASA competitions.",https://news.columbia.edu/news/columbia-space-initiative-enables-students-reach-sky,Direct,https://columbiaspace.org/,https://columbiaspace.org/,https://columbiaspace.org/,Verified,https://columbiaspace.org/
CSI Rockets,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,"Design and building high-powered hybrid rockets for experimental payloads, aiming for altitudes up to 50,000 feet.",https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-rockets/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI CubeSat (LION),https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,"Building the Line Imaging Orbiter for Nanosatellite-Enabled Spectrographic Surveys, Columbia's first undergraduate satellite.",https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-cubesat-lion/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI Micro-G,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,Developing tools for NASA's Micro-g Neutral Buoyancy Experiment Design Teams (NExT) challenge.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-micro-g/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI High Altitude Balloons (HAB),https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,"Launching heavy scientific balloons to 100,000ft and pico balloons for circumnavigation.",https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-high-altitude-balloons-hab/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI Space Manufacturing,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,Exploring methods for off-Earth manufacturing to enable self-reliant space missions.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-space-manufacturing/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI RASC-AL,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,Participating in NASA's Revolutionary Aerospace Systems Concepts - Academic Linkage (RASC-AL) design competition.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-rasc-al/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI SUITS,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,Designing augmented reality (AR) interfaces for spacesuits as part of NASA's SUITS challenge.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-suits/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI RoboGlove,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,Designing a wearable device to reduce hand fatigue for astronauts wearing pressurized spacesuit gloves.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-roboglove/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI Astrobiology,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,"A mission dedicated to the study of life's origin, evolution, and distribution in the universe.",https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-astrobiology/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI Blue Skies,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,A team participating in NASA's Blue Skies competition to develop innovative aerospace concepts.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-blue-skies/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI Behavioral Science,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,A non-technical mission exploring human factors and behavioral aspects of long-duration spaceflight.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-behavioral-science/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI Space Policy,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,Researching and advocating for legal and political frameworks governing space exploration.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/csi-space-policy/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
CSI Outreach,https://columbiaspace.org/missions/,Student Organization (Team),https://columbiaspace.org/missions/,Aerospace & Space Engineering,https://columbiaspace.org/missions/,Engaging the local community and younger students in space-related STEM activities.,https://columbiaspace.org/missions/,Direct,https://columbiaspace.org/missions/,https://columbiaspace.org/missions/outreach-operations/,https://columbiaspace.org/missions/,Verified,https://columbiaspace.org/missions/
